Variable Name,Tag Variable Name - 2023,Tag Variable Name 2023 (Airtable inconsistencies),Fixed?,Full Tag Name,Equivalent Variable Name - 2022,Equivalent Variable Name - 2021,Equivalent Variable Name - 2019,2023 Description,2022 Description,2021 Description,2019 Description,Nested 2023,Nested 2022,Nested 2021,Nested 2019,In use 2023,Year removed,Years Used (Airtable - updated),Only one year used,Priority,Interest,Change Notes
practices_fully_remote,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,fully remote,NA,fully_remote,NA,NA,NA,"Some students learn fully remotely, such as at home (no core instruction required at school).",NA,NA,,Tag - Specific Practice,NA,n,2021,2020-21,Y,,,
practices_grading_mastery,practices_grading_mastery,This is not a parent or child tag in 2023,TRUE,grading policies focus on mastery,practices_grading_mastery,grading_mastery,grading_mastery,"Indicates whether the school selected the tag grading policies focus on mastery: Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.","Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.","Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.","Grades are reported on a standards-based report card. Grading policies allow and encourage revision until mastery of the competency, rather than penalizing mistakes.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_half_days,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,half days,NA,half_days,NA,NA,NA,Some students attend school in the morning and others in the afternoon.,NA,NA,,Tag - Specific Practice,NA,n,2021,2020-21,Y,,,
"practices_heritage_language
IF RETAINED: practices_heritage",practices_heritage_language,This is not a parent or child tag in 2023,TRUE,heritage language course(s),NA,NA,NA,"Indicates whether the school selected the tag heritage language course(s): A course, or set of courses, designed to support reading, writing, and speaking for students' heritage language (defined as a non-English language they have extensive personal, familial, or community connection to). Similar to English language arts for English speakers but created for non-English languages.",NA,NA,NA,not nested,,NA,NA,y,Not removed ,2022-23,Y,,,
practices_quality_materials,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,high quality instructional materials,NA,NA,quality_materials,NA,NA,NA,The school has adopted high quality instructional materials (e.g. green rating on EdReports or equivalent),NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_hiring_equity,practices_hiring_equity,This is not a parent or child tag in 2023,TRUE,hiring for equity and inclusion values,practices_hiring_equity,hiring_equity,NA,"Indicates whether the school selected the tag hiring for equity and inclusion values: Hiring practices are designed to result in new hires with equity- and inclusion-focused values. The learning environment may employ specific innovations such as: students or community members on the interview committee, equity and positionality rubrics in use, hiring pool stays open until qualified diverse candidates are identified.","Hiring practices are designed to result in new hires with equity- and inclusion-focused values. The learning environment may employ specific innovations such as: students or community members on the interview committee, equity and positionality rubrics in use, hiring pool stays open until qualified diverse candidates are identified.","Hiring practices are designed to result in new hires with equity-focused values. The school may employ specific innovations such as: students or community members on the interview committee, equity and positionality rubrics in use, hiring pool stays open until qualified diverse candidates are identified.",NA,not nested,,Tag - Specific Practice,NA,y,Not removed ,"2020-21, 2021-22, 2022-23",N,,,
practices_hiring_practices,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,hiring practices in support of student success,NA,NA,hiring_practices,NA,NA,NA,The school's hiring process prioritizes candidates who bring mindsets that all students can succeed at the highest levels regardless of prior performance.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_hybrid,NA,,,hybrid,practices_hybrid,hybrid,NA,NA,Some students learn partially at home and partially at a school building (core instruction occurs in both settings).,Some students learn partially at home and partially at school (core instruction occurs in both settings).,NA,NA,,Tag - Specific Practice,NA,n,2022,"2020-21, 2021-22",N,,,
practices_learner_profiles,NA,AT lists tag for 2023 but was removed in 2023,TRUE,individual learner profiles,practices_learner_profiles,learner_profiles,learner_profiles,NA,"Profiles extend across multiple years and may include how the student is performing, as well as personal factors like who they are, what inspires them, and how they best learn.","Profiles extend across multiple years of school and may include how the student is performing, as well as personal factors like who they are, what inspires them, and how they best learn.","Profiles may include how the student is performing, as well as personal factors like who they are, what inspires them, and how they best learn.",NA,,Tag - Specific Practice,Tag - Specific Practice,n,2022,"2018-19, 2020-21, 2021-22",N,,,
practices_learning_paths,practices_learning_paths,This is not a parent or child tag in 2023,TRUE,individual learning paths,practices_learning_paths,learning_paths,learning_paths,Indicates whether the school selected the tag individual learning paths: Students choose unique learning pathways that are relevant to their interests and passions.,Students identify and follow unique learning pathways that are relevant to their interests and passions.,Students identify and follow unique learning pathways that are relevant to their interests and passions.,Students identify and follow unique learning pathways that are relevant to their interests and passions.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_individual_rotation,NA,,,individual rotation,practices_individual_rotation,individual_rotation,individual_rotation,NA,A blended learning model in which students rotate through online and other stations on individual schedules set by a teacher or software algorithm. Students do not necessarily rotate to every station; they rotate only to the activities scheduled on their playlists.,Students rotate through online and other stations on individual schedules set by a teacher or software algorithm. Students do not necessarily rotate to every station; they rotate only to the activities scheduled on their playlists.,Students rotate through online and other stations on individual schedules set by a teacher or software algorithm. Students do not necessarily rotate to every station; they rotate only to the activities scheduled on their playlists.,NA,,Tag - Specific Practice,Tag - Specific Practice,n,2022,"2018-19, 2020-21, 2021-22",N,,,
"practices_industry_leaders
IF RETAINED NESTED: practices_colead_industry",practices_industry_leaders,Update to practices_colead_industry; AT lists 2023 equivalent as practices_coleaders_industry but dataset lists practices_industry_leaders,TRUE,industry-based partners as co-leaders,NA,NA,NA,"Indicates whether the school selected the tag industry-based partners as co-leaders: The learning environment involves industry-based partners in shared decision-making, and communicates how these partners' input has informed decision-making. This may include strategies such as designing career pathways, developing curriculum and assessments, or offering validated work-based learning as a core part of the school's
design.",NA,NA,NA,child,,NA,NA,y,Not removed ,2022-23,Y,,,
practices_interdisciplinary,practices_interdisciplinary,This is not a parent or child tag in 2023,TRUE,interdisciplinary,practices_interdisciplinary,interdisciplinary,interdisciplinary,"Indicates whether the school selected the tag interdisciplinary: Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.","Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.","Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.",Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_interoperability,practices_interoperability,"2019 equivalent is missing; needs to be consolidated with integrated_data as the 2019 equivalent

This is not a parent or child tag in 2023",TRUE,interoperable data from multiple technologies,practices_interoperability,interoperability,integrated_data,"Indicates whether the school selected the tag interoperable data from multiple technologies: Data from multiple platforms or software programs is integrated in a """"data dashboard"""" reflecting overall student learning and progress.","Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.","Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.","Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,"Called in 2019 ""integrated data from multiple technologies"""
practices_lab_rotation,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,lab rotation,NA,lab_rotation,lab_rotation,NA,NA,"Students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station located in a dedicated computer lab.","Students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station located in a dedicated computer lab.",NA,,Tag - Specific Practice,Tag - Specific Practice,n,2021,"2018-19, 2020-21",N,,,
practices_learner_agency,NA,,,learner agency,NA,NA,learner_agency,NA,NA,NA,"Students have ownership over their learning by setting learning goals, initiating action toward those goals, and reflecting on their growth.",NA,,NA,Tag - General Approach,n,2019,2018-19,Y,,,
practices_maker,NA,,,maker/design-centered learning,NA,NA,maker,NA,NA,NA,"Students learn through the creative process of design, resulting in either physical or digital creations.",NA,,NA,Tag - General Approach,n,2019,2018-19,Y,,,
practices_makerspace,practices_makerspace,This is not a parent or child tag in 2023,TRUE,makerspace,practices_makerspace,makerspace,makerspace,Indicates whether the school selected the tag makerspace: Students can access a space and/or set of tools for use in building and designing creations.,Students can access a space and/or set of tools for use in building and designing creations.,Students can access a space and/or set of tools for use in building and designing creations.,Students can access a space and/or set of tools for use in building and designing creations.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_measures_college,NA,,,measures for college readiness,NA,NA,measures_college,NA,NA,NA,The school uses measures for students' readiness to enter and complete college.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_measures_purpose,NA,,,measures for purpose and agency,NA,NA,measures_purpose,NA,NA,NA,The school uses measures for students' development of purpose and agency.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_measures_climate,NA,,,measures for school climate,NA,NA,measures_climate,NA,NA,NA,The school uses measures for school climate/culture to learn how students experience the school culture.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_mental_health,practices_mental_health,This is not a parent or child tag in 2023,TRUE,mental health services,practices_mental_health,mental_health,mental_health,Indicates whether the school selected the tag mental health services: The learning environment offers (or partners to offer) comprehensive counseling and mental health services for students.,The learning environment offers (or partners to offer) comprehensive counseling and mental health services for students.,The school offers (or partners to offer) comprehensive counseling and mental health services for students.,The school offers (or partners to offer) comprehensive counseling and mental health services for students.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_multi_age,practices_multi_age,This is not a parent or child tag in 2023,TRUE,multi-age classrooms,practices_multi_age,multi_age,multi_age,"Indicates whether the school selected the tag multi-age classrooms: Classrooms include students of many ages, rather than grouping them by age or grade band.","Classrooms include students of many ages, rather than grouping them by age or grade band.","Classrooms include students of many ages, rather than grouping them by age or grade band.","Classrooms include students of many ages, rather than grouping them by age or grade band.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_mtss_academics,practices_mtss_academics,This is not a parent or child tag in 2023,TRUE,multi-tiered system of support (MTSS) in academics,practices_mtss_academics,NA,NA,"Indicates whether the school selected the tag multi-tiered system of support (MTSS) in academics: The learning environment has an explicit multi-tiered system of support wherein students progress is monitored for all students, and students who are progressing at a slower pace are provided with structured academic interventions aligned to their academic needs with varying tiers of intensity. Progress is tracked in an ongoing manner for all students to inform fluid intervention decisions.","The learning environment has an explicit multi-tiered system of support wherein students progress is monitored for all students, and students who are progressing at a slower pace are provided with structured academic interventions aligned to their academic needs with varying tiers of intensity. Progress is tracked in an ongoing manner for all students to inform fluid intervention decisions.",NA,NA,not nested,,NA,NA,y,Not removed ,"2021-22, 2022-23",N,,,
practices_opportunities_mastery,practices_opportunities_mastery,This is not a parent or child tag in 2023,TRUE,multiple opportunities to demonstrate mastery,practices_opportunities_mastery,opportunities_mastery,opportunities_mastery,Indicates whether the school selected the tag multiple opportunities to demonstrate mastery: Students have more than one opportunity to demonstrate their learning in order to show they have achieved mastery.,Students have more than one opportunity to demonstrate their learning in order to show they have achieved mastery.,Students have more than one opportunity to demonstrate their learning in order to show they have achieved mastery.,Students have more than one opportunity to demonstrate their learning in order to show they have achieved mastery.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_ways_mastery,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,multiple ways to demonstrate mastery,NA,ways_mastery,ways_mastery,NA,NA,"Students can demonstrate mastery in multiple ways (e.g. portfolio, oral presentation, test, group project, etc).","Students can demonstrate mastery in multiple ways (e.g. portfolio, oral presentation, test, group project, etc).",NA,,Tag - Specific Practice,Tag - Specific Practice,n,2021,"2018-19, 2020-21",N,,,
"practices_elimination_tracking
IF RETAINED: practices_no_tracking",practices_elimination_tracking,This is not a parent or child tag in 2023,TRUE,no tracked classes,practices_elimination_tracking,elimination_tracking,elimination_tracking,"Indicates whether the school selected the tag no tracked classes: Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that """"lower level"""" classes are removed.","Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.","Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.",Gifted programs are eliminated and barriers to AP removed so that no student is barred from accessing these opportunities.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_oer,NA,,,open educational resources,NA,NA,oer,NA,NA,NA,"The school has a coherent strategy for delivering core curriculum using free, open resources.",NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_other_leaders,practices_other_leaders,"This is not a formal tag, it's the binary response for a follow-up question to co-leadership; remove tag and make sure this and it's open response equivalent practices_other_leaders_text are in variable spreadsheet",FALSE,other co-leaders,NA,NA,NA,"Indicates whether the school selected the tag co-leadership and indicated """"Other"""": School utilizes co-leadership with partners that do not fall under the category of students, teachers, families, community-based organizations, or industry-based partners.",NA,NA,NA,child,,NA,NA,y,Not removed ,,Y,,,
practices_peer_to_peer,practices_peer_to_peer,This is not a parent or child tag in 2023,TRUE,peer to peer support,practices_peer_to_peer,peer_to_peer,NA,"Indicates whether the school selected the tag peer to peer support: The learning environment creates deliberate structures and processes for peer support, e.g. peer mentorship, peer tutoring, peer assessment, accountability partners, etc.","The learning environment creates deliberate structures and processes for peer support, e.g. peer mentorship, peer tutoring, peer assessment, accountability partners, etc.","The school creates deliberate structures and processes for peer support, e.g. peer mentorship, peer tutoring, accountability partners, etc.",NA,not nested,,Tag - Specific Practice,NA,y,Not removed ,"2020-21, 2021-22, 2022-23",N,,,
practices_performance_assessment,practices_performance_assessment,This is not a parent or child tag in 2023,TRUE,performance based assessment,practices_performance_assessment,performance_assessment,performance_assessment,"Indicates whether the school selected the tag performance based assessment: Students apply knowledge or demonstrate a skill in place of traditional assessment, for example, through portfolios, projects, and other displays of progress toward goals.","In assessments, students apply knowledge or demonstrate a skill rather than selecting a correct answer on a test.","In assessments, students apply knowledge or demonstrate a skill rather than selecting a correct answer on a test.","In assessments, students apply knowledge or demonstrate a skill rather than selecting a correct answer on a test. Performance tasks are often authentic, e.g. developing a real proposal to city planners for a new park.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_physical_well_being,practices_physical_well_being,This is not a parent or child tag in 2023,TRUE,physical well being services,practices_physical_well_being,physical_well_being,physical_health,"Indicates whether the school selected the tag physical well being services: The learning environment offers (or partners to offer) comprehensive services to support the physical health and well-being of students, e.g. supports related to nutrition, housing, abuse, bullying.","The learning environment offers (or partners to offer) comprehensive services to support the physical health and well-being of students, e.g. supports related to nutrition, housing, abuse, bullying.","The school offers (or partners to offer) comprehensive services to support the physical health and well-being of students, e.g. supports related to nutrition, housing, abuse, bullying.",The school offers (or partners to offer) comprehensive physical health services for students.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_place_based,practices_place_based,"Missing 2019 equivalent local_focus; consolidate tags here

This is not a parent or child tag in 2023",TRUE,place-based learning,practices_place_based,place_based,local_focus,"Indicates whether the school selected the tag place-based learning: The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.","The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.","The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.","The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,"Called ""foundation in local knowledge, heritage, culture"" in 2019"
practices_portfolios_exhibitions,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,portfolios and public exhibitions of student work,practices_portfolios_exhibitions,portfolios_exhibitions,portfolios AND exhibitions,NA,"Students collect and share evidence of their work over time to demonstrate their learning and growth, and independently present their projects, reflect on their learning, and share progress towards their goals for an audience.","Students collect and share evidence of their work over time to demonstrate their learning and growth, and independently present their projects, reflect on their learning, and share progress towards their goals for an audience.","Students collect and share evidence of their work over time to demonstrate their learning and growth. (portfolios); AND Students independently present their projects, reflect on their learning, and share progress towards their goals for an audience. (exhibitions)",NA,,Tag - Specific Practice,Tag - Specific Practice,n,2022,"2018-19, 2020-21, 2021-22",N,,,
practices_print_materials,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,print materials,NA,print_materials,NA,NA,NA,"For remote learning, curricular materials are printed and distributed physically.",NA,NA,,Tag - Specific Practice,NA,n,2021,2020-21,Y,,,
practices_pbl,practices_pbl,This is not a parent or child tag in 2023,TRUE,project-based learning,practices_pbl,pbl,pbl,"Indicates whether the school selected the tag project-based learning: Students learn through answering complex questions or solving for real-world problems (e.g. homelessness in their city, or a marketing challenge faced by a real company). Also called problem-based learning, inquiry-based learning, or learning-by-doing.","Students learn through answering complex questions or solving for real-world problems. Also called problem-based learning, inquiry-based learning, or learning-by-doing.","Students learn through answering complex questions or solving for real-world problems. Also called problem-based learning, inquiry-based learning, or learning-by-doing.",Students learn through answering complex questions or solving for real-world problems. Also called problem-based learning or inquiry-based learning.,not nested,,Tag - General Approach,Tag - General Approach,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_projects_primary,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,projects as primary method of learning,NA,projects_primary,projects_primary,NA,NA,"Projects are a central approach to learning core content and skills, rather than added on as extra activities once core content is covered.","Projects are a central approach to learning core content and skills, rather than added on as extra activities once core content is covered.",NA,,Tag - Specific Practice,Tag - Specific Practice,n,2021,"2018-19, 2020-21",N,,,
practices_real_time_data,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,real time data use to drive instruction,NA,real_time_data,real_time_data,NA,NA,The school has created systems and routines to continuously monitor progress and tailor learning activities.,The school has created systems and routines to continuously monitor progress and tailor learning activities.,NA,,Tag - Specific Practice,Tag - Specific Practice,n,2021,"2018-19, 2020-21",N,,,
practices_real_world,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,real-world problem solving,practices_real_world,real_world,real_world,NA,"Student projects involve action steps to solve or meaningfully improve real-world problems (e.g. homelessness in their city, or a marketing challenge faced by a real company).","Student projects involve action steps to solve or meaningfully improve real-world problems (e.g. homelessness in their city, or a marketing challenge faced by a real company).","Student projects address real-world problems (e.g. homelessness in their city, or a marketing challenge faced by a real company).",NA,,Tag - Specific Practice,Tag - Specific Practice,n,2022,"2018-19, 2020-21, 2021-22",N,,,
practices_reallocation_resources,practices_reallocation_resources,This is not a parent or child tag in 2023,TRUE,reallocation of resources for those most in need,practices_reallocation_resources,reallocation_resources,reallocation_resources,"Indicates whether the school selected the tag reallocation of resources for those most in need: Distributing school resources equitably, so students receive support and resources according to their need rather than every student receiving the same supports. (Example: assigning most experienced and highest skilled teachers to students needing the most help.)",Example: assigning most experienced and highest skilled teachers to students needing the most help.,Example: assigning most experienced and highest skilled teachers to students needing the most help.,Example: assigning most experienced and highest skilled teachers to students needing the most help.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_relevant_learning,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,relevant and contextualized learning assignments,NA,NA,relevant_learning,NA,NA,NA,Teachers develop assignments and learning experiences that are relevant to each student's interests and contextualized to their lives.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_remote_accommodations,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,remote accommodations,NA,remote_accommodations,NA,NA,NA,The school offers special education services to students learning remotely.,NA,NA,,Tag - Specific Practice,NA,n,2021,2020-21,Y,,,
practices_restorative,practices_restorative,This is not a parent or child tag in 2023,TRUE,restorative practices,practices_restorative,restorative_practice,restorative_practice,"Indicates whether the school selected the tag restorative practices: Restorative practices are used to resolve conflict and strengthen relationships among individuals and within communities in ways that are intentionally restorative, developmentally appropriate, and equitably applied.. (In contrast to reacting to harmful or hurtful behavior with punishment or suspension.)",Restorative practices are used to resolve conflict and strengthen relationships among individuals and within communities. (In contrast to reacting to harmful or hurtful behavior with punishment or suspension.),Restorative practices are used to resolve conflict and strengthen relationships among individuals and within communities. (In contrast to reacting to harmful or hurtful behavior with punishment or suspension.),Restorative practices are used to resolve conflict and strengthen relationships among individuals and within communities. (In contrast to reacting to harmful or hurtful behavior with punishment or suspension.),not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_rigorous_coursework,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,rigorous coursework for all students,NA,NA,rigorous_coursework,NA,NA,NA,For example: ensuring marginalized students are receiving appropriately challenging material; recruitment of underrepresented students for AP or IB courses.,NA,,NA,Tag - Specific Practice,n,2019,2018-19,Y,,,
practices_rotating_schedule,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,rotating or staggered schedules,NA,rotating_schedule,NA,NA,NA,The school uses a rotating schedule to reduce the total number of students on campus during in-person learning.,NA,NA,,Tag - Specific Practice,NA,n,2021,2020-21,Y,,,
practices_sel_curriculum,practices_sel_curriculum,This is not a parent or child tag in 2023,TRUE,SEL curriculum,practices_sel_curriculum,sel_curriculum,sel_curriculum,Indicates whether the school selected the tag SEL curriculum: The learning environment has adopted a formal classroom curriculum for social and emotional learning outside of academic subjects.,The learning environment has adopted a formal classroom curriculum for social and emotional learning outside of academic subjects.,The school has adopted a formal classroom curriculum for social and emotional learning outside of academic subjects.,The school has adopted a formal classroom curriculum for social and emotional learning outside of academic subjects.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_sel_integrated,practices_sel_integrated,This is not a parent or child tag in 2023,TRUE,SEL integration school-wide,practices_sel_integrated,sel_integrated,sel_integrated,Indicates whether the school selected the tag SEL integration school-wide: The learning environment integrates social and emotional learning throughout the academic curriculum and other activities (in contrast to a stand-alone SEL curriculum).,The learning environment integrates social and emotional learning throughout the academic curriculum and other activities (in contrast to a stand-alone SEL curriculum).,The school integrates social and emotional learning throughout the academic curriculum (in contrast to a stand-alone SEL curriculum).,The school integrates social and emotional learning throughout the academic curriculum (in contrast to a stand-alone SEL curriculum).,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_student_pace,practices_student_pace,This is not a parent or child tag in 2023,TRUE,self-paced learning,practices_student_pace,student_pace,student_pace,Indicates whether the school selected the tag self-paced learning: Students determine their own pace in learning rather than being required to move at the same pace as a whole group.,Students determine their own pace in learning rather than being required to move at the same pace as a whole group.,Students determine their own pace in learning rather than being required to move at the same pace as a whole group.,Students determine their own pace in learning rather than being required to move at the same pace as a whole group.,not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_service_learning,practices_service_learning,This is not a parent or child tag in 2023,TRUE,service learning,practices_service_learning,service_learning,service_learning,"Indicates whether the school selected the tag service learning: Students engage in meaningful community service to enrich the learning experience, learn civic responsibility, and strengthen their communities.","Students engage in meaningful community service to enrich the learning experience, learn civic responsibility, and strengthen their communities.","Students engage in meaningful community service to enrich the learning experience, learn civic responsibility, and strengthen their communities.","Students engage in meaningful community service to enrich the learning experience, learn civic responsibility, and strengthen their communities.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_social_justice,practices_social_justice,This is not a parent or child tag in 2023,TRUE,social justice focus,practices_social_justice,social_justice,NA,"Indicates whether the school selected the tag social justice focus: The learning environment uses a social justice lens to design curriculum, instruction, policies, and community engagement. This could include work to understand and address large, complex social issues such as poverty, food insecurity, racism, and environmental justice.","The learning environment uses a social justice lens to design curriculum, instruction, policies, and community engagement. This could include work to understand and address large, complex social issues such as poverty, food insecurity, racism, and environmental justice.","The school uses a social justice lens to design curriculum, instruction, policies, and community engagement. This could include work to understand and address large, complex social issues such as poverty, food insecurity, racism, and environmental justice.",NA,not nested,,Tag - Specific Practice,NA,y,Not removed ,"2020-21, 2021-22, 2022-23",N,,,
practices_sel,NA,AT has a 2023 equivalent var name but was not a 2023 var,TRUE,social-emotional learning,NA,sel,sel,NA,NA,"The school has a comprehensive strategy to support students' social and emotional development (e.g. self-management, social awareness, relationship skills, etc), which manifests across curriculum, school culture, classroom management, discipline, and behavior expectations.","The school creates a culture supportive of students' social and emotional development (e.g. self-management, social awareness, relationship skills, etc).",NA,,Tag - General Approach,Tag - General Approach,n,2021,"2018-19, 2020-21",N,,,
practices_station_rotation,practices_station_rotation,,,station rotation,practices_station_rotation,station_rotation,station_rotation,"Indicates whether the school selected the tag station rotation: A blended learning model in which students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station. In some cases the online learning station may be a computer lab (also known as """"lab rotation"""").","A blended learning model in which students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station. In some cases the online learning station may be a computer lab (also known as ""lab rotation"").","Students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station.","Students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station.",child,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_advisories,practices_advisories,This is not a parent or child tag in 2023,TRUE,student advisories,practices_advisories,advisories,advisories,"Indicates whether the school selected the tag student advisories: Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.","Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.","Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.","Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.",not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
practices_student_conferences,practices_student_conferences,This is not a parent or child tag in 2023,TRUE,student-led conferences,practices_student_conferences,student_conferences,student_conferences,"Indicates whether the school selected the tag student-led conferences: Students plan and lead a meeting including parents and teachers to discuss the student's learning, growth, Individual Education Program (IEP) and/or reclassification from English Learner services if applicable. (As opposed to parent-teacher conferences without students present.)","Students plan and lead a meeting including parents and teachers to discuss the student's learning, growth, and/or Individual Education Program
 (IEP) if applicable. (As opposed to parent-teacher conferences without students present.)",Students plan and lead a meeting including parents and teachers to discuss the student's learning and growth. (As opposed to parent-teacher conferences without students present.),Students plan and lead a meeting including parents and teachers to discuss the student's learning and growth. (As opposed to parent-teacher conferences without students present.),not nested,,Tag - Specific Practice,Tag - Specific Practice,y,Not removed ,"2018-19, 2020-21, 2021-22, 2022-23",N,,,
