School Name,CanopyID,Formatted disclosable nominator list,Displayed in Portal?,Reason for nominating (from Nominations)
The Workshop School,429,A Revolution in Education,"Spring 2023,Spring 2024","The mission of The Workshop School is to unleash the creative and intellectual potential of young people to solve the world�s toughest problems. It is a project-based school that puts real-world problems at the center of the curriculum. There are no academic admission requirements. Students at The Workshop School are eager to explore interests and passions, willing to collaborate, and able to persist through challenges and setbacks., The school's mission is to unleash the creative and intellectual potential of young people to solve the world's toughest problems. It accomplishes this by putting real-world problems at the center of the curriculum and evaluating students' work based on the progress they make in defining, exploring, and ultimately developing solutions to those problems. The school emphasizes project-based learning, internships, strong community partnerships, and dual enrollment programs. It also focuses on community first, supporting students in and outside of school, and going deep on restorative practices."
The U School,431,A Revolution in Education,"Spring 2023,Spring 2024","Students are engaged in real-world, community-based activities which support their learning in context driven by their interests.  Through this methodology they become empowered to consider what THEY want to do in the world and how they can do that."
Lewisburg Elementary,445,Kentucky Department of Education: Office of Continuous Improvement and Support,"Spring 2023,Spring 2024",Lewisburg Elementary School has a laser focus on creating a learning environment that is learner-centered with equity for all kids and a vision to prepare students for what's next by creating a whole child model with a profile of a learner (including skills and dispositions in addition to academic content) at its core.
"Ke Kula ʻo Samuel M. Kamakau, LPCS",448,an anonymous organization,"Spring 2023,Spring 2024","Culturally Relevant Assessments N? Ala Ho�okele (Guiding Principles) Ma o ka �?lelo Hawai�i e ola ai n? iwi o n? k?puna.  �O ke Kumu Honua Mauli Ola ka pou hale o k?kou. E lei �ia ana n? �ano a�o a pau i ka lanakila ma o ka �ike kino. �O n? �ohana ke kula, ke kaiaulu n? k?ko�okolu e k?ko�o ai ka hale. Translation: The Hawaiian language is our foundation that enables us to honor our ancestors and perpetuate our traditions, The principles of Kumu Honua Mauli Ola, the Hawaiian Educational philosophy, form the support structure of our school. All learning styles will be supported so that our children will attain equitable success. Families, school and community are equal partners of our success."
Nokomis Regional High,452,Great Schools Partnership,"Spring 2023,Spring 2024","Nokomis is a rural school with significant poverty who over the last 8 years has implemented a thoughtful proficiency-based learning system.  They are a model for how to transform a school through significant professional development for teachers with an unwavering focus and direction., Nokomis has dedicated over ten years to transforming its instructional model  to immerse students in meaningful learning experiences that relate to their interests and passions. Students learn through project-based learning, interdisciplinary courses, and career exploration units. Staff are encouraged to bring their expertise and interest into classes, and several have collaborated with each other to create interdisciplinary classes. "
Uxbridge High School,455,The Learning Accelerator,"Spring 2023,Spring 2024",The school has an extensive engineering program that provides application of STEM skills with career paths
"Dził Ditł'ooi School of Empowerment, Action, and Perseverance (DEAP)",457,NACA Inspired Schools Network,"Spring 2023,Spring 2024","Dzil Ditl�ooi School of Empowerment, Action and Perseverance (DEAP) is a community-based, Common Core-aligned state charter school committed to improving academic and cultural achievement opportunities for Native youth. In Navajo, New Mexico where DEAP is located, the area is rich with Native history, culture, land, and natural water sources. The mission of DEAP is to help students develop a sense of place, tradition, and wellbeing, preparing and empowering youth to take action in transforming their community and the world around them. DEAP offers equitable and culturally relevant learning environments and instructional material; maintenance of Din� (Navajo) language; and opportunities for engagement with the local community. DEAP provides a strong, Indigenous curricula designed to be culturally relevant for a 100% Navajo student body by drawing on the rich cultural and social resources in the community that are often absent from traditional schools. DEAP�s educational model rebuilds students� relationships with their culture and sovereign status, helping students reclaim pride in their history and community. For example, DEAP�s classroom climate includes coursework that is accompanied by experiential opportunities, such as 6th-9th grade students working through a traditional Kinaald� rite of passage ceremony, celebrating the transition from child to adult within the tribe. Students work together in planting a community garden with traditional seeds and plants. The Din� language is closely interwoven into academic and experiential activities. This promotes comprehensive, hands-on learning, encountering language�s role in describing traditional activities, and studying the etymology of language over time (such as the influence of Spanish and English). Student learning opportunities are connected to real life, their culture, and their community through service orientated projects. At a macro-level, this establishes a school culture and environment that embraces its Indigenous roots as well as the strengths that are abundant within the community."
The Albuquerque Sign Language Academy,458,Education Resources Consortium,"Spring 2023,Spring 2024","Integrated classes, innovative approaches to serving deaf and hard-of-hearing students side by side with ""regular"" education students, teacher training program, multiple partnerships to enhance learning opportunities, planning for a new high school that will employ unique and innovative structures and practices beyond the industrial model.  , This school is not only serving a unique student population but is a communication school rewriting the structures of education. The bilingual ASL-English environment is one of a kind and they've partnered with the university to train educators to fit their community needs. "
Spring Grove School,462,Minnesota Learner-Centered Network,"Spring 2023,Spring 2024","Spring Grove stands out form other schools because the adults in the system are committed to and sustaining their focus on true innovation, instead of only improving the industrial model of education.  The leaders within this small K-12 school are creating the conditions for the teacher leaders to develop the agency to flip a conventional system on its head to become a student-centered learning environment. They are redefining the roles for students, teachers and positional leadership.  Students are invited to the governing table of the school. Students are co-creating their learning experience with the adults. Students have a voice and are given opportunities to develop their agency in their own learning journey. This small rural school is a power house of innovation and a model for other 'traditional' school districts!!"
The Forest School,466,"Transcend, Mastery Transcript Consortium","Spring 2023,Spring 2024","The Forest School is a micro-school that centers student agency and gives all learners opportunities to design their own learning journey. The school leverages hands-on ""quests"" in which students are at the center of their own Hero's Journey. They also utilize portfolios and exhibitions rather than grades, as well as mixed-age classrooms rather than industrial-style age-based cohorts., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Burlington City & Lake Semester,472,Vermont Learning for the Future,"Spring 2023,Spring 2024","This program was created to actively engage students in understanding and improving the quality of life for all within the greater Burlington area. Students were partners in the design and implementation of the program, and continue to shape the evolution of the model. Many schools-within-schools intend to serve as innovation hubs for the greater school district; BCL is making good on that promise. "
Winooski Middle High School,473,"UP for Learning, Vermont Learning for the Future, Mastery Transcript Consortium","Spring 2023,Spring 2024","Beginning in 2011, the Winooski Schools embarked on a mission to redesign our educational program to better reflect the skills needed to succeed in the 21st century. We were awarded a 6-year grant from the Nellie Mae Education Foundation that funded opportunities for teacher growth as innovators and leaders, one-to-one technology, and an outreach effort that extended into the community�s living rooms and conference rooms to ask �What do our students need to succeed?�  The answers to that question were distilled into our six Graduate Expectations, or GXs: Communication, Critical Thinking, Culture & Community, Creativity, Persistence, and Wellbeing. Currently, students demonstrate the first two in order to graduate, with all required by 2022. Each is assessed through a multi-stage performance-based assessment and final demonstration of learning during our Expo Weeks in January and June. Students are also assessed for graduation in 19 academic proficiency areas and through skill tests in reading and mathematics.  Our innovations include the iLab for fully personalized learning, a self-paced Math Lab for students at all levels, integration of technology in language learning, and numerous student-driven core courses. We also invest in student voice and leadership training, which is integrated with our expanded advisory curriculum. With support from the Rowland and Barr Foundations, Winooski is currently mapping and engaging with a wide variety of community-based partners to provide flexible pathways to graduation.  In all our practices, we aim to motivate students to achieve by fostering their engagement and ownership of learning., Winooski has been a leader in supporting learner-centered, competency-based learning, equity-centered design, deep community engagement, restorative practices, and flexible pathways to graduation. They have developed programs (iLab, Community Capstones, multi-lingual community supports), partnered with multiple funders and community partners and demonstrated long-term commitments to anti-racist work.  , This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., The Winooski Middle High School (WMHS) is strengthening and innovating upon existing programming to boost its STEAM (Science, Technology, Engineering, Arts, and Math) access to all students. The WMHS Computer-Based Music-Making Program launched in 2021, driven by student interest. The Computer-Based Music Making Program is a class offered to students that allows them to create, record, and produce their own music or audio recordings using computer technology. Approximately 45% of WMHS students have resettled in Winooski through the refugee resettlement program. Among them, they speak around 20 languages, predominantly Swahili, Somali, French, and Nepali. For these students, music is a common language. For some Winooski students, who struggle academically, music has been an anchor, keeping them connected to the district and providing an outlet for their talent. Many students want to make music in their own languages or write songs that students can sing in class. This program has enabled students to express themselves and connect with other students, and the broader community and is an excellent way to be inclusive and provide equitable access to arts education.
 

 Additionally, Winooski’s promise to their community includes: 
 Students have voice and choice in their learning.  
 • Students are excited about the topics they are learning as they are tied to their interests and their futures. 
 • Learning is personalized and is relevant and meaningful to each student. 
 • Each student develops a personalized learning plan tailored to their needs, interests and passions. 
 • Students own their learning, are confident, and are willing to take on leadership roles. 
  
 The Winooski High School environment encourages student DISCOVERY and RETENTION of learning. 
 • Each student’s individual learning needs are supported. 
 • Students choose how they learn and how they demonstrate their learning. 
 • Students advance at their own pace, with guidance from their advisor. 
 • Students move toward graduation as they master each topic. 
 • Classes are small in size and enable teachers to engage and challenge each student’s learning style and ability. 
  
 Winooski High School is preparing students for SUCCESS in the 21st century. 
 • Through our GXs and GPs, students learn new transferable skills like communication, critical thinking, problem-solving and collaboration; essential skills that will help students work in ever-changing, diverse workplaces. 
 • Students study real-world topics through project-based learning which takes a topic a student is interested in and ties it with the skills the student needs to develop in particular areas, including math, science and English. 
 • Our schools’ diversity enables students to think globally, gain a deeper understanding of the world, and provides students with a unique leverage in achieving success in career and life. 
 • We focus on the whole student, mind, spirit and body and help students appreciate that wellness is something that they need and should carry on through life., 
Proficiency based learning
New Americans / Newcomer program
Learning beyond the school walls
iLab - personalized learning"
Wish Community School,476,The Center for Learner Equity,"Spring 2023,Spring 2024","WISH has a strong commitment to social justice through inclusion and diversity. Their leadership commits to taking a whole-scholar approach to educating their students, with equal emphasis placed on both academics and social-emotional growth, while providing a community-based learning approach and striving for academic excellence among all students. , WISH Charter School was founded and designed based on input from families of students with disabilities.  At WISH Charter School, teachers have a culture in which they would regularly observe one another’s classrooms to learn from their colleagues who were more advanced in the co-teaching strategies they were trying to learn. The school also partners with a higher education institution and is a  “research to practice” site for training teaching candidates. "
Central Queens Academy - Middle School,479,Diverse Charter Schools Coalition,"Spring 2023,Spring 2024","CQA, a member of the Diverse Charter Schools Coalition, celebrates its diverse and varied scholars, staff and families. It seeks to foster connections for young people to feel empowered to make positive changes in their community while also helping each other learn and succeed in school.  CQA scholars reflect the diversity of Queens:  65% Hispanic/Latino  18% Asian/Pacific Islander  15% African-American  2% Caucasian/White  88% Free/Reduced Lunch"
Manara Leadership Academy,480,Achievement Network,"Spring 2023,Spring 2024","Manara Academy District serves a highly diverse population of students. Many of their families are immigrants for whom Manara is their first experience with the American education system. They are implementing a tactic called family academies across their district in an effort to drive family engagement. While they had begun planning for the strategy prior to COVID-19, they have ramped up their process in light of the pandemic in order to ensure that students and families have what they need to success with virtual and blended instruction. "
Detroit Prep,483,Diverse Charter Schools Coalition,"Spring 2023,Spring 2024","Detroit Prep is a new member of the Diverse Charter Schools Coalition and is guided by these four principles:  Our work is active. We learn by doing and getting our hands dirty. Students are scientists, urban planners, historians, and activists, investigating real community problems and collaborating with peers to develop creative, actionable solutions. Adults are active guides of student learning and active members of their professional learning community.  Our work is inclusive and equitable. Students and adults celebrate the diverse backgrounds of their peers. School leaders work to recruit and attract a population of families and faculty that represents different socio-economic, racial, and ethnic backgrounds.  Our work is excellent. Students at all levels are pushed and supported to do more than they think they can. Excellence is expected in the quality of their work and thinking. School leaders, teachers, students, and families share rigorous expectations for quality work, achievement, and behavior.  Our work is reflective. Students and adults reflect as they triumph and as they stumble. Students and adults offer direct and sensitive feedback to their peers. Trust, respect, responsibility, and joy in learning permeate the school culture., At Detroit Prep, our learning approach focuses on developing and nurturing the the whole child through multiple dimensions of student achievement: a commitment to mastery of knowledge and skills, character development, high-quality student work, and family and community engagement. Our unique approach is grounded in hands-on, collaborative learning with a backbone of social-emotional curriculum."
Exploration High School,493,Fielding International,"Spring 2023,Spring 2024","What most stands out is how the learning environment is designed to adapt to the unique needs, gifts, interests, and life experiences of the students. This starts by prioritizing relationships and student wellbeing, and using more flexible structures including time and space that cultivates agility within the learning environment. , What stands out is how the entire learning ecosystem is designed to adapt to the unique needs, gifts, and life experiences of the students. That, paired with an ongoing commitment to marry student voice with community difference making, and the environment becomes a place centered on deep relationships, well-being, and purpose-driven learning experiences. "
Revolution School,495,Next STEP High,"Spring 2023,Spring 2024","Revolution School has brought together students from all different zip code across Philadelphia to tackle real-world challenges and innovative curriculum together. Their thematic units, community work, and approach to telling their story make them truly stand out in our minds of what is possible and attainable in the innovative school design space., At Revolution School, high school students co-create their academic journeys through their experiential learnign model and community parnterships. Revolution School connects students to problem solvers, innovative leaders, and creative thinkers and prepares them to one day step into those roles themselves., Revolution School executes a new high school model designed to unleash the learning that happens when students and communities come together to listen, learn and lead.  Their opportunity readiness skill building program designed with and for diverse young people, and paired with an authentic community, ignites the ingenuity we need for both the present and future of work. They harness the resources of local communities and organizations across Philadelphia and beyond. "
PS 13 Clement C Moore,497,Robin Hood Learning + Technology Fund,"Spring 2023,Spring 2024",Transforming the school to integrate computational thinking across content areas. 
Wilder Middle School,498,Clayton Christensen Institute,"Spring 2023,Spring 2024",Wilder has developed a flexible learning environment that leverages blended learning to empower students.
Village High School,499,Clayton Christensen Institute and The Learning Accelerator,"Spring 2023,Spring 2024","Village Academy has developed a flexible learning environment that adapts to students' needs and interests and empowers them to pursue their interests and passions., The school provides a flexible schedule for students involved in athletics, music, theater, or other community activities. Students learn through individualized competency-based curriculum, engage in collaborative problem solving activities, and conduct personal inquiry investigations. All upperclassmen have the opportunity to participate in community-based career exploration and internship experiences. Each grade level has a small number of students. This small learning environment allows the school to build deep relationships with students and to further personalize the learning experience. , Village High School offers its core content instruction in an online, competency-based format so that students can have the time, place, path and pace of instruction tailored to their needs and so that the school has more time and capacity to offer an array of engaging non-core learning experiences aligned to the interests and passions of students and staff., Their flexible blended learning model enables students to explore their passions."
Launch High,501,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., Their model allows students to progress based on mastery and pursue passions beyond the walls of the school. , This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Liberty Academy,502,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
DREAM Charter School,504,Transcend,"Spring 2023,Spring 2024","DREAM Charter High School's mission is to create powerfully literate young people who are self-determined to leverage their achievements to empower others in their communities. Located in East Harlem, this charter school serves and was created to serve its immediate community. DREAM HS also offers flexible learning environments with dedicated rigorous curriculum aimed to empower its young people through social consciousness and action in community. "
Red Bridge,506,Transcend,"Spring 2023,Spring 2024","Red Bridge's mission is to develop a sense of agency in every child as the foundation for academic and life success. Their definition of agency is the following: the ability to set meaningful goals and have the will and skill to achieve them. At Red Bridge, the learning environment is intentionally designed to grow a set of habits/transferable skills that equip learners to enact their agency now and in the future. These skills set learners up for lifeline learning and include work habits, character habits, communication and computational habits, and more. 

Red Bridge has developed an agentic curriculum as well as processes, routines, and structures to support agency development. At Red Bridge, learners set meaningful goals regularly with support, engage in deliberate skill building on habit formation, reflect on their progress with a learning guide, and participate in choice-fulled, student-led learning experiences. "
Nyos Charter School,511,Transcend and Texas Public Charter Schools Association,"Spring 2023,Spring 2024","NYOS is a PK-12 pre-collegiate charter school that seeks to support the whole student. Through rigorous academics through collaborative teaching and learning strategies and expectations for civic engagement, they ensure students are well-prepared post-graduation. Their educational model focuses on small class sizes, research-based professional learning, field-based experiences, and a commitment to meeting individual students' needs., At NYOS, schooling isn't rigidly organized around age-based grade levels. Instead, students learn in flexible groups based on their personal progress toward subject mastery. An eight-year-old who is advanced in math might work on fractions alongside ten and eleven-year-olds—but if she’s struggling with reading, she might analyze novels with younger students until she moves ahead. This approach centers the needs of its diverse students, especially those who are particularly ahead or behind in a particular subject."
Long-View Learning,512,Transcend,"Spring 2023,Spring 2024","Long-View Micro School was developed with a very intentional emphasis on school culture--one that would support a love for lifeline learning, building knowledge socially, and learning through inquiry and argument. Long-View is designed so that all learners engage in practices authentic to the academic disciplines they study. With a focused academic footprint, parents and learners have the opportunity to customize their education. Rather than restrictive grade bands, Long-View students learn in mixed-age groups, called Bands. These multi-aged cohorts promote stronger learning as well as ensures all learners are stretching toward the highest expectations.

Their approach to math is incredibly innovative. Their math block is a rich, dimensional experience. There are multiple goals at play at any one time and the math content isn't explored in a strict, linear trajectory. Here, learners engage in active discourse around math concepts, evolving their understanding though discussion, making critical observations of their peers' work, and more. , Long-view is well regarded for its innovative and rigorous approach to mathematics, both in their approach to teaching and learning. Long-view offer the number lab to train teachers in their unique approach. They focus deeply on relationship-building."
Career Academy High School,517,Indiana Department of Education,"Spring 2023,Spring 2024","Career Academy SB provides pathways for students to gain valuable work-based learning experience and credentialing that supports enrollment, enlistment, and employment. The staff is dedicated to engaging students in project-based learning opportunities. This in itself creates the foundation for student-centered learning as they drive the course of their experience based on their interests. "
Richland Two Institute of Innovation (R2i2),518,Open Way Learning,"Spring 2023,Spring 2024","R2I2 is setting the gold standard for how students can work directly with businesses and community organizations to not only apply academic skills they are learning as part of their high school experience, but to do so in a deeply learner-centered environment that enables them to develop success skills such as collaboration, creative problem solving, design thinking, and entrepreneurship that they will use for a lifetime. Such opportunities are available to all students in the Richland 2 district, with a particular emphasis on equity. "
PS 86 Kingsbridge Heights,519,Robin Hood Learning + Technology Fund,"Spring 2023,Spring 2024",The innovative way they're able to integrate C.T.
Penrose Elementary School,520,Colorado Education Initiative,"Spring 2023,Spring 2024","School-wide focus on design thinking protocols to help students - as young as kindergarten - develop their skills and competencies aligned with the district's graduate profile. Students own their own learning and practice the being problem solvers, critical thinkers, and leaders. They endeavor to be innovative, creative, and strong communicators while solving their design challenges, and learn to be determined, resilient, and goal-oriented. "
Yampa Valley High School,522,Colorado Education Initiative,"Spring 2023,Spring 2024","Yampa Valley High School has redesigned their approaches to student-centered learning with a focus on helping students discover their individual strengths and identities and to develop their unique paths to a successful future. The do this by nurturing a culture of personal growth, collaboration, and acceptance through meaningful relationships and learning experiences to promote academic and personal success. They focus on meeting each and every student where they are at, and on building a community that promotes acquisition of the competencies outlined in their graduate profile."
Crossroads FLEX,526,Clayton Christensen Institute,"Spring 2023,Spring 2024","Crossroads FLEX serves students whose outside interests and activities such as the arts, sports, and entrepreneurship."
Helen S Dunn Elementary School,530,Penobscot River Educational Partnership,"Spring 2023,Spring 2024","Middle School students participate in an Outdoor Adventure Classroom. This classroom includes Reading, Math, and Science Observations as part of the day as students work and learn in an outdoor environment. Our students are also learning about Maine woods, Maine waters, and appreciating the environment."
Cabot School,532,Vermont Agency of Education and Mastery Transcript Consortium,"Spring 2023,Spring 2024","Cabot School is a small, rural, pre-k to 12 project-based community school located in Cabot, Vermont. The school serves approximately 160 students in grades pre-k through 12 through a unique and innovative project-based program that is deeply connected to the community. In the 2018-2019 school year, Cabot School began multiple initiatives designed to build safe, inclusive, and equitable learning environments for all students. These initiatives included PBIS, restorative practices, and trauma informed practices. In the 2020-2021 school year, these initiatives were consolidated into what we term Crew. Crew mindset is characterized by an ethic of teamwork, positivity, and growth-mindset. The Crew team facilitators plan and implement school-wide structures and strategies that are designed to ensure teachers and students have the capacity to build community through relationships and deepen their ability to resolve conflict independently. As members of the leadership team, they facilitated a school culture committee to focus us particularly on becoming a culture of belonging and inclusion., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
CLK Engage at CLK Elementary School,535,Horizons Alternative Education School and MiCoOp,"Spring 2023,Spring 2024","CLK Engage has merged critical stakeholder input with the traits of a student-centered, competency-based learning environment to tailor a personalized learning program specific to our needs coming out of pandemic learning.  Many of our parents where tired of the amount of online learning and dependency upon technology during the pandemic.  So, the challenge our team faced was how to create a personalized learning program without a dependence on technology.  They met this challenge with the establishment of a multi-age program that personalizes learning with a focus on ELA and Math through flexible, in-person scheduling. , CLK Elementary School began CLK Engage beginning the 2021-22 school year. This microschool is an opt-in option for parents with students in grades 1-3. They plan to add grades 4 and 5 next school year. There are currently three teachers and 60 students in the microschool. After a 10-15 minute morning meeting where all gather, students go to their homeroom. Students move during the day based on assessment data in reading and math. For example, a ""first-grade"" student performing above grade level in reading will attend the ""second-grade"" teacher's reading class while a ""third-grader"" needing more time to develop foundational math skills will attend a ""second-grade"" math class. Students move along the scope and sequence continuum in these subjects without being held back or forced to move forward because of their traditional grade level. 

All students receive whole group and small group instruction from their teachers. Instruction in core subjects other than reading and math is received from their homeroom teacher and students still participate in elective courses like physical education and art. While technology is used in the classroom as a resource and for supplementary activities, students spend most of their time physically with their teachers. Place-based learning opportunities are embedded into the CLK Engage program through local field trips and “Fun Friday” activities. 

While the demographics for most of the students are similar, every student is on a different learning journey. CLK Engage is addressing the individual learning paths for all students, helping them to reach their highest potential., This school is already in the Canopy project for this program, but they added another grade level this year.
 

 CLK Engage is a microschool within Calumet’s elementary school. They began by combining grades 1-3 in 2021. Grade 4 was added in 2022. All CLK Engage students meet first thing in the morning, creating community. The schedule is structured so all four classes have math at the same time (and reading at the same time) so students can move from one level to another based on their needs. Teachers assess students on a regular basis and reassign them based on their progress."
Northern Cass High School,537,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., Attaching credit to competencies through personalized ""studios"" at the middle level. Educators are embedding profile of a learner competencies in learning experiences at all levels."
Enosburg Falls Junior/Senior High School,539,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
The Delta School,540,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Clark Street Community School,541,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school does a great job making learning flexible and personal based on students' needs and interests., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Acton Academy Venice Beach,545,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Phoenix Modern,549,A for Arizona,"Spring 2023,Spring 2024","Phoenix Modern exists for children to explore, create, and prepare for a life of possibility. It is flexible and student-driven model with lots of creative adaptable spaces for exploration, enrichment, project time, and collaboration. Gone are the days of traditional hallways! They operate as a true community of learners with a core value of wonder and creative physical spaces for playful inquiry. They have a nonlinear learning continuum and guide students to embrace deep practice and productive struggle. Phoenix Modern has strong partnerships with community-based organizations to bring learning to life and students outside the traditional classroom to explore and engage with their community. "
Grayson High School,555,GreatSchools,"Spring 2023,Spring 2024",Student-centered learning
Sequoyah School,566,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Springhouse Community School,567,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates."
Swiftwater Alternative High School,568,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
The Sycamore School,569,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Utah Schools for the Deaf and the Blind,571,Mastery Transcript Consortium,"Spring 2023,Spring 2024","This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates., This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
Black Mother's Forum Microschool,572,Center on Reinventing Public Education and Transcend,"Spring 2023,Spring 2024","The founders used Prenda microschools as a foundation to intentionally design a model to affirm culture, identity, and academic needs of of Black students and correct for institutional racism they have encountered in schools. The innagural site in Phoneix is part of a network of microschools operating under the umbrella of one online charter school. The model uses inherent flexibility of microschooling to provide more individualized support for student learning and wellbeing. , The Black Mothers Forum of Phoenix (BMFP) convened in 2016 to address the safety and welfare concerns of their children, especially their Black sons. BMF provides an affordable, parent-driven model that creates safe, supportive, nurturing, and liberatory environments. BMF infuses culturally responsive content and pedagogy into the Prenda approach where students learn at their own pace, build projects, and work together on collaborative activities. BMF also provides nutritious meals for all students through community partnerships, before- and after-school care, and additional accommodations to meet the needs of students and families, as well as a comprehensive academic program. BMF microschools are intentionally small groups of 5-10 students, each of which is led by two learning guides from the community. BMF hosts microschools in spaces leased from local churches. Prenda/EdKey train
the learning guides and now BMF fundraises to provide funding for
guides who can specialize in connecting and redirecting youth who
have been traumatized by the traditional school experience. "
North Florida School of Special Education,577,Center on Reinventing Public Education,"Spring 2023,Spring 2024",Transition program includes in-house businesses and partnerships with community employers that help students with moderate to severe disabilities prepare for adult life and employment.
Asu Preparatory Academy Digital,587,The Learning Accelerator,"Spring 2023,Spring 2024","Virtual instructional model that's focused on building relationships and connections with students. Students have learning success coaches, who work closely with families and students. "
Texas Tech University K-12,588,The Learning Accelerator,"Spring 2023,Spring 2024","Online K-12 school that focuses on students that are served well by other schools. They allow for flexible scheduling, engage parents as learning coaches, and have only asynchronous classes so students can complete coursework when works best for them."
Coatimundi Middle School,600,Center for the Future of Arizona,"Spring 2023,Spring 2024","Coatimundi Middle School reimagines what it means to be a learner through innovative use of technology, space, curriculum, instruction, and time in order to personalize the experience of its students and move towards a fully learner-centered community."
The 1881 Institute,604,Transcend,"Spring 2023,Spring 2024","The 1881 Institute (1881)—named after the year the Tuskegee Institute was founded—is a workforce development model that addresses the broken pipeline of underrepresented populations entering engineering and advanced manufacturing careers. 1881 formed a homeschool cooperative in response to parents who were unsatisfied with their public school option and wanted their child to pursue a technical vocation as an entryway into engineering. It enables teens to do dual-enrollment earning a college-level credits, credential, and a high school diploma. The first cohort will finish in 2023. 1881 also operates complementary programs including: in-school and after-school programming that is a point of entry for 1881 to identify young talent for the engineering industry; an apprenticeship that combines on-the-job work experience with technical classroom study; and an industry capstone where 1881’s undergraduates convene with companies to tackle real-world, multidisciplinary engineering problems."
