"nominator","school_id","year","nominator_reason_n"
"Aurora Institute",78,2024,"The Parker School is designed from the Coalition of Essential Schools 10 Principles. Learning is designed around Parker’s Criteria for Excellence, which is categorized into the domains of Arts and Humanities (AH), Math, Science, and Technology (MST), Language (Spanish), and Wellness. Students fulfill the Criteria for Excellence within their coursework and subsequently progress through designated """"gateway"""" portfolios and presentations. The autonomy given to students in choosing their topics, designing essential questions, pursuing their interests, and creating high-level demonstrations of learning reflects a student-centered approach."
"Mastery Collaborative",79,2019,"Frank McCourt High School is committed to developing all students to be genuinely college-ready. Their course offerings are determined by the students and teachers together, and there is a strong focus on collaboration and interdisciplinary work.  From a recent article on wnyc.org: """"""""From the minute we opened we had a very diverse population and we needed to navigate that,"""" says Danielle Salzberg, principal of Frank McCourt High School, on the Upper West Side, which opened in 2010. """"Kids come with different educational backgrounds and different socioeconomic backgrounds. We opened our doors fully aware that we were going to be meeting different kids' needs in different kinds of ways.""""  To meet those needs, Salzberg and her team turned to a mastery-based model.  """"It's the best way to provide feedback to students that allows them to understand themselves and be empowered as learners,"""" Salzberg says. """"We focus a lot on student engagement. What are we doing to challenge their thinking and not just have them be compliant?""""  The school is thriving. With 20 percent of its 400-plus students diagnosed with a learning disability and about half of its kids coming from families in economic need, McCourt nonetheless outperforms citywide averages on state-mandated Regents exams, graduation rates and post-secondary enrollment. . . .  Support extends beyond teacher interventions. With a schoolwide emphasis on working in groups, students' most-used academic resources are often their peers. . . .   """"Mastery-based learning is a complete paradigm shift for most teachers,"""" says Salzberg. """"It means thinking about grading as a way to provide feedback, and not a random act that we do because the quarter is ending."""""
"NYC Department of Education",79,2019,NA
"Springpoint",80,2019,"Opened in fall 2017, the Fred Tjardes School of Innovation (FTSOI) is a K-8 school in Greeley, Colorado. The school was designed by a team of teachers, who are the co-founders and current lead collaborators of the school. The objective was to create a school that serves a population that is representative of Greeley with demographics to match that of the community. The current student population is 50.8 % white and 49.1% Hispanic or multiple races, with 49% of the population receiving free or reduced lunch. Designed based on the belief that children are naturally curious and creative learners, the school's mission is to foster an atmosphere that encourages risk-taking and curiosity so that students are empowered to become problem-finders and problem-solvers. One of the hallmarks of FTSOI is the fidelity to its design foundations (mission, instructional vision, core values, and design priorities). The design foundations are not just a series of statements, but rather serve as the foundation for decisions and structures throughout the school and are evident in their daily practice. This leads to a school that iterates on the execution of this design, but still maintains a strong identity grounded in its founding principles. Students explore theme-based topics (loops), with cross-content connections that ask them to learn about topics and concepts in greater depth, in grade level bands. Ingrained in the heart of the school's culture is openness to failure and trying again. The goal is to make failure feel safe so that students aren't afraid to try new things. Additionally, teacher and leadership roles have been reimagined at this school. Teachers are known as Band Collaborators and generally teach two grade levels of students within their band. School leadership responsibilities are distributed among three educators who are both Band Collaborators and Lead Collaborators."
"NewSchools Venture Fund",81,2023,"Building engineers of the future (problem solvers and collaborators) through joyful and rigorous academic engagement."
"Highlander Institute",82,2019,"As Garden City begins their third year of blended and personalized learning journey the work is beginning to throughout the building, from grade level to grade level, and teacher to teacher. Teachers are taking on leadership roles within their schools and throughout the district supporting and showcasing the work by opening their doors internally and to external visitors throughout the district. Teachers take the time to share out best practices and strategies to others, whether it is through district gatherings or staff meetings. The building is in the early stages of implementing innovative practices with the use of maker spaces. "
"NewSchools Venture Fund",83,2023,"The world is changing rapidly and effective education keeps pace with the challenges and advancements students will meet in the real world. Our passion is to provide students a transformational education giving them the knowledge, characteristics, competencies and mindsets for success in college and the next generation workplace."
"Mastery Transcript Consortium",84,2024,"This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates."
"Anonymous",85,2019,"Incredible fidelity to model, gender-specific education at its best, racial and economic diversity as a REAL strength.  Student agency on steroids.  "
"Anonymous",86,2019,"Goochland High School has embraced the integration of technology and work-life ready experiences for every student.  Their forward thinking and their drive for excellent and quality education for all students is remarkable."
"Educurious",87,2019,"This network of school is going to scale with social justice focused project-based learning with all social studies teachers. The teachers at Green Valley Ranch are leading this effort. They have wrap around services for students. Data is showing strong academic gains, increased social and emotional learning indicators and decreased discipline referrals."
"NewSchools Venture Fund",88,2023,"A charter management organization dedicated to improving education in rural communities, encouraging healthy and sustainable lifestyles, and inspiring students, parents, teachers, and communities to expect more from their schools and educational leadership."
"Illinois State Board of Education",89,2019,"Teachers and leaders at Gwendolyn Brooks College Preparatory Academy in Chicago reported that students struggled to understand their grades and felt uncertain about how to improve. In 2016, the school shifted to competency-based education to provide more clarity and foster more student ownership over learning. Brooks is one of 11 schools in Chicago Public Schools participating in Illinois' competency-based education pilot program. In competency-based learning, educators assess and advance students based on demonstrated mastery of specific skills, abilities, and knowledge.       

Brooks Principal Shannae Jackson and her staff created rubrics detailing the learning standards and what mastery of each standard looks like. The rubrics express clear expectations for each performance or project, which helps students self-assess their path forward for improving and/or progressing to the next unit. Students can work at their own pace without feeling left behind or waiting for the rest of the class. Students receive scores on a scale of 0 to 4. A 4 reflects exceeding mastery of the standard, a three reflects mastery, a 2 reflects a minor conceptual error, a 1 reflects a major conceptual error, and a 0 reflects no attempt at the standard or an attempt unrelated to the content. Students receive letter grades based on the percentage of standards met.      

""""Students are starting to talk about needing to demonstrate mastery,"""" said Principal Jackson. """"They'll say, 'This is exactly what I need to do. This is exactly the learning target or standard I have not demonstrated mastery in so I need to do more practice work or go into tutoring.' They can articulate those things clearly. You can hear the language change in the hallways. They're like, 'I'm going in for the retake for the formative. Have you reached mastery yet?' That's because that is the discourse happening around the building."""" "
"Anonymous",90,2019,"Hamilton County Collegiate High School is a partnership between Chattanooga State Community College and Hamilton County Schools. Students attend classes on Chattanooga State's campus and earn college credit, which for some students may be sufficient to earn both a high school diploma and an Associate's degree upon graduation. Students often choose to attend Collegiate to get a different experience from the traditional public high school setting, and appreciated the freedom of attending classes on a college campus as well as the opportunity to interact with a variety of students. Through Chattanooga State's partnership with Volkswagen, students have access to engineering and mechatronics courses at the Volkswagen Akadmie. The school works to accept students from a range of abilities via its admissions process."
"TNTP",91,2019,"Haven Academy has implemented a personalized learning model that features a rigorous curriculum and integrates social-emotional learning throughout its programming in order to disrupt the cycle of trauma many of its students have experienced. The school is located in the South Bronx and by design mostly enrolls foster-involved youth. Students in grade levels that have begun the conversion to a personalized learning model engage in a flexible learning experiences, with voice and choice over what tasks they engage in. Technology is thoughtfully integrated into the school's model to provide students with learning experiences that would not be possible with traditional materials and/or to streamline work for teachers. Also core to the model at Haven Academy is their focus on knowledge-based literacy instruction, cumulatively building knowledge and vocabulary. The integration of social emotional learning throughout Haven Academy's model results in trauma-informed instruction that enables students, the majority of whom are in some stage of foster care and/or live in the most impoverished congressional district in America, to earn academic outcomes that exceed their neighborhood peers and match or (in many cases) exceed the city and state's state overall averages. In addition to providing students who our school systems have historically struggled to educate successfully with the academic skills they need, Haven Academy is also teaching the soft skills students will need to successfully navigate the rest of their education and succeed in the job market of the 21st century."
"Anonymous",92,2024,"HTH prepares a diverse range of students for postsecondary education, citizenship, and leadership in the high technology industry. It boasts state-of-the-art technical facilities for project-based learning, internships for all students, and close links to the high-tech workplace."
"digiLEARN",93,2019,"This elementary school is all about design thinking, digital learning, and the 4 C's which is really transforming classroom instruction. Very student centered where students take charge of their own learning.  Another unique feature is how they have fully embedded STEM throughout the school even in their art classes. "
"Big Picture Learning",94,2023,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves."
"Global Teaching Project",95,2019,"The Advanced Placement (AP) Access Pilot Program is an innovative and first-of-its-kind blended learning program that provides promising high school students access to the advanced coursework they need to achieve their full potential, but which rural, underserved schools such as Holmes Central otherwise could not offer due to limited resources and a chronic, and worsening, shortage of qualified teachers.  With the support of the Global Teaching Project, the Pilot Program provides comprehensive, wraparound services to students and teachers, including access to world-renowned subject matter experts, such as Yale University Physics Professor Meg Urry, as well as college-student tutors from leading institutions including MIT, Stanford, Yale, and Virginia, enabling Holmes Central to leverage its existing resources to provide advanced courses to bright, but underserved students.  In addition to these unique human resources, the blended model also provides students the opportunity to participate in intensive, residential preparatory programs throughout the year at local MS-based universities including the University of Mississippi and Mississippi State University. The Global Teaching Project is excited to nominate Holmes Central HS because of the tremendous efforts it is undertaking to provide historically underserved students access to AP courses. Notwithstanding Holmes Central's significant challenges, it serves as the lone high school for Holmes County, the poorest of Mississippi's 82 counties. The blended learning model has made remarkable initial progress: classroom teachers are engaged and gaining both substantive and pedagogical experience; students are tackling rigorous subject matter (AP Physics 1 is the program's inaugural course) with initial performance data showing promising results; and, perhaps most importantly, students are beginning to reimagine themselves as part of a high-achieving, academically ambitious cohort. As the model expands and continues to improve, the program will help to develop and prepare a pipeline of talented, high-achieving students from Mississippi's most rural and impoverished districts for post-secondary success."
"Anonymous",96,2019,"Turnaround high school - a rare example of high school turnaround that went through a """"blank slate"""" process to reimagine the high school model, rather than tinkering. Model includes thematic pathways that are intended to be an engagement hook to prepare all students for college and career opportunities. Deep and growing partnerships with several area colleges, emphasis on learning outside the school walls through internships, beginning to dismantle historic """"tracking"""" systems. Workshop model instructional focus."
"MiCoOp",97,2021,"Horizons is a close-knit family atmosphere that focuses on SEL for a population that needs a second chance to learn. A strong focus is on monitoring and managing stress levels so that learning can take place. Teachers and students report stress levels at the beginning and end of each day. During these times, 15 minutes is designated to talk about stress and what to do about it. Teachers and students both learn how to empathize with others through these discussions. There is a student lounge with a maker space, therapy dogs, and a weight room where students can go to relieve stress. They also have the ability to leave class with no questions asked. The school staff believe that de-escalation must occur before issues can be addressed. School suspensions are spent in a separate room in the building where students can complete their work. Students can bring their babies to school and have been known to address the entire student body about LGBTQ and BLM issues. Students have access to a food pantry which also contains personal items and clothing. The staff and students at Horizons feel safe, accepted, have a sense of belonging, and are responsible for themselves and others.  Academically, students can move on when ready and they have the option to take project-based courses. Courses are online so when they are not in attendance or are in suspension, they can work on their class work. During advisory, class-related goals are discussed. Eleventh graders also talk with their mentors on test prep and life skills while 12th graders discuss issues related to their senior projects. Horizons Alternative High School is a great example of how learning can occur when the whole child is the focus."
"228 Accelerator",98,2019,"On the campus of Howard University in Washington, DC, Howard University Middle School for Math and Science has a 2:1 laptop program which powers both blended learning and competency based learning experiences. They are also experimenting with the role of identity when creating personalized learning plans and flexible schedules for students, especially in mathematics."
"Anonymous",99,2019,"Network known for consistency and excellence; blended learning program; use of sports to build school culture and comprehensively develop students"
"CSSR (Center for Secondary School Redesign)",100,2019,"IDEATE High is modeled under the belief that Design Thinking and Pedagogies of Hope are interconnected topics that can allow schools to move beyond project based learning to fully constructivist learning environments. His keynote address will focus on articulating and aligning personal philosophies as well as institutional. Part of the framework to fully operationalize Design Thinking in the schools is a commitment to supporting environments of hope for adults and students. For students to fully engage in a constructivist learning environment they must identify with a sense of purpose and agency in order to be motivated and empowered to participate. Towards this end, IDEATE has developed a framework that deploys tenets of Hope Theory research to support students. Hope Theory harnesses the interaction of goal setting, agency development, and pathway knowledge to motivate and empower students. Primarily developed during Student Advisory (5 days/week at the high school, 1/week at the middle school), students are supported in imagining a life beyond school. Advisory leaders assist students in setting positive (near-, mid- and long-term) goals; understanding the work that needs to be accomplished to realize those goals; and realizing their own agency and empowerment to act on their goals. "
"NewSchools Venture Fund",101,2023,"The instructional model has been designed to ensure that every student has the opportunity to meet career- and college-ready standards. The model is based on three essential design elements that have been selected to nurture 21st century skills and habits within a culturally-responsive learning environment: 1. School-based mentor groups, 2. Personalized learning pathways for every student and 3. Project-based learning (PBL)."
"Big Picture Learning",102,2021,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves."
"EdSurge",103,2019,"The school is piloting a new program for English language learners in danger of aging-out of traditional high school, called Accelerate to Graduate (A2G). It's designed in response to young adult immigrants enrolling in our district with hopes, but little expectation of earning a high school diploma, the minimal entry point for most jobs and higher education in the United States: (https://www.edsurge.com/news/2018-05-07-inside-the-project-based-program-that-s-turning-refugees-into-high-school-grads)."
"CT Center for School Change",104,2019,"This is a true turnaround story. It was a school about to be taken over, and now has seen dramatic results in the state accountability index (39.8% increase in a few short years). It has also been identified by the state as a school of distinction for 2018 SBAC results. John Barry and the Meriden Public Schools were awarded the highly competitive American Federation of Teachers (AFT) Innovation Grant  which helps facilitate Barry's transition to an Extended Learning Time School. Extended Learning Time School students receive 100 more minutes of instruction and enrichment a day, which equals 40 more school days a year. Positive changes in school culture, which have created a welcoming and caring school climate, have had a positive impact on student attendance; chronic absenteeism has decreased by 22%. Through the use of Google Classroom in every John Barry grade level, teachers are able to personalize learning to meet the needs of all students by differentiating the assigned work. All classrooms are 1:1 digital learning environments that utilize blended learning strategies. Reading instruction is personalized daily through adaptive reading programs (Freckle, Imagine Learning) which adjust to the students """"just right"""" reading level. K-5 students are engaged in rigorous math activities that are designed for flexible groups and encourage student discourse with a focus on mathematical processes, vocabulary, and the use of multiple strategies. Math instruction is personalized through the use of adaptive math programs (Freckle, ST Math and MyMath) that allow students to work at their own pace based upon their performance     "
"Utah State Board of Education",105,2019,"Juab School District is committed to providing flexible, personalized, and blended learning pathways to success for all students characterized by individual student mastery of standards. We have been working in this space for several years, and this year rolled out a standards-based report card for all students, K-12. We also use micro-credentialing as part of our professional learning for educators, offering a system that mirrors what we want our students to experience. We have made several systemic structural changes that support CBE in our district, from improving the master schedule in secondary schools to offering additional professional learning time for our teachers. We have partnered with many outside experts and have served nationally as a expert model of how a traditional school can evolve towards the personalize learning environment. Some of our partners are: EdElements, Digital Promise, Lexington Institute, Bloomboard, iNACOL, League of Innovative Schools, Mastery Connect, and Digital Promise."
"Evergreen Education Group",106,2019,"Project-based learning with a collaborative environment"
"Anonymous",106,2019,NA
"EmpowerK12",107,2021,"Ketcham is one of four DC schools to earn a Bold Performance School designation by EmpowerK12 every year since we began honoring such schools. Bold Performance Schools serve a high at-risk student population and have combined math and English language arts proficiency rates dramatically higher than schools with similar demographics. Ketcham resides in the heart of the DC Anacostia neighborhood and services one of the city's highest homeless populations. Principal Riddlesprigger and her team are data-driven and family-focused to the core. The Ketcham team doesn't just offer Saturday academy of students with free meals for students and families, the educators teach their students' parents how to be better educators of their own children. They also employ classroom grandparents, community retired volunteers, to help support classroom lead teachers. School leadership reviews strategic data weekly with teachers to track progress on their change ideas. Those ideas span the creative gamut are closely monitored for effectiveness, including a Montessori-style multi-grade classroom created because Riddlesprigger noticed a couple students """"above grade"""" compared to their peers and pushed the into a room with students a little behind to push the pace of all their learning."
"Anonymous",108,2019,"It is fully competency based-K-5 programming. It's a model where the reality of learner centered education is fully developed and the culture supports it."
"Anonymous",108,2019,"KM Explore was created by a group of teacher leaders who were committed in creating learner-centered environments at the elementary level. This model has been in existence for over 5 years and is recognized as a national K-5 learner-centered model. The foundation to their model includes the following five pillars: """"foundation"""" with the following pillars: Optimal Learning Spaces Generative Curriculum Multi-Age Learning Habits of Mind Collaborative Teaching and Learning Here is what they said when we interviewed them in the first year of this model: """"Our goal at KM Explore is to help a learner be an architect of how their learning will look. Just as each building in a community looks different, each plan the learner builds will look different as well. If we start this """"blueprint"""" right away in kindergarten, their is no telling what their """"building"""" of learning will look like into high school and beyond!"""" I am nominating KM Explore as a personalized learning model for many reasons. Here are just a few: KM Explore involves learners in the design of a different kind of school. By being multi-age in structure, community-based in function, and integrated in its curriculum design, KM Explore learners provide evidence of learning in a manner that is meaningful to them. A fluid and adaptable schedule removes traditional boundaries of learning. Integrated curriculum design, the creative process, and high level questioning is woven throughout the learning experience. The fundamentals of reading, writing, and math are foundational to this generative curriculum as they are embedded and integrated into the day-to-day work."
"Center on Reinventing Public Education",109,2023,"Operating under the KIPP charter network, this high school has made many changes over the past several years – including a shift from a """"no excuses"""" school model to one that emphasizes relationship-building. KALC has pushed itself in recent years not to simply define success as pushing its students to obtain a four-year degree, but also building relationships with students so that each individual is equipped with the skills to choose their own pathway, opening doors to transferable skills and enabling students to make informed choices for their futures. Additionally, the school has intentionally pivoted to hire more leadership of color and incorporate more racial justice practices in both their professional learning and curriculum."
"Anonymous",110,2019,NA
"Big Picture Learning",111,2023,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves."
"NewSchools Venture Fund",111,2023,"Latitude High School is focused on real world Project-Based Learning, with strong arts, multimedia, and technology integration. From the time they are 9th graders, students visit over ten different workplaces every year to ignite their career interests and to collaborate with professionals on Real World Projects. All students participate in Extended Learning Opportunities, including internships and student-designed businesses. Latitude graduates are confident  leaders, prepared for college and beyond."
"ReSchool",112,2019,"Micro school within a high-poverty public elementary school; vision to be a cluster/network of public micro schools over time; significant focus on culture, identity, and leveraging assets in the community."
"Anonymous",112,2019,"School within a school model gives students who perform low academically extra supports. Family is INTEGRAL to the model. Microschool approach with a public setting."
"South Carolina Department of Education - Office of Personalized Learning",113,2019,"The Early Childhood Center in Lexington 4 serves a critical need: a high quality whole child learning environment open and available to all pre-school age children in the community.  The Early Childhood Center uses Montessori to ensure a developmentally appropriate approach.  They also partner with parents and the community to provide a comprehensive approach to a whole child education.  Parents and teachers work together in a variety of ways and through a variety of specific structures the school has developed to ensure the experience is personalized for students and their families.  The Early Childhood Center is a focal point of the community and the district has been forward thinking in finding ways to invest so that the opportunity is available to every single student in the community between the ages of 3 and 5.  Teachers nurture student voice and the independence of these young learners is amazing to see in person."
"Anonymous",114,2019,"90/90/90 neighborhood school. 90% minority, 90% FRL and 90% achievement. "
"Illinois State Board of Education",115,2019,"In the fall of 2012, Berwyn North School District 98 schools were the lowest-performing schools among all those that fed into Morton West High School. District leaders set out to transform teaching and learning through culturally responsive practices to better engage their students, of whom 30 percent are English Learners and 90 percent are students of color. Berwyn North's Lincoln Middle School is now in the top 10 percent of all Illinois schools.       Berwyn North conducted both internal and external audits with all administrative, teaching, and support staff and with Berwyn families and community leaders to better understand their formative contexts and identify needs. The resulting professional development focused on five inclusive behaviors and how to integrate these behaviors into the classroom, including: how to give and receive feedback, how to be an advocate, how to make mutual contact, ways to value difference, and how to recognize underrepresentation. The entire staff participated in a book study of Zaretta Hammond's Culturally Responsive Teaching and the Brain.      The district developed a new, culturally responsive curriculum for all students through a teacher-driven process of deep alignment and shared assessments. Culturally responsive curriculum development means not only focusing on what is being taught, but how it is being taught to diverse learners, along with a deep analysis of why. Teams working on the curriculum included teachers and staff from every program, representing all student groups for equitable instruction. The district began working on a microcredential program in cultural responsiveness to track progress.    Page Break    Berwyn North developed a dual language program aligned to integrated English and Spanish language arts standards. Every student in Berwyn learns to read and write in one bilingual setting with all components presented in Spanish and English, with accommodations for special education students. "
"Transcend",116,2019,"Lindsay is pushing hard toward a competency-based model with learners directing their own pathway through competencies in a very real way. They are introducing new strategies every year, such as new scheduling options that are extremely flexible or new technology supports. "
"Rogers Family Foundation",117,2019,"Lodestar is a relatively new school, growing ultimately to a single K-12 school. They leverage maker-centered learning, project-based learning, mixed-aged grouping, and Expeditionary Learning."
"Utah State Board of Education",118,2019,"Logan Innovations gives students the advantage of personalized learning while still giving students the academic, elective, and extracurricular choices of a large comprehensive high school. Logan Innovations provides a personalized learning plan and environment for every student. Each student has the opportunity to dynamically customize their schedule. A student may complete a course as quickly as they demonstrate competency, with the option to begin taking a new course immediately thereafter. Students are able to fulfill high school graduation requirements at a faster pace. This approach allows students the capacity to focus deeply on fewer subjects at a time if they choose, thus increasing their motivation, sense of accomplishment, and empowered self-paced learning. Logan Innovations offers all the core subjects in a competency-based format: Mathematics, Science, Language Arts, Social Studies, and some electives. Students also have access to all courses, clubs, and activities offered at Logan High School, including special education classes and specialized courses such as Bridgerland, AP,  and Concurrent classes."
"Global Teaching Project",119,2019,"The Advanced Placement (AP) Access Pilot Program is an innovative and first-of-its-kind blended learning program that provides promising high school students access to the advanced coursework they need to achieve their full potential, but which rural, underserved schools such as Madison Palmer HS otherwise could not offer due to limited resources and a chronic, and worsening, shortage of qualified teachers.  With the support of the Global Teaching Project, the Pilot Program provides comprehensive, wraparound services to students and teachers, including access to world-renowned subject matter experts, such as Yale University Physics Professor Meg Urry, as well as college-student tutors from leading institutions including MIT, Stanford, Yale, and Virginia, enabling Madison Palmer HS to leverage its existing resources to provide advanced courses to bright, but underserved students.  In addition to these unique human resources, the blended model also provides students the opportunity to participate in intensive, residential preparatory programs throughout the year at local MS-based universities including the University of Mississippi and Mississippi State University. 
The Global Teaching Project is excited to nominate Madison Palmer HS because of the tremendous efforts it is undertaking to provide historically underserved students access to AP courses.  Notwithstanding the school's significant challenges, Quitman County, where the school is located, is among the poorest counties in Mississippi. The blended learning model has made remarkable initial progress: classroom teachers are engaged and gaining both substantive and pedagogical experience; students are tackling rigorous subject matter (AP Physics 1 is the program's inaugural course) with initial performance data showing promising results; and, perhaps most importantly, students are beginning to reimagine themselves as part of a high-achieving, academically ambitious cohort.  As the model expands and continues to improve, the program will help to develop and prepare a pipeline of talented, high-achieving students from Mississippi's most rural and impoverished districts for post-secondary success."
"Next Gen Learning Challenges",120,2019,"Sara Cotner's vision for this school was to integrate three approaches that are too often defended as """"churches"""" by their advocates: Montessori, no-excuses/standards-based, and digital/blended. Her idea was to take the most important and valuable elements from each approach and integrate them to create a new model. Our view is that she and her team have been able to do exactly that.  Too often, educators and reformers see only a narrow set of pedagogical approaches supporting a commitment to high achievement on standards-based metrics. Montessori for All is attempting to demonstrate that you can generate high achievement on state-generated standards through approaches that are more whole-child oriented. The schools is very obviously a Montessori school, first and foremost. But unlike most Montessori schools, this one has mapped high-expectation standards against and within Montessorian approaches and is supporting the work with various forms of enabling technology.   Montessori has long been understood to be a model that does an excellent job of preparing children in holistic ways. It is faulted, sometimes, for falling short in enabling its students to demonstrate high achievement across traditional curriculum areas. Montessori for All is a noteworthy effort to connect the strongest aspects of the model with high-expectation standards matched to 21st century needs."
"Illinois State Board of Education",121,2019,"Visitors walking around Manual Academy's campus on the south end of Peoria School District 150 may see a few identical, carefully built wooden Adirondack chairs. These chairs are the proud handiwork of Manual Academy students and one example of the school project- and competency-based approach to education. Peoria School District 150 is part of Illinois' competency-based education pilot program. Manual Academy teachers and leaders have found that competency-based education allows students to take greater advantage of partnerships and opportunities with local businesses.       Global manufacturing giant Caterpillar is headquartered in Peoria and is one of the region's largest employers. Formerly a technical high school, Manual Academy partners with Caterpillar to prepare students for careers in manufacturing technologies. Caterpillar provides donated supplies, volunteer mentorships, a welding camp, and a $300,000 grant to support a full manufacturing curriculum co-taught at Manual Academy and Peoria's Caterpillar plant. Competency-based education also paved the way for innovative programs like Fuse Studio, a hands-on engineering lab where students choose their own projects.      Students in the Caterpillar Hiring Innovation Program learn academic concepts through hands-on experiences from painting to assembly and the most popular applied skill, welding. Students learning welding are positioned to have the skills to achieve American Welding Society certification before graduation. Engineering and industrial technology teachers spend one day a week with students and mentors at Caterpillar to supervise and track student learning goals. They track student communication and collaboration alongside trade skill milestones. The curriculum concludes with a direct pathway to real manufacturing jobs with Caterpillar upon completion. Other students go on to college with increased social-emotional skills, confidence, and direction.  "
"Clayton Christensen Institute",122,2024,"Map Academy uses online learning to make their program flexible to the needs of at-promise youth. They have an innovative approach to tracking student progress and targeting supports for students."
"Anonymous",122,2024,"Map Academy is an alternative charter high school founded on the belief that every student – no matter what their life circumstances – has unique strengths and the ability to succeed."
"Anonymous",123,2019,"Multi-age classrooms; project-based learning; student co-design"
"Idaho Mastery Education Network - Idaho Department of Education",124,2019,"Meadows Valley School is a PK-12 public school that develops meaningful lasting relationships between students, parents, and community.  They believe in personalizing the educational experience for each learner through self-directed learning and skill development to master content. Learners work together to build a strong community utilizing one to one mentoring between advisors and learners. The school focuses on preparing all students for life's requirements, adventures and challenges. The following are some highlights:  - Life """"Leadership Skills""""  Adventures - Place-Based Education and Career Exploration - Personalized Learning through Mastery Education Challenges - College and Careers Preparation."
"Team Digital",125,2019,"This school is dedicated to implementing blended learning to improve student learning. The first cohort of 4 teachers was trained in the best practices of student-centered learning and began a station rotation model in their classrooms. These teachers met regularly after school to discuss classroom management, student agency, and other instructional strategies to improve the learning experience for the students. After the first year, Teacher Cohort 1 participated in a trainer-of-trainer workshop and then trained the second cohort of four teachers. The school has selected using Google Classroom as the digital content platform. One teacher's comment was that students communicate more in learning, facilitate their own learning, assist others, and hold each other accountable. On-going changes will be determined as the school takes an approach of self-evaluation to determine next steps in the process of implementation. They are collecting data through digital content, grades, attendance, behavior reports, interviews, and surveys. "
"Idaho Mastery Education Network - Idaho Department of Education",126,2019,"Meridian Technical Charter High School welcomes their students interests and strengths into their individual learning plans. This school offers a variety of college and career pathways and links all courses to these throughout a student's 9-12 grade learning experience. Students curate their learning through community and field experience, dual credits with universities and certifications. The Meridian Technical Charter High School, Inc. implements the innovations of today and tomorrow to provide a progressive educational experience for every student. They envision the lifelong application of learning, coupled with intelligent risk taking in an environment fostering leadership, achievement and diversity. MTCHS continuously challenges and encourages participation as a productive member of the local and global communities"
"Big Picture Learning",127,2023,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves."
"Anonymous",128,2019,"Students at Mill Creek Middle School who use the Summit Platform are self-directed learners.  Using the Summit Platform, students are able to move through content and projects at their own pace.  They set their own goals, use and curate resources to support their learning, and rely on teachers for guidance.  Students are given options to work independently, collaboratively, or in small groups with intensive teacher support.  Students who complete course content ahead of schedule are encouraged to go deeper with their learning, while students who struggle are given teacher guidance in small groups or one-on-one.  In addition to content, students are also working on projects, evaluated using competency-based rubrics around """"cognitive skills, which span all subject areas (e.g. point of view/purpose, contextualizing sources, predicting/hypothesizing, etc.). Students self-evaluate and receive timely feedback from their teachers. Mill Creek Middle School students are offered options for a traditional, hybrid, and full Summit.  Dexter has responded to the needs of its students, family, and community and have made adaptations to offer options for its middle schoolers.  The staff commitment to its students and this initiative sets them apart from others.  Mill Creek is paving the way for how education can look and feel different, while addressing student needs.  They are leaders of innovation."
