Nomination ID,Nominator Org,Reason for nominating,Canopy School ID,Publicly disclosable nominator org
Nominator_2020-08_Alliance for Catholic Education_Ascension Catholic School,Alliance for Catholic Education,,239,Alliance for Catholic Education
Nominator_2020-08_Transcend_Aspen Valley Prep Academy,Transcend,,240,Transcend
Nominator_2020-11_Chan Zuckerberg Initiative_Aspen Valley Prep Academy,Chan Zuckerberg Initiative,Aspen Valley Prep is a public charter school serving k-8 students in the heart of Fresno California. COVID-19 and the social crisis that has gripped the nation has been heavily felt by the Aspen Valley Community. Despite these trying times Aspen Valley is one of the only schools in the district - and was the only school during spring 2020 - that has had nearly uninterrupted teaching and learning as they were able to pivot to a class schedule that focused on having students constantly connected with their mentors.   The school that we featured in Univision (https://www.univision.com/local/fresno-kftv/joven-del-valle-comparte-su-historia-de-exito-gracias-al-estudio-video) for the School Leader's heartwarming story about returning to Fresno to support the Latinx community of the central valley. ,240,Anonymous
Nominator_2020-08_Duquesne University School of Education_Avonworth High School,Duquesne University School of Education,,241,Duquesne University School of Education
Nominator_2020-08_Rennie Center_Benjamin Banneker Charter Public School,Rennie Center,,242,Rennie Center
Nominator_2020-08_Kansas State Department of Education_Bennington Junior-Senior High School,Kansas State Department of Education,,243,Anonymous
Nominator_2020-08_Big Picture Learning_Big Picture Educational Academy,Big Picture Learning,,244,Big Picture Learning
Nominator_2022-11_Big Picture Learning_Big Picture Educational Academy,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",244,Big Picture Learning
Nominator_2020-08_Big Picture Learning_Big Picture South Burlington at South Burlington High School,Big Picture Learning,,245,Big Picture Learning
Nominator_2022-11_Big Picture Learning_Big Picture South Burlington at South Burlington High School,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",245,Big Picture Learning
Nominator_2020-08_Alliance for Catholic Education_Blessed Sacrament Catholic School,Alliance for Catholic Education,,246,Alliance for Catholic Education
Nominator_2023-11_Transcend_Blue Valley Center for Advanced Professional Studies (CAPS),Transcend,"CAPS applies a learning ecosystem approach that enable students to explore career pathways and engage in real-world projects that prepare them for life after high school. They are an example of how business, community, and public education can partner together. ",247,Anonymous
Nominator_2020-08_Getting Smart_Blue Valley Center for Advanced Professional Studies (CAPS),Getting Smart,,247,Getting Smart
Nominator_2020-08_Getting Smart_Boston Arts Academy,Getting Smart,,248,Getting Smart
Nominator_2020-08_CAST_Brockton High School,CAST,,249,CAST
Nominator_2020-08_Big Picture Learning_Camden BPL Academy,Big Picture Learning,,250,Big Picture Learning
Nominator_2022-11_Big Picture Learning_Camden BPL Academy,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",250,Big Picture Learning
Nominator_2020-08_KnowledgeWorks_City of Bridges High School,KnowledgeWorks,,251,KnowledgeWorks
Nominator_2020-08_Open Way Learning_Coastal Leadership Academy,Open Way Learning,,252,Open Way Learning
Nominator_2020-08_Alliance for Catholic Education_Community of Saints Regional Catholic School,Alliance for Catholic Education,,253,Alliance for Catholic Education
Nominator_2020-08_CAST_ConVal Regional High School,CAST,,254,CAST
Nominator_2020-11_New Hampshire Extended Learning Opportunity Network_ConVal Regional High School,New Hampshire Extended Learning Opportunity Network,ConVal ELO program has grown leaps and bounds through the efforts of the coordinator Kristen Knarr.  She has gone above and beyond to offer career learning experiences for her students.  She recently has coordinated a virtual medical career exploration experience for students across New Hampshire,254,New Hampshire Extended Learning Opportunity Network
Nominator_2020-08_Education Evolving_Cornerstone Academy for Social Action Middle School (CASA),Education Evolving,,255,Education Evolving
Nominator_2023-11_Next Generation Learning Challenges_Da Vinci RISE High,Next Generation Learning Challenges,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation.",256,Next Generation Learning Challenges
Nominator_2023-11_Center on Reinventing Public Education_Da Vinci RISE High,Center on Reinventing Public Education,"Da Vinci RISE serves high school-aged youth that are navigating foster care, housing instability, probation, and/or other circumstances by offering a flex-scheduling, credit recovery learning model. Teachers at this school have also started implementing ""Project Leo,"" an in-house project-based learning platform that leverages AI to suggest project ideas for students.",256,Center on Reinventing Public Education
Nominator_2020-08_Springpoint Schools_Da Vinci RISE High,Springpoint Schools,,256,Springpoint Schools
Nominator_2023-11_Aurora Institute_Da Vinci RISE High,Aurora Institute,"Designed for youth dealing with homelessness, foster care, housing instability, the juvenile justice system, and transient living, Da Vinci RISE embraces flexibility, eliminating penalties for seat time non-compliance and offering credit recovery models for remote learning. The Graduate Profile focuses on key attributes, ensuring students not only gain post-secondary content knowledge but also develop hands-on skills. Da Vinci RISE's commitment to equity creates an environment where every student, regardless of challenges, can flourish academically and personally.",256,Aurora Institute
Nominator_2023-11_Getting Smart_Da Vinci RISE High,Getting Smart,"Da Vinci RISE High microschools (Los Angeles, CA) are a non-profit designed to serve foster and homeless youth. They ensure students traditionally left out of the greater educational narrative receive full access to Da Vinci School’s innovative academic model while receiving vital, whole-child, trauma-informed support. ",256,Getting Smart
Nominator_2022-11_Transcend_Da Vinci RISE High,Transcend,"Da Vinci RISE uses a responsive and hollistic approach to meet the unique needs of students navigating foster care, housing instability, and other circumstances that have disrupted their schoolsing. They offer flexible scheduling, blended learning, credit recovery, and wraparound services to provide an equitable education for students traditionally left out of the larger educational narrative.",256,Transcend
Nominator_2023-11_Transcend_Da Vinci RISE High,Transcend,"Da Vinci RISE High seeks to create a highly responsive, holistic, and integrated model that meets the unique needs of youth navigating foster care, housing instability, probation, and/or other circumstances that have caused disruptions in their academic journeys.",256,Anonymous
Nominator_2022-11_NewSchools Venture Fund_DC International school,NewSchools Venture Fund,"We have a 1:1 student tech model with IB for all approach, with language learning for all students in Spanish, French, and Chinese.",257,NewSchools Venture Fund
Nominator_2020-08_EdSurge_DC International school,EdSurge,,257,Anonymous
Nominator_2020-11_Aurora Institute_Del Lago Academy,Aurora Institute,Strong competency-based education school.,258,Aurora Institute
Nominator_2020-08_Getting Smart_Del Lago Academy,Getting Smart,,258,Getting Smart
Nominator_2020-08_Kansas State Department of Education_Dighton Elementary School,Kansas State Department of Education,,259,Kansas State Department of Education
Nominator_2020-08_Kansas State Department of Education_Dighton Junior-Senior High School,Kansas State Department of Education,,260,Anonymous
Nominator_2021-12_GreatSchools_DSST: Montview High School,GreatSchools,Structures of 'school' to advance student-centered learning.,261,GreatSchools
Nominator_2020-08_Getting Smart_DSST: Montview High School,Getting Smart,,261,Getting Smart
Nominator_2020-08_Big Picture Learning_Durango Big Picture High School,Big Picture Learning,,262,Big Picture Learning
Nominator_2022-11_Big Picture Learning_Durango Big Picture High School,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",262,Big Picture Learning
Nominator_2020-08_CAST_Eisenhower Elementary,CAST,,263,CAST
Nominator_2020-08_Big Picture Learning_El Centro de Estudiantes,Big Picture Learning,,264,Big Picture Learning
Nominator_2022-11_Big Picture Learning_El Centro de Estudiantes,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",264,Big Picture Learning
Nominator_2020-08_EdSurge_Eliza Chappell Elementary School,EdSurge,,265,Anonymous
Nominator_2020-08_Moonshot EdVentures_Embark Education,Moonshot EdVentures,,266,Moonshot EdVentures
Nominator_2020-08_Education Reimagined_Embark Education,Education Reimagined,,266,Education Reimagined
Nominator_2020-08_Getting Smart_Energy Institute High School,Getting Smart,,267,Getting Smart
Nominator_2020-08_Duquesne University School of Education_Environmental Charter School,Duquesne University School of Education,,268,Duquesne University School of Education
Nominator_2022-11_Remake Learning Network_Environmental Charter School,Remake Learning Network,"Environmental Charter School strives to incorporate the United Nations Sustainable Development Goals (UNSDG) in its work, teachings, and activities. With the adoption of the UNSDGs, ECS has laid a modern foundation to continue educating families about sustainability and how to effectively practice it.",268,Anonymous
Nominator_2020-11_Vermont Learning for the Future_EPIC Academy at Lamoille Union High School,Vermont Learning for the Future,"EPIC was created to re-imagine school with learners in the driver's seat. Learning is project-based, proficiency-assessed, encourages community partnerships, mentorship, and built around student interest. EPIC ""mentors"" also work closely with the LUHS ""Teacher Innovation Coach"" to enhance their practice and collaborate in professional learning across the school. ",269,Vermont Learning for the Future
Nominator_2020-08_Education Reimagined_EPIC Academy at Lamoille Union High School,Education Reimagined,,269,Education Reimagined
Nominator_2020-08_Education Evolving_Escuela Verde,Education Evolving,,270,Education Evolving
Nominator_2020-08_New Profit_Fugees Academy,New Profit,,271,Anonymous
Nominator_2020-08_Clayton Christensen Institute_Fulton Academy of Science and Technology,Clayton Christensen Institute,,272,Anonymous
Nominator_2020-08_EdSurge_Futures Academy,EdSurge,,273,Anonymous
Nominator_2020-08_Idaho STEM Action Center_Galileo STEM Academy,Idaho STEM Action Center,,274,Idaho STEM Action Center
Nominator_2020-08_Rural Schools Collaborative_Glenwood Elementary,Rural Schools Collaborative,,275,Rural Schools Collaborative
Nominator_2020-08_Springpoint Schools_Grand Rapids Public Museum School,Springpoint Schools,,276,Springpoint Schools
Nominator_2021-12_GreatSchools_Grand Rapids Public Museum School,GreatSchools,Reimagining the instructional core ,276,GreatSchools
Nominator_2020-08_Getting Smart_Grand Rapids Public Museum School,Getting Smart,,276,Getting Smart
Nominator_2020-08_Overdeck Family Foundation_Great Oaks Legacy Charter School,Overdeck Family Foundation,,277,Anonymous
Nominator_2020-08_Big Picture Learning_Greater Egleston High School,Big Picture Learning,,278,Big Picture Learning
Nominator_2022-11_Big Picture Learning_Greater Egleston High School,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",278,Big Picture Learning
Nominator_2020-08_Office of Innovation for Education in Arkansas_Happy Hollow Elementary School,Office of Innovation for Education in Arkansas,,279,Office of Innovation for Education in Arkansas
Nominator_2020-08_Colorado Education Initiative_Harrison High School,Colorado Education Initiative,,280,Colorado Education Initiative
Nominator_2020-08_Future Focused Education_Health Leadership High School,Future Focused Education,,281,Future Focused Education
Nominator_2022-11_Future Focused Education_Health Leadership High School,Future Focused Education,"Uniquely designed on three pillars (learning by doing, community/industry engagement, and 360-degree student support",281,Anonymous
Nominator_2022-11_San Diego Metropolitan Career and Technical High School_Health Leadership High School,San Diego Metropolitan Career and Technical High School,"Health Leadership High School prioritizes community-based learning, which empowers every student to engage in projects in connection with community partners to address needs and opportunities within their own communities. This creates an environment where students develop their sense of agency by doing authentic work that has positive real-world outcomes.",281,San Diego Metropolitan Career and Technical High School
Nominator_2020-08_CAST_Henry Ford Academy,CAST,,282,Anonymous
Nominator_2020-08_Getting Smart_Highland Academy Charter School,Getting Smart,,283,Getting Smart
Nominator_2020-08_Education Reimagined_Highlands Micro School,Education Reimagined,,284,Anonymous
Nominator_2020-08_Open Way Learning_Hillbrook School,Open Way Learning,,285,Open Way Learning
Nominator_2020-08_Getting Smart_Huntley High School,Getting Smart,,286,Getting Smart
Nominator_2020-08_EdSurge_Ida B. Wells Middle School,EdSurge,,287,Anonymous
Nominator_2020-08_Getting Smart_iLEAD Exploration,Getting Smart,,288,Getting Smart
Nominator_2020-08_Education Resources Consortium_Innovation Academy at Pembroke Academy,Education Resources Consortium,,289,Education Resources Consortium
Nominator_2020-11_Education Resources Consortium_Innovation Academy at Pembroke Academy,Education Resources Consortium,"Interdisciplinary curriculum, Inquiry Tool Kit, new partnerships with outside think tanks and agencies",289,Education Resources Consortium
Nominator_2020-08_Aurora Institute_Integrated Arts Academy,Aurora Institute,,290,Aurora Institute
Nominator_2020-08_Springpoint Schools_International High School at Langley Park,Springpoint Schools,,291,Springpoint Schools
Nominator_2020-08_Transcend_Intrinsic Charter School,Transcend,,292,Transcend
Nominator_2022-11_NewSchools Venture Fund_Intrinsic Charter School,NewSchools Venture Fund,"Intrinsic is a network of public charter schools - open enrollment, no testing required - that combines technology with great teaching to provide every student a personalized path to college and career. In order to better prepare students for postsecondary success, Intrinsic takes a more comprehensive approach to understanding students’ growth and progress, which includes agency outcomes in addition to academic ones. Personalization and independence is achieved via a holistic, 1:1 application of technology, which empowers team-teaching in flexible, data-driven classrooms—called pods—where 60 students supported by three teachers may be moving from self-directed work to instruction to collaboration and project-based learning.
",292,NewSchools Venture Fund
Nominator_2020-08_Education Reimagined_Iowa BIG,Education Reimagined,,293,Education Reimagined
Nominator_2020-08_Big Picture Learning_John J. Cairns High School,Big Picture Learning,,294,Big Picture Learning
Nominator_2022-11_Big Picture Learning_John J. Cairns High School,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",294,Big Picture Learning
Nominator_2020-08_Aurora Institute_Journey Elementary,Aurora Institute,,295,Aurora Institute
Nominator_2020-11_Aurora Institute_Journey Elementary,Aurora Institute,Strong competency-based education school.,295,Aurora Institute
Nominator_2020-08_Kansas Can School Redesign Project_Kennedy Elementary School,Kansas Can School Redesign Project,,296,Kansas Can School Redesign Project
Nominator_2020-08_Big Picture Learning_LaFayette Big Picture at LaFayette Junior/Senior High School,Big Picture Learning,,297,Big Picture Learning
Nominator_2022-11_Big Picture Learning_LaFayette Big Picture at LaFayette Junior/Senior High School,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",297,Big Picture Learning
Nominator_2020-08_Clayton Christensen Institute_Lakeridge Elementary,Clayton Christensen Institute,,298,Clayton Christensen Institute
Nominator_2020-08_Getting Smart_Lead Innovation Studio,Getting Smart,,299,Getting Smart
Nominator_2020-08_Big Picture Learning_Leominster Center for Excellence,Big Picture Learning,,300,Big Picture Learning
Nominator_2022-11_Big Picture Learning_Leominster Center for Excellence,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",300,Big Picture Learning
Nominator_2020-08_Kansas State Department of Education_Liberal High School,Kansas State Department of Education,,301,Anonymous
Nominator_2020-08_Office of Innovation for Education in Arkansas_Lincoln Middle School (AR),Office of Innovation for Education in Arkansas,,302,Office of Innovation for Education in Arkansas
Nominator_2022-11_NewSchools Venture Fund_Living School,NewSchools Venture Fund,"Living School cultivates equity by nurturing students to do work that improves their lives, communities, and environment through holistic health, citizenship, & entrepreneurship.",303,Anonymous
Nominator_2020-08_The Learning Accelerator_Living School,The Learning Accelerator,,303,The Learning Accelerator
Nominator_2020-08_Office of Innovation for Education in Arkansas_Lonoke High School,Office of Innovation for Education in Arkansas,,304,Office of Innovation for Education in Arkansas
Nominator_2020-08_Big Picture Learning_Mapleton Early Career Preparation ,Big Picture Learning,,305,Big Picture Learning
Nominator_2022-11_Big Picture Learning_Mapleton Early Career Preparation ,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",305,Big Picture Learning
Nominator_2020-08_Overdeck Family Foundation_Achieve Community Charter School,Overdeck Family Foundation,,306,Anonymous
Nominator_2020-08_Office of Innovation for Education in Arkansas_Marshall High School,Office of Innovation for Education in Arkansas,,307,Office of Innovation for Education in Arkansas
Nominator_2020-08_The Learning Accelerator_Matchbook Learning at Wendell Phillips,The Learning Accelerator,,308,The Learning Accelerator
Nominator_2020-08_Big Picture Learning_Met Sacramento High School,Big Picture Learning,,309,Big Picture Learning
Nominator_2022-11_Big Picture Learning_Met Sacramento High School,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",309,Big Picture Learning
Nominator_2020-08_Big Picture Learning_Methow Valley Independent Learning Center,Big Picture Learning,,310,Big Picture Learning
Nominator_2022-11_Big Picture Learning_Methow Valley Independent Learning Center,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",310,Big Picture Learning
Nominator_2023-11_Transcend_Mountain Academy at Teton Science School - Jackson Campus,Transcend,TSS offers a place-based learning model that leverages project-based learning and is deeply entrenched in the local community. They also offer tranings for teachers to support their model.,311,Anonymous
Nominator_2020-08_Getting Smart_Mountain Academy at Teton Science School - Jackson Campus,Getting Smart,,311,Getting Smart
Nominator_2020-08_Big Picture Learning_Nashville Big Picture High School,Big Picture Learning,,312,Big Picture Learning
Nominator_2022-11_Big Picture Learning_Nashville Big Picture High School,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",312,Big Picture Learning
Nominator_2020-08_Education Reimagined_Nawayee Center School,Education Reimagined,,313,Education Reimagined
Nominator_2020-08_YouthForce Nola_New Orleans Accelerated High School,YouthForce Nola,,314,Anonymous
Nominator_2020-08_YouthForce Nola_New Orleans Charter Science and Mathematics High School (SciHigh),YouthForce Nola,,315,Anonymous
Nominator_2020-08_Big Picture Learning_New Village Girls Academy,Big Picture Learning,,316,Big Picture Learning
Nominator_2022-11_Big Picture Learning_New Village Girls Academy,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",316,Big Picture Learning
Nominator_2020-11_Chan Zuckerberg Initiative_New Village Girls Academy,Chan Zuckerberg Initiative,"New Village Girls Academy is an all girls school that is committed to providing holistic support to all of the students and teachers they serve. This small school works with a specific population of students who were not served well by larger district schools. The school model deeply values relationships between students and teachers. These deep relationships allow staff to develop and implement individualized learning plans that meet students where they are. These individualized learning plans are supplemented with meaningful internship opportunities, as well as daily half-day advisory groups. Bolstering the school culture that values health and wellness, students and teachers engage in school-wide meditation two times a day in order to support mindfulness and self-regulation / co-regulation between students and teachers. Our grant is supporting the improvement of the mindfulness PD teachers receive to support students' and their own wellbeing.",316,Anonymous
Nominator_2020-08_Big Picture Learning_Newark East Side High School,Big Picture Learning,,317,Big Picture Learning
Nominator_2022-11_Big Picture Learning_Newark East Side High School,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",317,Big Picture Learning
Nominator_2020-08_Big Picture Learning_Newburgh Free Academy West,Big Picture Learning,,318,Big Picture Learning
Nominator_2022-11_Big Picture Learning_Newburgh Free Academy West,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",318,Big Picture Learning
Nominator_2020-08_The Learning Accelerator_Nipmuc Regional High School,The Learning Accelerator,,319,The Learning Accelerator
Nominator_2023-11_Mastery Transcript Consortium_Nipmuc Regional High School,Mastery Transcript Consortium,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.,319,Mastery Transcript Consortium
Nominator_2020-08_Big Picture Learning_North Bay Met Academy,Big Picture Learning,,320,Big Picture Learning
Nominator_2022-11_Big Picture Learning_North Bay Met Academy,Big Picture Learning,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",320,Big Picture Learning
Nominator_2020-08_National Center for Learning Disabilities_North Elementary School,National Center for Learning Disabilities,,321,Anonymous
Nominator_2020-08_Idaho STEM Action Center_North Idaho STEM Charter Academy,Idaho STEM Action Center,,322,Idaho STEM Action Center
Nominator_2020-08_Open Way Learning_Northeast Academy for Aerospace and Advanced Technologies,Open Way Learning,,323,Open Way Learning
Nominator_2020-08_Education Reimagined_Northwest Passage High School,Education Reimagined,,324,Anonymous
Nominator_2020-08_Getting Smart_NuVu Innovation School,Getting Smart,,325,Anonymous
Nominator_2020-08_Big Picture Learning_Odyssey STEM Academy,Big Picture Learning,,326,Big Picture Learning
Nominator_2020-08_Education Reimagined_Odyssey STEM Academy,Education Reimagined,,326,Anonymous
Nominator_2020-08_The Learning Accelerator_Olympic Hills Elementary,The Learning Accelerator,,327,The Learning Accelerator
Nominator_2020-08_New Profit_Open School East,New Profit,,328,Anonymous
Nominator_2020-08_The Learning Accelerator_Opportunities Academy,The Learning Accelerator,,329,The Learning Accelerator
Nominator_2020-08_Kansas State Department of Education_Ottawa High School,Kansas State Department of Education,,330,Anonymous
Nominator_2020-08_CAST_P.K. Yonge,CAST,,331,CAST
Nominator_2020-08_Transcend_Pathways High,Transcend,,332,Anonymous
Nominator_2021-12_Mastery Transcript Consortium_Pathways High,Mastery Transcript Consortium,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.,332,Mastery Transcript Consortium
Nominator_2022-11_Mastery Transcript Consortium_Pathways High,Mastery Transcript Consortium,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.,332,Mastery Transcript Consortium
Nominator_2023-11_Mastery Transcript Consortium_Pathways High,Mastery Transcript Consortium,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.,332,Mastery Transcript Consortium
Nominator_2020-08_CITY Center for Collaborative Learning_Paulo Freire Freedom School -Downtown,CITY Center for Collaborative Learning,,333,Anonymous
Nominator_2020-08_CITY Center for Collaborative Learning_Paulo Freire Freedom School -University,CITY Center for Collaborative Learning,,334,Anonymous
Nominator_2020-08_Transcend_Pequea Valley High School,Transcend,,335,Anonymous
Nominator_2022-11_Transcend_Pequea Valley High School,Transcend,From Sujata: I visited them and they're strong on all the leaps. They are a rural-ish district. They do an interesting combination of agricultural science and STEM; they also have a pilot CORE progra that is hands-on maker learning for those students most likely to drop out; they have built an internship program that intentionally creates equitable access to social capital. ,335,Transcend
Nominator_2020-08_Duquesne University School of Education_Pittsburgh Colfax K-8,Duquesne University School of Education,,336,Duquesne University School of Education
Nominator_2020-08_National Center for Learning Disabilities_Positive Outcomes Charter School,National Center for Learning Disabilities,,337,National Center for Learning Disabilities
Nominator_2020-08_Big Picture Learning_Positive Outcomes Charter School,Big Picture Learning,,337,Big Picture Learning
