"nominator","year","school_id","official_school_name","website","nominator_reason"
"Anonymous",2019,214,"Valley View Middle School","","Their entire school has moved forward together in their personalized-learning process."
"The Learning Accelerator",2019,215,"Valor Flagship Academy","http://valorcollegiate.org/","Valor has a very comprehensive and intentional social-emotional learning program that is embedded in the school's entire program. The staff really prioritize whole child supports as a core part of the educational experience."
"Anonymous",2019,216,"Valor Voyager Academy","http://www.valorcollegiate.org","Valor is consistently recognized as an innovative school for its compelling academic outcomes, elevation of SEL, and willingness to open its doors as a """"learning laboratory"""" for other aspirational educators throughout the country to visit and from which to learn. Valor has a partnership with Transcend Education to codify its innovations and insights to maximize its impact on the field. Few schools have become so visible, influential, and successful in such a short period of time.  Valor Collegiate designed its school model around four innovative principles integral to its success. It aspires to: - Reflect the diversity of both the United States and the local community - Personalize a student's experience to meet that scholar's unique academic and non-academic needs - Leverage a strong school community to create self-directed learnings - Develop a new approach for selecting, training and retaining excellent teachers - Provide a model that is student-centered  Each student has a faculty mentor who oversees her overall development and Personalized Learning Plan, and a grade coach who oversees the mentoring program. All courses throughout the model will have competency-based grading and students will be gradually released to a nearly fully self-paced model. A wide variety of blended learning is used throughout the model."
"Anonymous",2019,218,"Waimea Canyon Middle School","","This school has worked to integrate Project Based Learning and Design Thinking to create an innovative 20% time model to meet the needs of their students."
"Anonymous",2019,219,"Warren County High School","http://wchs.warrenschools.com","Working closely with partners through the Highland Economic Partnership, Warren County High School has spent several years developing high-quality career options for students. Recognizing its rural location and that half of its over 2000 students will directly enter the workforce, school and district leaders built several new pathways through the career and technical education programs of study. Programs in mechatronics, health sciences, and telecommunications give students exposure to industry demands and real-world problems. Students also have the opportunity to earn industry certifications in skills that regional employers have identified as high-demand."
"Anonymous",2019,220,"Washington Leadership Academy","http://www.washingtonleadershipacademy.org/","Washington Leadership Academy (WLA) puts students onto life trajectories toward leadership in whatever roles they choose in tomorrow's world. How? By building trusting relationships and giving students unprecedented opportunities to learn and lead. Students at WLA take rigorous core classes, enriched by real-world experiences and access to experts, as well as student-selected projects and electives, all combined with the latest in technology and innovation. All WLA students take Computer Science and get hands-on experience with emerging technology, including virtual/augmented reality. WLA combines civic education, social justice education, and support for students as they explore who they are and where they want to go in life. Driven by an approach to teaching and learning that is both """"high tech"""" and """"high touch,"""" WLA is making a true difference for students in Washington, D.C., and beyond. "
"Charter School Growth Fund",2019,220,"Washington Leadership Academy","http://www.washingtonleadershipacademy.org/","WLA's instructional model was designed to optimize personalization and rigor of instruction given each content area and the current state of the edtech market (both content and tools). In practice, this means that instruction looks different from subject to subject. In content-heavy subjects, i.e. History, WLA will utilize a flipped classroom model. In subjects that require both remediation and skills develop, i.e Math and English, WLA will implement a two-day split with one section focused on grade-level content/instruction and the second section focused on remediation. The specifics of each are listed below, but each subject implements different tools and teacher practices to maximize results."
"Mastery Collaborative",2019,223,"West Side Collaborative Middle School","","West Side Collaborative Middle School uses a powerful, student-centered pairing of mastery-based and culturally responsive education practices. WSC has a strong and supportive school culture that nurtures young learners, and helps them to build community together, and mindsets for learning individually. Students at this school are uniquely resilient, secure and engages across the full arc of learning. They are free to make meaningful choices about their own learning, and they grow personally/academically through exploration and reflection. WSC personalizes academic opportunities for each child. Students are active participants in their own learning and collaborate with teachers in a cycle of rigorous individualized goal-setting, planning, evaluation and revision. WSC has a 1:1 laptop model, and infuses all subject areas with technology. Their Advisory program, Community Meetings, Personal Growth Labs build community and student agency. Small class sizes, block scheduling and flexible groupings allow for personalized attention and scheduling to fit students' individual needs. Student-led conferences and portfolio presentations are both ways to engage families and [offer] rich demonstrations of learning."
"NYC Department of Education",2019,223,"West Side Collaborative Middle School","",NA
"CT Center for School Change",2019,224,"West Woods Upper Elementary School","","West Woods Upper Elementary School is a grade 5-6 school with an enrollment of approximately 600 students. The school implements a student-centered approach aligned to Farmington's improvement design. Curriculum, instruction, programming, and assessment are aligned to purpose-driven, socially-constructed, mastery-based and self-directed learning. One specific example to share is FLEX time. FLEX time is a challenge and support block developed by WWUES teachers. FLEX time provides students with a menu of options to select from that are both teacher and student directed. Choice is a key element of the design and student-engaged assessment practices drive a self-directed model of challenge and support within this innovative model. Two years after this teacher-led innovation was developed, Farmington is implementing this design across K-8 schools. Clear standards and data driven decision-making are a key feature of WWUES' student-centered approach. All standards for the week are clearly articulated and the student work from the week provides the body of evidence that demonstrates student progress towards those standards. While many of the offerings are based on academic standards, they are not exclusively so. Sessions can focus on learner mindset, Vision of the Graduate skills, organization, or any other social/emotional or executive functioning skills that teachers identify as an area of need. Student self-reflection, voice and choice is key to this daily block. Students are given tools and feedback to assess their own strengths and needs and are trusted to make wise choices about how to most effectively make use of the time and support they are provided. Students who have met the standards are given the opportunity to exceed the standard by working on the standard at a more advanced level. WWUES implements a mastery-based approach to empower students as leaders of their own learning. Farmington's mastery-based principles are implemented in all classrooms. "
"Illinois State Board of Education",2019,225,"Wheeling High School","","Dr. Lazaro Lopez, then principal of Wheeling High School, met with manufacturers, business leaders and the local department of economic development in 2007 to address the shortage of skilled workers in the region needed to meet workforce demand. That partnership gave birth to the Township High School District 214 Career Pathways program. District 214 prepares its students for college and careers through experiential learning in 16 career clusters and 44 career pathways. The Career Pathways program currently serves more than 12,000 students from six comprehensive high schools, including Wheeling High School, and four specialized learning programs. District 214 purposefully eliminated the distinction between core courses and technical and career education courses. As many as 85 percent of District 214's students graduate having taken a college course, and two-thirds have completed nine semester hours of college credit by the time they graduate, an opportunity for considerable savings in tuition costs. Ninety-five percent of the district's students identify a career area of interest by graduation. Students have logged more than 2 million hours of workplace learning. The Educator Prep career pathway has served as a statewide model for addressing the teacher shortage. The teaching cluster begins with a sequence of high school courses that provide students an early feel for education as a career. Students who continue with the program earn early college credits and spend several days a week teaching lessons in actual K-12 classrooms under the close supervision of a master teacher. Students then can continue in the Educator Prep program with a postsecondary partner and earn a bachelor's degree and a teaching license. The district provides a network of supports for students while in college to increase the likelihood they graduate and become teachers. The district guarantees each student first access to interview for district teaching jobs. "
"Anonymous",2019,226,"White Mountains Regional High School","http://wmrhs.sau36.schooldesk.net","Personalized learning"
"Education Resources Consortium",2019,226,"White Mountains Regional High School","http://wmrhs.sau36.schooldesk.net","In its quest to do better for all learners, the school has been willing to look at core elements of practice and organization that many schools shy away from. The school has not been content to pursue the tired list of 'solutions' that the state has tried over the past decade—competencies, """"PBL"""", ELO's, performance assessment. They use each of those, but go deeper and combine such efforts with healthy skepticism and a high level of risk-taking, experimentation and love for their students. The principal is one of the most committed, open and effective I have seen over the past decade."
"Springpoint",2019,228,"William Smith High School","http://williamsmithhs.org","William Smith High School originally launched as a program for expectant mothers, and primarily served over-age, under-credited (OAUC) students. In recent years the program has evolved, and while not explicitly geared towards an OAUC population, they see themselves as an alternative to the more traditional offerings of the Aurora School District. Project-based learning was an evolution of the school's model and they became an EL Education site in 2006. The day starts with a skill-based """"Brain Training"""" class followed by mixed-age Crew (akin to advisory). For the rest of the day, 10-12th graders work on one or two projects. Each project is 4-6 weeks in length. Freshmen have a more structured schedule, and educators work to help them acclimate to the project-based work to come. As a student approaches graduation, he or she will spend time off-campus in an internship or engaged in college classes. Students also design their own Capstone Projects. Projects integrate fieldwork, guest experts, and authentic audiences that help bring curriculum to life. The hands-on nature of the school's approach reflects a workplace environment that will prepare students for the future. As students develop products and presentations, they learn content while gaining academic and 21st-century skills like collaboration, creativity, and problem-solving. The school has a teacher residency program, which trains talent and serves as the main hiring pipeline.  "
"Anonymous",2019,228,"William Smith High School","http://williamsmithhs.org","Innovative instructional methods, project and problem-based learning, student body mostly young people who weren't successful in traditional models, very diverse."
"Center for Teaching Quality (CTQ)",2019,229,"Winterboro High School","http://whs.tcboe.org","In 2009, the thoughts were of demolishing a failing school and antiquated building with a rock facade. Winterboro High School has become a rock-solid model of teaching, learning, and collaboration for other schools to visit, study and replicate. The once-failing school in an impoverished (rural) community, is now a beacon of educational opportunity. Project-based learning has become a firmly established learning standard that continually transforms shy, unengaged students, into active community leaders armed with Essential Skills to be College and Career Ready. As the process of PBL has become """"rock solid"""", effective teaching and learning foundation, the expansion of STEM to STEAM has also become exemplary at the old rock schoolhouse. Through STEAM and PBL integration, Winterboro High School is a step above the average school, particularly for a small, rural, high poverty one."
"Microschool Revolution",2019,230,"Workspace Education","","Personalized pathways for each child.  High-quality 21st-century project-based learning with their 21CI program. Integrated Acton Academy. See overview video here: https://www.youtube.com/watch?v=r4TYQvYrs6w"
"Anonymous",2019,230,"Workspace Education","","This is a co-educational space for homeschool students and microschools (Acton Academy and Wildflower). This is an out-of-the-box education environment where parents are intimately involved and very student centered. The co-educational space has a lab where students are engaging in genomics; there are 70 business partners with whom students are helping solve key problems; and there are many other practical applications of rigorous, higher-order learning."
"Arkansas Office of Innovation for Education",2019,231,"Wynne Intermediate School","http://wynneschools.org","Leadership collaboratively developed a strong vision tied to their community of learners. They started this journey based on a focus group session with a group of African American boys who said they didn't see a way out of poverty for themselves—they were bored and unchallenged. So the teachers/leaders took on this challenge to change this perception. They wanted their students to have a sense of possibility for themselves in the future. Students get opportunity to bring into their learning their interests and passions. A blended-learning approach within classroom provides student-centered support and extension for learning. They have a strong understanding of curriculum and working on supporting student choice and voice in learning of the curriculum. Students set goals for their learning. They utilize student learning data effectively in collaboration to support students' next steps in learning. They spend time getting to know their students and their interests, strengths, challenges, and well-being. The school is in a small town with limited resources and yet the feel is of a school that is well-resourced. The culture is very focused on students—community and parents are actively involved in these efforts. Parents at this school want all the other schools in the district to be just like this one.  "
"Anonymous",2019,232,"Ysleta Elementary School","http://ysletaes.yisd.net",NA
"Christensen Institute",2019,234,"Virtual Learning Academy","http://www.vlacs.org","With online learning as the backbone, VLACS is now starting to scale offline 'experiences' during which students accrue CBE credits through real-world work with regional partners. The vision appears to take some of the best of online (flexibility, anytime anywhere, virtual educator relationships and performance assessments) while also unlocking F2F experiences that directly match with students' interests and allow for career exploration."
"Anonymous",2019,235,"International School of the Americas","http://www.neisd.net","At the International School of the Americas students are immersed in a collaborative, relationship-driven environment where all students are provided with an honors-level curriculum and the extra academic support required to succeed at this challenge. The learning is interdisciplinary with an emphasis placed upon a real world application of the skills and content. All students participate in international travel, community service, a career-exploration internship, and a final portfolio assessment of their learning at the conclusion of their senior year. It is a dynamic learning environment that also serves as a professional development school for Trinity University, mentoring new teachers into the teaching profession. ISA's small size and structure provide the sense of not just community but family. Relationships are fostered through intentional practices to build deep learning, real support, and honest dialogue. Students and teachers feel supported, valued, and empowered. Teachers and students value relationships, appreciate diversity, accept differences, take risks, and help students set and achieve individualized goals for learning. Students are known and individual accommodations are made for learning styles, differences, talents, and interests. Teachers design curricular and pedagogical experiences, enact grade-level teaming, integrate curriculum within and between the disciplines, facilitate communication with families, and lead students in travel. Through authentic, performance-based learning, students grapple with complex questions, look at multiple perspectives, make judicious decisions, and find solutions not only for themselves but also for the world community. Students are provided equal access to ISA via an open application process with lottery selection, heterogeneous grouping, and the expectation that all students will meet a high academic standard. Enrichment experiences including travel, field trips, internships, and community service are available to all students regardless of socioeconomic constraints. The doors of learning are open to all students at ISA."
"Moonshot EdVentures",2021,11,"Aspen Academy","","Entrepreneurial curriculum; students have to have owned and operated a business before graduating in 8th grade; spends time on financial literacy"
"Education Evolving",2021,24,"Boston Day and Evening Academy","https://bdea.com/","Mission and Vision: Boston Day and Evening Academy re-engages off-track students in their education preparing them for high school graduation, post-secondary success and meaningful participation in their community. Boston Day and Evening Academy will continue to be an innovative leader in student-centered education for off-track learners. Highlights: Competency Based Education-  The primary--and the crucial difference between a competency-based system of teaching and assessment and a traditional model, is that students begin a learning pathway (traditionally referred to as middle school or high school) based on assessed skill level in each content area, and not on arbitrary placement in grades (based on age). Each content area (i.e. Humanities, Math, Science, Technology) is divided into modules, which correspond to an academic semester, quarter, or trimester (see ROADMAP). After being assessed for their knowledge in each content area, students are placed into the module which puts them at their """"learning edge"""" i.e. challenging, but not overwhelming. Students progress from module to module in each content area, based on their ability to demonstrate mastery in each area, independently and multiple times. Once they meet the assigned benchmarks in each module, they become """"competent"""", and move on to the next module. If they finish a trimester without demonstrating competency in an area, they repeat that module--and that module only--while moving ahead in other content areas. Innovative Teaching Practices In addition to using competency-based teaching and assessment practices to drive the curriculum and inform the learning that takes place at BDEA, faculty are constantly embracing new forms of teaching that address the student-centered nature of their work. Blended Learning- We are thoughtful about how we are using technology to enhance learning, and hear from students that they need a balance of technology and personalized, teacher-led instruction.  Our approach has been to create a blended learning model that combines a variety of options including online courses, as well as technology-supported classes enhanced by the use of iPads, Smartboards and computers.  We have a Personalized Online Learning Lab (POLL) where students can catch up on classroom work or accelerate their progress through classes. But the bottom line is always having teachers available for support, direction, and conversation. Experiential Learning- For over a decade, BDEA has included Project Month as a way of turning all classes """"experiential"""", and giving students--and teachers--an opportunity to collaborate on projects that become an enduring part of the whole-school community.  One year, one of the projects turned an abandoned community clubhouse into a solar powered, hydroponic greenhouse. Another year, students engaged with the """"Occupy Boston"""" movement and recreated the experience of tent living, media coverage, and the genesis of the Arab Spring in a series of connecting classrooms at the school.   Active Learning- Active Learning takes many forms, from the expected inclusion of physical fitness into the everyday experience of our staff and students, to the authentic learning experience that results from theatrical movement classes taught by valued partners Actors' Shakespeare Project.   Our partners at Project Adventure helped us to understand and incorporate important aspects of """"active"""" learning into our teaching practice, coaching students to physically """"move through"""" diagrams  instead of writing them on a whiteboard, and to use space rather than fill it."
"The Learning Accelerator",2021,47,"Concourse Village Elementary School","http://www.cves.connectwithkids.com","The school does a lot with culture. SEL is intertwined in their DNA"
"Transcend",2021,64,"USC Hybrid High College Prep","http://ednovate.org","USC Hybrid High - along with the other schools in the Ednovate system - stand out for three reasons.  First and arguably most importantly, they have a tremendous track record of 100% of their students prepared for college.  Second, they have a really excited competency based model that gives a lot of ownership to students starting in 9th grade.  Walking around their campus you see some amazing examples of students working on projects and pushing their learning further on their own or in small groups.  Lastly, they have a commitment to their students creating Positive Multigenerational Change (PMC), which they drive to with PMC Journeys through 9th through 11th grade and a senior year PMC Journey Graduate Capstone experience that is inspiring."
"Anonymous",2021,67,"Empower Community High School","","Community-designed, culturally sustaining project-based and youth-led learning"
"Moonshot EdVentures",2021,67,"Empower Community High School","","Co-created and co-led with students; strong ethnic studies program; works closely with community partners; has an interest in also influencing the ecosystem around it; raising funds to support families with financial assistance; deeply rooted in transformative resistance"
"ReSchool Colorado",2021,67,"Empower Community High School","","Centers on youth identity, racial justice, and co-design and creation with community."
"Big Picture Learning",2021,71,"Fannie Lou Hamer Freedom High School","†","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves."
"Aurora Institute",2021,76,"Flushing International High School","http://www.flushinginternational.org","Mastery-based education school with focus on international students."
"Big Picture Learning",2021,94,"Highline Big Picture","https://bigpicture.highlineschools.org/","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves."
"Big Picture Learning",2021,102,"Innovations High School","https://www.washoeschools.net/innovations","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves."
"National Charter Collaborative",2021,134,"Native American Community Academy","http://nacaschool.org","NACA centers the culture and traditions of our country's first people in a way that empowers and amplified the gifts of each student. Indigenous culture begs that humans are in right relationship with the earth. The land based educational model combined with intentional culturally affirming curricula has lead the NACA outperforming it's peers in servers academic areas."
"Anonymous",2021,134,"Native American Community Academy","http://nacaschool.org","Native American Community Academy (NACA) serves primarily Native American students from many tribes across New Mexico and beyond. Their model is centered around a framework for holistic wellness that encompasses intellectual, physical, social emotional, and community / relational wellness. Through their work, they have been developing an approach to land-based learning and healing, which incorporates sacred indegenous connections to the physical land as a way to indegenize learning environments. Over the past year, they have iterated on their land-based learning framework and have designed professional development experiences for staff members to deepen a spiritual connection with the land and to begin to conceptualize how teachers can embed land-based learning in their classrooms. In the midst of the COVID-19 pandemic, land-based healing and learning has also been used as a wellness support for teachers navigating the complexity they face in their lives and through their work."
"Big Picture Learning",2021,139,"New Legacy Charter School","http://www.newlegacycharter.org/","As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the """"10 Expectations"""" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the """"10 distinguishers"""" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver """"one kid at a time"""" personalized learning situated in the communities it serves."
"Anonymous",2021,172,"Rooted School","†","Rooted School stands out for many reasons, including their vision and mission: """"Rooted School has the bold vision to close the academic achievement gap and the wealth gap in our lifetime. Rooted's mission is to equip students with the skills and knowledge they need to compete for the fastest-growing and the highest-paying jobs in their communities either with or without a college degree."""" To achieve these, Rooted School has an integrated approach to academics and career preparation, which special focus on IT career pathways. They are dedicated to equity and inclusion, and social-emotional learning and supports are also integral to their model."
"228 Accelerator",2021,190,"Social Justice School","","This school is designed for equity and has integrated equity centered design into the curriculum."
"228 Accelerator",2021,190,"Social Justice School","","The mission of the Social Justice School is to catalyze an integrated community of middle-school learners to be scholar-activists who are designers of a more just world. In order to design a more just world, our students require an education that embraces and lives out a set of core beliefs about what it means to be human. To have a school explicity dedicated to social justice is what our communities and country needs in this moment."
"Colorado Education Initiative",2021,236,"5280 High School","https://www.5280highschool.org/","5280 High School is a project based learning school that prepares students for current contexts.  They place a high priority on elevating student voice and leadership, they build deep relationships with each student, and they foster a strong community where students can thrive in a safe community. 5280 is a non-traditional school that focuses on recovery from addiction and eating disorders in addition to social emotional learning (SEL), career pathways, and resilience.  Their culture of holistic wellness is embedded in their community and helps prepare all students for success in college, their future career, and anything life throws at them.  Students take daily wellness electives, have 1-week of intersession each year where students can explore personal passions and interests, participate in internships in 11th grade, and complete a senior project in 12th grade.  Students begin every day with B.O.A.T. (Be present, Open-minded, Authentic, Together) where students have an opportunity to connect, share, and reflect in small groups. BOAT is built from a hybrid of advisory, circles, and social emotional wellness practices with 5280's own unique twist. True to the project based learning approach, students in B.O.A.T. start the year by building an actual large wooden boat together that gets launched into a local lake -- a powerful symbol for their journey together. The staff of 5280 truly believe in co-creating solutions alongside students and seek to reiterate and refine approaches to best meet the needs of their entire student body."
"Future Focused Education",2021,237,"ACE Leadership High School","http://aceleadership.org","ACE Leadership High School is a member of the Leadership Schools Network, a network of choice with a common three-pillar design framework and a shared mission to """"transform lives and communities through innovative education."""" Many of the school's students were marginalized or pushed out by traditional schools. The three-pillar model equally emphasizes learning by doing, 360-degree student support, and industry/community engagement. ACE stands for Architecture, Construction, and Engineering. The school was launched in partnership with employers in those industries including the Associated General Contractors of New Mexico. Students work on projects and participate in internships with direct relevance to issues being tackled by industry partners, promoting a new vision for school and students as change agents making their community better."
"Next Generation Learning Challenges",2021,238,"Altona Middle School","http://ams.svvsd.org","Altona is one of the most innovative schools in a profoundly innovative district. It describes itself as a """"leadership model"""" school, though they acknowledge that many visitors to Altona would think of it as a STEM school. It is extremely strong in technology offerings, with a computer science elective one of the most highly sought-after classes in the building. The staff all describe an atmosphere and culture of support for risk-taking and innovation; the principal hands out """"get out of jail free"""" cards every fall to give teachers confidence that school administrators have their backs.   The school is 30% open enrollment districtwide and otherwise serves its own neighborhood. It is a fairly new, well-designed building with an airy central space and balconies that invite and support a sense of community togetherness. Their approach to learning is focused on helping each student develop his or her own leadership skills and to clarify a plan for what they want to pursue in high school. We have led tours to the building a couple of times and educators have come away deeply impressed."
"Duquesne University School of Education",2021,241,"Avonworth High School","http://www.avonworth.k12.pa.us/avonworthhighschool_home.aspx","The Avonworth School District has undergone amazing transformation, this year delving into confronting racism.  With the help of teachers and the school board, and the student body, they have boldly recognized the anti-racist work that must permeate the district."
"Anonymous",2021,243,"Bennington Junior-Senior High School","http://www.usd240.org","Bennington Junior-Senior High School is one of our original Mercury schools, the first cohort of the Kansas State Department of Education's School Redesign initiative.  Bennington JSHS launched a newly redesigned system in 2018-2019 featuring personalized learning for each student through project-based learning and students mastering standards at their own pace, even completing courses in the middle of the year to earn credit in real-time.  BJSHS also implemented a mentoring program focusing on social-emotional learning, goal-setting, and career guidance.  Bennington JSHS has increased rigor in their school and challenged students to higher levels of engagement and achievement."
"Getting Smart",2021,247,"Blue Valley Center for Advanced Professional Studies (CAPS)","","The Blue Valley Center for Advanced and Professional Studies (CAPS) takes an innovative business-partnership approach to giving its students professional and business skills that help them succeed in a range of industries. A national affiliate program, CAPS Network, has grown to about 75 school districts. CAPS courses provides hands-on, real world experience in six career fields: Accelerator (entrepreneurship), Bioscience, Business, Engineering, Human Services, and Medicine & Healthcare. Projects, mentors, and internships promote engagement, relevance, and career preparation."
"CAST",2021,249,"Brockton High School","http://www.bpsma.org","Brockton has partnered with other MA schools to pilot a UDL-based technology to support students and ensure they all have access to high quality CTE/Vocational opportunities. Brockton is committed to making sure students can access materials, technology, and have a variety of opportunities to demonstrate hands-on learning."
"Open Way Learning",2021,252,"Coastal Leadership Academy","https://www.coastalleadershipacademy.org/","CLA (https://www.coastalleadershipacademy.org/) is serious about using positive disruption to bring more student-centered relevance to the teaching and learning experience. They use an experiential/project-based framework to help students build purpose and authenticity in their academic work by working on real problems in their community. They are also refining their approach to mastery-based learning and a collective leadership model, including student-led committees related to school policy and norms (including a student-led discipline committee). They also have a robust advisory program (called CREW) that allows students to develop strong relationships with teachers and staff. CLA is also intentional about teachers collaborating to develop cross-curricular projects and activities that also integrate the arts, language, and athletics in the routine high school experience."
"Alliance for Catholic Education",2021,253,"Community of Saints Regional Catholic School","","Community of Saints (CoS)  partners with the Higher-Powered Learning Program (HPLP) based at the University of Notre Dame. With this program, CoS has pursued a three-year partnership with HPLP. During this three year program, CoS formed a Blended Learning Advancement and Strategy Team (BLAST) that first learned blended learning with the HPLP team at ND.  During year two of implementation, the BLAST introduced and coached their teammates in blended learning best practices. CoS is a unique school because the teachers focus on personalizing instruction for students, especially emerging bilingual students. Community of Saints has made intentional software decisions and uses intentional pedagogy moves to support emerging bilingual students."
"Kansas State Department of Education",2021,259,"Dighton Elementary School","https://des.drregional.org/","Dighton Elementary School has redesigned teaching and learning to personalized, competency-based, project-based learning.  They are located in a very small town in western Kansas, where there are not a lot of resources or opportunities that students in more urban areas expect, but they utilize technology in ways that help their students to connect with the world beyond Kansas,  They also embrace and maximize the unique opportunities that small, agricultural towns have.  One such innovation embraced by the school is that they have operated a community garden and farmer's market for the past several years.  Last year, elementary students designed and (with the help and support of community businesses) built a chicken coop.  Now the care of chickens is added and the eggs are a regular part of their farmer's market.  Students at every grade level are engaged in solving real world problems, using design thinking.  Students are members of school """"families"""" and check in daily with a caring adult for mentoring and goal setting."
"Anonymous",2021,260,"Dighton Junior-Senior High School","https://www.usd482.org/5675","Dighton JSHS (grades 7 - 12) is a school in engaged in the Kansas State Department of Education's School Redesign initiative.  The school is part of our Gemini I cohort and launched a newly redesigned system in 2018 - 2019.  Dighton JSHS adopted a personalized learning approach that emphasized project-based learning at all grade levels and all subject areas.  The school adopted the Summit Learning Platform for grades 7 - 9 and then created a project-based learning academy for grades 10 - 12.  The PBL academy allowed any student in grades 10 - 12 to create projects aligned with the standards in the core content areas and present those projects to a community group to earn credit in any core content class.  Dighton JSHS also adopted a flexible schedule to allow students the opportunity to spend more time in classes they were passionate about.  The results speak for themselves; Dighton JSHS has a postsecondary effective rate more than 2 standard deviations above what KSDE would predict their rate to be, based on several factors (socioeconomic status, student mobility, chronic absenteeism rate).  I'm excited to nominate this school as they see themselves as the economic engine for the city of Dighton and the rest of Lane County.  Dighton is a very rural community with sparse population in western Kansas.  What they are doing to transform education in that small community is remarkable."
"Moonshot EdVentures",2021,266,"Embark Education","","Microschool embedded within two small businesses - a coffee shop and a bike shop; students get experience working in both"
"Education Reimagined",2021,266,"Embark Education","","Founded on the integration of community into every learning opportunity young people encounter, this learning environment is a one-of-a-kind model that takes advantage of both the learning spaces that already exist in the community and the opportunity to build out new ones that will give back to the community served.  Embark's primary learning spaces currently include a learning hub, a coffee shop, and a bike shopâ€”all of which exist solely for the purpose of serving Embark's young learners. This socially embedded, open-walled design naturally challenges young people to continuously push beyond their social and emotional comfort zones. Baked into every learning experience is the opportunity for the learner to reflect on their successes and failuresâ€”resulting in an ever-evolving understanding of their sense of self.  Developing a sense of self is a primary learning outcome at Embark. Through personalized, relevant, and contextualized experiences, this outcome is achieved with remarkable consistency. Take one young learner who was learning at Embark's coffee shop, Pinwheel Coffee.  One day, she became particularly curious about the espresso machineâ€”its inner workings and what made espresso so appealing to the shop's customers. Questions began flying left and right in her mind: â€œHow does this espresso machine work? How profitable is a single espresso drink? What do we charge for an espresso? Why do we charge that much? Should we charge that much? Should we charge more or less? Where do our coffee beans come from? Who is our source?â€  Rather than having to let these questions go unanswered, Embark's learner-centered environment provides the space and opportunity for a rich and robust exploration to unfold. The young learner sat down with a mentor and reviewed the coffee shop's financialsâ€”developing an understanding of the cost and revenue of each espresso order. Then, she was able to contact the vendors who supplied the coffee beans to better understand how they were sourced. Shortly after her research concluded, the coffee shop did adjust their prices, citing her work as a contributing factor to the changes made.  So, through one unimpeded and wide-ranging learning experience, she was able to dig into business finance, business ethics, local and international trade, and supply chain management. Whereas a conventional setting might allow her to touch on a few of these topics in isolated, time-restricted units, this young learner dove right into the complexity and overlap of each topic within a real business settingâ€”guided by her own burgeoning learner agency.  Embark's focus on letting young learners lead the way requires adult leaders to be ready at a moment's notice to support the growth and development of new learning journeys no matter how unexpected they might be. And, it is the unexpected that keeps everyone passionately engaged in their work, ready to discover what each new day has to offer."
"Duquesne University School of Education",2021,268,"Environmental Charter Middle School","https://ecsonline.org/ecms-inglewood/","This school model has courageously decided to take on anti-racist practices with courage. At its inception, it led the way with a inclusive model where teachers looped with their students in order to provide a high-quality education experience that championed the preservation of a student's academic and social-emotional growth. I am excited to nominate this school because the school leaders, educators, and students have worked hard to create a culture of authenticity, high expectations, and accessible learning for its entire student body. Their COVID-19 response was the best in the region, with educators creating an amazing digital environment that maintained a strong emotional connection to the school as students and families were experiencing drastic changes in their life. Across our region, the Pittsburgh area is known for innovation and a rich history - a nod to the strong fabric that has been a part of the history of this city. Environmental Charter Middle School has, in the face of a region that has had to reckon with racial and gender inequity, created a space where they interrogate and reflectively consider how they must champion and support the diversity seen in their school community."
