nominator,school_id,school_name_n,school_city_n,school_state_n,school_district_n,school_within_school_n,school_structure_n,nominator_reason,strong_covid19_approach,why_covid19_approach,know_school,suggested_tags_n,nomination_date,expanded_success,pbl,competency_education,design_equity,anti_racist_action,sel,blended_learning,school_participated,NCES_id
Anonymous,257,DC International school,Washington D.C.,DISTRICT OF COLUMBIA,Public Charter,No,,"When new staff arrived to Langley Elementary in 2016, the school's suspension rate was at 66 percent and physical altercations were not uncommon. Three years and a top-to-bottom transformation later, the school is unrecognizable. EdSurge reporter Emily Tate visited the Washington, D.C. school to understand how a social-emotional learning-based approach changed school culture for the better. It appears there is a new principal this year.",Not sure,,My colleague Emily Tate visited and reported on this school and I was her editor.,Conscious Discipline,September 2020,1,0,0,0,0,1,0,0,110009700492
Getting Smart,258,Del Lago Academy,Escondido,CALIFORNIA,Escondido Union School District,No,,Strong competency-based education school.,Yes,"By utilizing CANVAS and Apple technology, the Del Lago staff will begin teaching on August 25, 2020. The administration and staff have laid out a clear plan of action to stakeholders to ensure the smoothest start possible.",I have visited it on a Real World Learning trip.,,November 2020,1,1,1,1,0,1,1,0,061291013061
Aurora Institute,258,Del Lago Academy,Escondido,California,Escondido Union School District,,,"Del Lago Academy, located in Escondido, California, is a public high school of about 800 students.The school is focused on Applied Sciences, but while science is very much a core part of the teaching and learning â€“ there is just as much focus on students doing rich interdisciplinary projects.Students at Del Lago work across disciplines to problem-solve, think creatively and create their own meaningful solutions. Projects are designed for local audiences and often driven by a question that a partner determined for Del Lago students.Students also intern at local companies (many of them being biotech companies) and hospitals (one of the hospitals is less than a half-mile away). Del Lago believes that it takes a village for scholars to be successful, all spaces are a platform for teaching and learning, and it's important that the school is part of the community.",Not sure,,School visit and Ruth Hellams presented at the National Research Convening on Building the Evidence Base for K-12 Personalized Learning,,September 2020,1,1,1,1,1,1,0,0,061291013061
Kansas State Department of Education,259,Dighton Elementary School,Dighton,KANSAS,USD 482 Dighton,No,,"Dighton Elementary School has redesigned teaching and learning to personalized, competency-based, project-based learning.  They are located in a very small town in western Kansas, where there are not a lot of resources or opportunities that students in more urban areas expect, but they utilize technology in ways that help their students to connect with the world beyond Kansas,  They also embrace and maximize the unique opportunities that small, agricultural towns have.  One such innovation embraced by the school is that they have operated a community garden and farmer's market for the past several years.  Last year, elementary students designed and (with the help and support of community businesses) built a chicken coop.  Now the care of chickens is added and the eggs are a regular part of their farmer's market.  Students at every grade level are engaged in solving real world problems, using design thinking.  Students are members of school ""families"" and check in daily with a caring adult for mentoring and goal setting.",Yes,"This school embraced the school building closures of spring 2020 in that they did NOT slow down. They were able to flip everything to remote, hands-on project-based learning with regular virtual check-ins and direct instruction delivered via zoom. While that is what many schools did, this school was able to do it seamlessly because they not only teach design thinking, they live it themselves, so collaborating on this adaptive challenge was already a part of their school culture.",I have supported them as their Redesign coach for the past three years. I have checked in with them monthly and visited there school several times.,Personalized learning; project-based learning; rural education,September 2020,1,1,1,1,1,1,1,1,200555001294
Anonymous,260,Dighton Junior-Senior High School,Dighton,KANSAS,USD 482 Dighton,No,,"Dighton JSHS (grades 7 - 12) is a school in engaged in the Kansas State Department of Education's School Redesign initiative.  The school is part of our Gemini I cohort and launched a newly redesigned system in 2018 - 2019.  Dighton JSHS adopted a personalized learning approach that emphasized project-based learning at all grade levels and all subject areas.  The school adopted the Summit Learning Platform for grades 7 - 9 and then created a project-based learning academy for grades 10 - 12.  The PBL academy allowed any student in grades 10 - 12 to create projects aligned with the standards in the core content areas and present those projects to a community group to earn credit in any core content class.  Dighton JSHS also adopted a flexible schedule to allow students the opportunity to spend more time in classes they were passionate about.  The results speak for themselves; Dighton JSHS has a postsecondary effective rate more than 2 standard deviations above what KSDE would predict their rate to be, based on several factors (socioeconomic status, student mobility, chronic absenteeism rate).  I'm excited to nominate this school as they see themselves as the economic engine for the city of Dighton and the rest of Lane County.  Dighton is a very rural community with sparse population in western Kansas.  What they are doing to transform education in that small community is remarkable.",Yes,"Dighton JSHS has already guided their larger school community through a school redesign effort so planning for education during the pandemic comes as close to natural as possible for them. Their community, families, students, and staff are change-experienced so when the challenge arose to create a quality learning experience for each student amidst the whirlwind of the pandemic, Dighton JSHS didn't blink. They are opening fully for in-person learning but have a hybrid plan ready to go should they have an outbreak or some other unforeseen issue.",I've been their School Redesign coach for the last 3 years.,,September 2020,1,1,1,1,0,1,1,1,200555001296
Getting Smart,261,DSST: Montview High School,Denver,COLORADO,DSST Public Schools,No,,"Denver's DSST: Montview High School may be the best high poverty STEM school in the country but it's also really good at character development. The STEM-focused (Science, Technology, Engineering, and Math) school sends all of their graduates to four-year colleges. DSST not only delivers on academic results but prepares young people for careers and civic contribution. Shared values are central to life and learning at DSST. The shared values of respect, responsibility, integrity, courage, curiosity, and doing your best shape the student experience and are present in all DSST schools.",Not sure,,Personally visited the location,,September 2020,1,1,1,1,0,1,1,0,080336001833
Big Picture Learning,262,Durango Big Picture High School,Durango,CO,Durango School District,No,,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",Yes,"When the pandemic began to cause school buildings to close, there were a variety of specific attributes of schools in the Big Picture Learning network that helped them to be particularly resilient and responsive to students and families learning needs. A few of the key design features of BPL schools (although not designed intentionally for pandemic induced closures) proved to be particularly noteworthy and effective. These are detailed in the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235). In Particular strong ""Advisory Structure"", ""One Student at a Time"" Personalization, ""Learning Through Interests & Internships"", ""Authentic Assessment"" (Student Led Exhibitions of Learning). When school buildings closed down, students already had deep Relationships with their Advisors, who had gotten to know them and their families through ""Parent and Family Engagement"" deeply over the course of the year(s) that they have been working collaboratively with them. E...",They are in the network of Big Picture Learning Schools,"""See: the 10 Distinguishers - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235)
See the 10 Expectations - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389378&type=d&pREC_ID=902773)""",September 2020,1,1,1,1,1,1,0,0,080348006597
CAST,263,Eisenhower Elementary,Fraser,MICHIGAN,Fraser Public Schools,No,,"Embedded throughout the staff know for taking risks and doing whatever it takes. Strong protocols for SEL and experiences in place. Restorative practices. Were able to pivot quickly, efficiently and effectively to online learning. High levels of engagement. Culture of sharing. Open doors inviting colleagues in.",Yes,"Due to their well developed infrastructure, including coaching support and a well developed learning management system, Eisenhower was able to quickly pivot to remote learning during spring school closure. They achieved extremely high levels of student engagement. This fall, Eisenhower will provide virtual learning experiences with opportunities for small group instruction for all students. They have placed an emphasis on supporting early learners and students with the most significant learning needs. Eisenhower is committed to building a strong, connected community of learners.",UDL Implementation Coordinator,"UDL, Competency Based, Culturally Responsive Pedagogy, Restorative Practices, Flexible Learning Spaces, Welcoming School Culture",September 2020,0,0,1,1,0,0,1,0,261482005178
Big Picture Learning,264,El Centro de Estudiantes,Philadelphia,PA,The School District of Philadelphia,No,,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",Yes,"When the pandemic began to cause school buildings to close, there were a variety of specific attributes of schools in the Big Picture Learning network that helped them to be particularly resilient and responsive to students and families learning needs. A few of the key design features of BPL schools (although not designed intentionally for pandemic induced closures) proved to be particularly noteworthy and effective. These are detailed in the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235). In Particular strong ""Advisory Structure"", ""One Student at a Time"" Personalization, ""Learning Through Interests & Internships"", ""Authentic Assessment"" (Student Led Exhibitions of Learning). When school buildings closed down, students already had deep Relationships with their Advisors, who had gotten to know them and their families through ""Parent and Family Engagement"" deeply over the course of the year(s) that they have been working collaboratively with them. E...",They are in the network of Big Picture Learning Schools,"""See: the 10 Distinguishers - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235)
See the 10 Expectations - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389378&type=d&pREC_ID=902773)""",September 2020,1,1,1,1,1,1,0,0,
Anonymous,265,Eliza Chappell Elementary School,Chicago,ILLINOIS,Chicago Public Schools,No,,"Joseph Peila, the principal at Chicago's Chappell Elementary School, always knew recess to be a time of conflict and tension. His school found Playworks, a nonprofit that embeds full-time coaches in schools to promote safe, engaged play during recess and, by extension, simultaneously improve children's physical health and social-emotional well being. Peila's staff says the results have been impressive and our EdSurge reporter got to see them for herself.",Not sure,,My colleague reported on the school and I was her editor.,"Play, Recess",September 2020,0,0,0,0,0,1,0,0,170993000658
Moonshot EdVentures,266,Embark Education,Denver,COLORADO,Private school,No,,Microschool embedded within two small businesses - a coffee shop and a bike shop; students get experience working in both,Not sure,,Miguel is a Moonshot Fellow,,September 2020,1,1,1,0,0,1,0,1,
Education Reimagined,266,Embark Education,Denver,COLORADO,n/a (independent),No,,"Founded on the integration of community into every learning opportunity young people encounter, this learning environment is a one-of-a-kind model that takes advantage of both the learning spaces that already exist in the community and the opportunity to build out new ones that will give back to the community served.  Embark's primary learning spaces currently include a learning hub, a coffee shop, and a bike shopâ€”all of which exist solely for the purpose of serving Embark's young learners. This socially embedded, open-walled design naturally challenges young people to continuously push beyond their social and emotional comfort zones. Baked into every learning experience is the opportunity for the learner to reflect on their successes and failuresâ€”resulting in an ever-evolving understanding of their sense of self.  Developing a sense of self is a primary learning outcome at Embark. Through personalized, relevant, and contextualized experiences, this outcome is achieved with remarkable consistency. Take one young learner who was learning at Embark's coffee shop, Pinwheel Coffee.  One day, she became particularly curious about the espresso machineâ€”its inner workings and what made espresso so appealing to the shop's customers. Questions began flying left and right in her mind: â€œHow does this espresso machine work? How profitable is a single espresso drink? What do we charge for an espresso? Why do we charge that much? Should we charge that much? Should we charge more or less? Where do our coffee beans come from? Who is our source?â€  Rather than having to let these questions go unanswered, Embark's learner-centered environment provides the space and opportunity for a rich and robust exploration to unfold. The young learner sat down with a mentor and reviewed the coffee shop's financialsâ€”developing an understanding of the cost and revenue of each espresso order. Then, she was able to contact the vendors who supplied the coffee beans to better understand how they were sourced. Shortly after her research concluded, the coffee shop did adjust their prices, citing her work as a contributing factor to the changes made.  So, through one unimpeded and wide-ranging learning experience, she was able to dig into business finance, business ethics, local and international trade, and supply chain management. Whereas a conventional setting might allow her to touch on a few of these topics in isolated, time-restricted units, this young learner dove right into the complexity and overlap of each topic within a real business settingâ€”guided by her own burgeoning learner agency.  Embark's focus on letting young learners lead the way requires adult leaders to be ready at a moment's notice to support the growth and development of new learning journeys no matter how unexpected they might be. And, it is the unexpected that keeps everyone passionately engaged in their work, ready to discover what each new day has to offer.",Not sure,,Connected with Miguel Gonzalez,learner-centered education,September 2020,1,1,1,0,0,1,0,1,
Getting Smart,267,Energy Institute High School,Houston,TEXAS,Houston ISD,No,,"Energy Institute High School in Houston is creating opportunities for students to engage with businesses, corporate partners and leaders in the field of energy through high-quality project-based learning. The project-based school incorporates core subject areas into projects that tie into energy. Students have a great deal of ownership and agency in their learning at Energy.",Not sure,,Personally visited the location.,,September 2020,1,1,1,1,0,0,1,0,482364013046
Duquesne University School of Education,268,Environmental Charter Middle School,Pittsburgh,PENNSYLVANIA,Environmental Charter School,No,,"This school model has courageously decided to take on anti-racist practices with courage. At its inception, it led the way with a inclusive model where teachers looped with their students in order to provide a high-quality education experience that championed the preservation of a student's academic and social-emotional growth. I am excited to nominate this school because the school leaders, educators, and students have worked hard to create a culture of authenticity, high expectations, and accessible learning for its entire student body. Their COVID-19 response was the best in the region, with educators creating an amazing digital environment that maintained a strong emotional connection to the school as students and families were experiencing drastic changes in their life. Across our region, the Pittsburgh area is known for innovation and a rich history - a nod to the strong fabric that has been a part of the history of this city. Environmental Charter Middle School has, in the face of a region that has had to reckon with racial and gender inequity, created a space where they interrogate and reflectively consider how they must champion and support the diversity seen in their school community.",Yes,"Mentioned in the first question, but they transitioned within a week to online instruction, immediately provided families without access to technology the requisite hardware, and created an online space that would rival any attempt at a welcoming virtual community where students and families regularly engaged with school staff who assured them of the realities of the situation but their commitment to creating an inclusive learning environment. They also were able to end the school year offering counseling and related service so families were able to access the therapeutic services they needed from the school.",A critical friend of the school for about 5 years.,environmental approach that reflects a strong commitment to environmental justice,September 2020,1,1,0,0,1,1,0,1,420081206819
Education Reimagined,269,EPIC Academy at Lamoille Union High School,Hyde Park,VERMONT,Lamoille North Supervisory Union,Yes,"Learners choose to earn proficiencies through their ""traditional"" courses and/or student-driven passion projects","EPIC Academy is reimagining the high school experience by putting learners in the driver's seat.  Instead of earning all graduation proficiencies in traditional classes, EPIC invites learners to learn and showcase their mastery through projects they design and care about. Every 9 weeks, learners choose their topic, decide which proficiencies to embed, and collaborate with peers, teacher mentors, and community partners to explore various themes.",Not sure,,Connected with Kim Hoffman,learner-centered education,September 2020,1,1,1,0,0,1,1,1,500039700171
Vermont Learning for the Future,269,EPIC Academy at Lamoille Union High School,Hyde Park,Vermont,Lamoille North Supervisory Union,,"EPIC academy is a learner-centered program available to all students within LUHS on an every-other day or every day basis. Students enrolled in EPIC design their own learning plan with mentor support and guidance. ""Every 9 weeks, you'll choose your topic, decide which proficiencies to embed, and collaborate with peers, teacher mentors, and community partners to explore your theme.""","EPIC was created to re-imagine school with learners in the driver's seat. Learning is project-based, proficiency-assessed, encourages community partnerships, mentorship, and built around student interest. EPIC ""mentors"" also work closely with the LUHS ""Teacher Innovation Coach"" to enhance their practice and collaborate in professional learning across the school.",Yes,"The project-based nature of this program very easily supports a variety of learning styles and conditions, and the relationship-centered nature of mentorship and work with community partners helps maintain learner connection and motivation.",I have worked closely with several students and community partners in the program for several years.,flexible pathways; learner-centered; place-based,November 2020,1,1,1,0,0,1,1,1,500039700171
Education Evolving,270,Escuela Verde,Milwaukee,WISCONSIN,Escuela Verde Agency,No,,"Escuela Verde learners develop, research, work, and produce their own projects. Projects that mean something. Projects that prove growth. Projects that matter to them and to our community. Working in small advisories of 16 students, Escuela Verde students collaborate with their educational advisors to define and meet their own vision of success. Students co-develop a Personalized Learning Plan (PLP) with their educational advisor. Escuela Verde follows the EdVisions Project-Based Learning model and a Teacher-Powered governance model. The school is designed to serve students interested in sustainability, student-led learning, and restorative justice.",Yes,"This school focused on their already strong relationships with students and families to meet student needs as they moved to distance learning. First, Escuela Verde made sure that students' foundational needs were met with shelter, food, and technology needed for distance learning. Next, they made sure to have contact with each student on a regular basis. Being project based made the transition easier as students were already use to using their own agency to create and complete projects.",They are in our network,"teacher-powered, student-centered, environmental social justice",September 2020,1,1,1,1,1,1,0,1,550006902920
Anonymous,271,Fugees Academy,Columbus,OHIO,Private school,No,,"Fugees Academy is a school focused on serving refugee students an din particular has a mission is ""devoted to working with child survivors of war"" and is working to support regugee students to successfully transition and be successful in the US. The program includes rigorous academics as well as students holistic development focusing on honoring their home culture and identity.",Not sure,,Met through CZI and have gotten to know them over recent years through our own pipeline development processes,,September 2020,1,0,0,1,0,1,0,0,
Anonymous,272,Fulton Academy of Science and Technology,"Roswell, GA",GEORGIA,Fulton County School,No,,"Fulton Academy of Science and Technology (FAST) is a K-8 charter school that incorporate Design Thinking into all facets of the school from each class a student attends to teacher development to administrative effectiveness. FAST adds one hour each day to the school schedule, four days per week for a class in innovation for all grades. FAST also offers 8th graders a capstone project lasting one year that will give each student the opportunity to demonstrate their innovation ability. Their differentiated math, science and literacy curriculum will support the goals in increasing critical thinking, deep understanding in content areas, creativity and innovation.",Not sure,,Former Board Member,,September 2020,1,1,1,0,0,0,0,1,130228004259
Anonymous,273,Futures Academy,Newport Beach,CALIFORNIA,n/a,No,,"At Futures Academy in California, a network of 16 schools, classes are intentionally smallâ€”in fact, there's one teacher for every student. It's an innovative twist on one-to-one learning that's been popular with students who need to catch up, or want to surge ahead. There are challenges including scheduling and socialization, but it's an interesting model.",Not sure,,My colleague reported on it and I edited,"1-to-1, Learner-Centered",September 2020,1,1,0,0,0,0,1,0,
Idaho STEM Action Center,274,Galileo STEM Academy,Eagle,IDAHO,West Ada School District,No,,"There are two particularly notable characteristics that make Galileo STEM Academy an outstanding school. The first is the extent to which students, beginning in kindergarten, take control of their own learning. A perfect example is the school store. Typically in elementary schools, this task is left to students in the upper grades to run. Not at Galileo. The second graders are the ones who run the monthly store which includes, but is not limited to, budgeting, handling all transactions, calculating net and gross profit, advertising, and evaluating business plans from other students. The level of autonomy afforded the students is remarkable and keeps them highly engaged as active learners. This leads to the second trait. The students are almost continually engaged in cross-discipline, project-based learning. At Galileo, everything starts with STEM (Science, Technology, Engineering and Math) and then subjects are integrated into the project along with the corresponding standards. They routinely utilize the engineering design process as they seek to solve real world problems, primarily of their own choosing. I have been fortunate to be able to observe a great number of schools, and in regards to both of these characteristics, Galileo rises to the top.",Not sure,,I was on the STEM review team that evaluated the school for STEM certification/designation. I have since worked with the school on a variety of projects.,Student-centered learning,September 2020,1,1,1,0,0,1,1,0,160210000945
Rural Schools Collaborative,275,Glenwood Elementary,West Plains,MISSOURI,Glenwood R8,No,,They have made very progressive curriculum progress in a region that is not particularly open to change.,Not sure,,We have worked with the.,place-based,September 2020,0,1,1,0,0,0,1,1,291518000691
Getting Smart,276,Grand Rapids Public Museum School,Grand Rapids,MICHIGAN,Grand Rapids Public School,No,,"Grand Rapids Public Museum School is a design-focused secondary school in a museum and a former museum in downtown Grand Rapids. Formed as a collaboration between Grand Rapids Public Schools (GRPS), the Grand Rapids Public Museum, Kendall College of Art and Design (KCAD, part of Ferris State University), and Grand Valley State University, the City of Grand Rapids and Downtown Grand Rapids, Inc. It is a competency place based school with a focus on design thinking and after winning the XQ Super School grant in 2016, the high school opened in 2018. Full enrollment will be around 360 students. A model High School design of place based thinking that is connected to the local and global community while learning from the past to inform the future.",Not sure,,I have visited this school and am providing some support to their graduate transcription system.,Design Thinking Place Based Learning,September 2020,1,1,1,0,0,0,1,1,
Springpoint Schools,276,Grand Rapids Public Museum School,Grand Rapids,MICHIGAN,Grand Rapids Public Schools,No,,"The Grand Rapids Public Museum School in Grand Rapids, Michigan seeks to use place-based design thinking and the museum context to create learning experiences that develop confident, creative, and competent thinkers, doers, and leaders. The school currently serves 180 students in 6th, 7th and 8th grades, and 90 students in 9th grade. It will eventually serve grades 6th through 12th. Instead of being housed within a traditional high school building, the school is located in a former museum facility. The school's partnership with Grand Rapids Museum is an innovative cornerstone of their model. The museum context provides opportunities to exhibit student learning, understand community, and use artifacts to tell a story. The museum's collection of 250,000 cultural and historical artifacts form the basis of a rigorous curriculum taught mostly through projects that enable students to engage deeply with their community. Museum staff regularly teach classes, and students partner with curators to help build exhibits that open up new learning for the community.  The GRPMHS curriculum is interdisciplinary and theme-based, with particular emphasis on global awareness, sustainability, and technology and design, explored through the lens of the history, culture, economy, and ecology of the Grand Rapids community and region. Students spend time working with community partners and collaborators all over the city (e.g., universities, nonprofits, scientists, artists, etc). Projects, including one designed to become the largest river-restoration project in the United States, take students into every aspect of the community and its surrounding environment. Lessons from community members complement instruction by formal educators, with community members proposing classes to teach as guest instructors. Examples from the existing middle school include everything from poetry writing and bicycle repair to a class focused on invasive species in the nearby Grand River.  The school's instructional vision is built upon integrated project-oriented instruction. Learning experiences connect academic outcomes to the lived realities of students and are guided by thematic competencies. The school also focuses instruction on the growth of the whole person, which is why assessment of student work, progress through the curriculum, and additional support is responsive to academic, social, expressive, and emotional needs.",Not sure,,We have partnered with GRPMS through our work with XQ.,"Community Partnerships, Place-based Learning",September 2020,0,1,1,0,0,1,0,1,
Anonymous,277,Great Oaks Legacy Charter School,Newark,NEW JERSEY,Great Oaks Legacy Charter School,Not sure,,An academic model featuring curricula from both Achievement First and Uncommon Schools,Not sure,,Through a grantee connections,,September 2020,0,0,0,0,0,0,1,0,340075103180
Big Picture Learning,278,Greater Egleston High School,Roxbury,MA,Boston Public Schools,No,,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves.",Yes,"When the pandemic began to cause school buildings to close, there were a variety of specific attributes of schools in the Big Picture Learning network that helped them to be particularly resilient and responsive to students and families learning needs. A few of the key design features of BPL schools (although not designed intentionally for pandemic induced closures) proved to be particularly noteworthy and effective. These are detailed in the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235). In Particular strong ""Advisory Structure"", ""One Student at a Time"" Personalization, ""Learning Through Interests & Internships"", ""Authentic Assessment"" (Student Led Exhibitions of Learning). When school buildings closed down, students already had deep Relationships with their Advisors, who had gotten to know them and their families through ""Parent and Family Engagement"" deeply over the course of the year(s) that they have been working collaboratively with them. E...",They are in the network of Big Picture Learning Schools,"""See: the 10 Distinguishers - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235)
See the 10 Expectations - (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389378&type=d&pREC_ID=902773)""",September 2020,1,1,1,1,1,1,0,0,250279000837
Arkansas Office of Innovation,279,Happy Hollow Elementary School,Fayetteville,ARKANSAS,Fayetteville Public School District,No,,This school uses blended learning and project-based learning to personalize students' learning experiences. Students have clear learning progressions that enable them to move on when ready. Students are given opportunities to engage in social emotional learning activities that develop their self awareness and agency as learners. The school culture is reflective of student-focused learning.,Yes,"They were pro-active. They already had many practices in place that enable them to continue learning from remote settings. They didn't have to scramble as so many schools did. In the grade levels where blended learning and move-on when ready learning progressions were well established, students were able to continue their learning and demonstrations of learning. In many ways COVID provided additional confirmation of the value of their student-centered transformation to the staff, the district, and to families. They serve a very high poverty population and are very diverse and are mindful of the needs of their marginalized populations. Their focus on developing student agency in face-to-face learning served them well when they had to switch to remote learning so quickly.",This school was part of a grant facilitated by our office and therefore we have spent numerous hours working with and learning from their staff and students.,"student-centered, family-centered, equity-oriented, adaptive, responsive",September 2020,0,1,1,0,0,0,1,0,050612000321
Colorado Education Initiative,280,Harrison High School,Colorado Springs,COLORADO,Harrison School District 2,No,,"Diversity Equity - Harrison HS serves a largely diverse population -- 13.5% of the student population are English learners, 81.2% are minority students, 76.7% qualify for free or reduced lunch, and 14.5% of students qualify for special education services. All of these measures are significantly above the Colorado state averages.  Rigor and growth - In 2014, Harrison HS was awarded both the Governor's Distinguished Improvement Award and the High School Academic Growth award from the Colorado Department of Education (CDE). They have expanded rigorous course offerings to all students by offering a variety of advanced placement courses and in 2018, it became an International Baccalaureate World School. Harrison has developed both of these programs alongside a strong AVID program to provide supports to their students along the way.    Focus on Relationship Projects: Though academics have been foundational throughout the recent history of Harrison HS, academic achievement and growth began to plateau which drove the leadership team to double down on creating stronger student-staff relationships.  Staff development focus on the power of story (relationship building and empathy building), growing Advisory, AVID 9 for all paired with Tutoring Center and expanding it, The Circle Project expansion, changing daily announcements to include a greater focus on ALL events happening across the school, expanding Leadership/Link crew classes, giving teachers time to build relationships (20% â€œfreeâ€ time bi-monthly per class)  Additionally, Harrison HS is building an ambassador program that will employ restorative justice practices.  Last year they had an open campus at lunch for the very first time which shows a shift towards more student autonomy.",Yes,"Like many schools, Harrison HS struggled with the abrupt transformation to virtual learning in the spring though the school did have the advantage of already having a 1-1 laptop program in place. The 2020-21 school year is beginning remotely for students at Harrison HS though students at elementary schools and in center-based programs in the district will have the option to return for in-person instruction.","CEI has partnered with Harrison HS through multiple projects over the past seven years, including focus on high school redesign through support for both leveraging Advanced Placement to increase college readiness and access for underrepresented students, and integrating social emotional learning as part of academic development.",,September 2020,0,0,0,1,1,1,0,1,080453000667
Future Focused Education,281,Health Leadership High School,Albuquerque,NEW MEXICO,Stand-alone charter authorized by Albuquerque Public Schools,No,,"Health Leadership High School is a member of the Leadership Schools Network, a network of choice with a common three-pillar design framework and a shared mission to ""transform lives and communities through innovative education."" Many of the school's students were marginalized or pushed out by traditional schools. The three-pillar model equally emphasizes learning by doing, 360-degree student support, and industry/community engagement. The school was launched in partnership with healthcare employers. Students work on projects and participate in internships with direct relevance to issues being tackled by industry partners, promoting a new vision for school and students as change agents making their community better.",Yes,"The school launched an interactive website where students posted materials from their completed projects, allowing for feedback from community and industry partners. Before COVID, the school regularly held ""exhibitions of learning"" that had community and industry reps giving feedback to the student in person. The website is a creative way to achieve some of the same goals virtually, and also gave the school a way to celebrate their seniors in the absence of a graduation ceremony.","My organization facilitates collaboration and learning across the Leadership Schools Network, and HLHS is a member of the LSN. We also run a paid internship program for HLHS students.",community engagement cultural and linguistic responsiveness re-engagement career preparation,September 2020,1,1,1,1,1,1,0,0,350006001098
Anonymous,282,Henry Ford Academy,Dearborn,MICHIGAN,Henry Ford Academy,Yes,School within a museum,"The school is focused on the nexus of innovation, design thinking, PBL, and real world design.  The Henry Ford Academy was conceived, developed, and implemented in cooperation with Ford Motor Company and The Henry Ford, and chartered by Wayne County Regional Educational Service Agency. It is a college prep high school (grades 9-12) located inside Henry Ford Museum & Greenfield Village and surrounded by the campus of Ford Motor Company. Students come from districts within Wayne County, as well as private, parochial, and home schools.   This model partnership focuses some of the best thinking from the business, non-profit, and public education worlds toward the common goal of building a school that prepares students for life in the 21st century.",Not sure,,Professional Development,"Design Thinking, Future School, Community Experts, Industry partnerships",September 2020,0,1,1,1,0,1,1,0,260017101040
Getting Smart,283,Highland Academy Charter School,Anchorage,ALASKA,Anchorage School District,No,,"Highland was the first fully implemented choice high school in the country and second to Chugach High School by one year. It was established in 2003 with the first graduating class in 2006. Highland is a 6-12th (or sometimes 5-13th grade depending on levels) competency-based school in Anchorage. It is a charter school whose focus is a learning approach in which all students must demonstrate proficiency in a selection of standards. Social-emotional learning is embedded in the curriculum in a variety of ways. All students are part of an advisory team where academic coaching, goal setting, team building, and parent connections are focused. Highland Academy was formerly known as Highland Tech High and Highland Tech Charter School. Learners may choose this school for the highly personalized, smaller setting and may have been previously unsuccessful in other locations.",Yes,"They are competency already, high tech integration and are ready for the fluid learning that this next year will need.",I was part of the group that started it and have stayed in touch with the amazing people that lead it.,"Advisory structure, Culture competency, career pathways",September 2020,1,0,1,1,0,1,0,1,020018000555
