school_id,school_name,school_city,school_state,school_district,nominator,nominator_reason,website
63,East College Prep,Los Angeles,California,Ednovate,Anonymous,"Has a record of achieving strong academic results with an innovative model (personalized self-pace) that serves a high percentage of underserved students. Innovative school model with early success: Ednovate's college prep academic model is built around Personalization, Purpose, and Mindsets. Beyond three essential elements (teamwork, positive culture, and a common assessment system), they give principals and instructors great autonomy and support to distinctively reach the organization's collective goals.  Ednovate empowers teachers and principals to be entrepreneurial, to exercise their creativity, and try different solutions.   

Personalized College Prep: Ednovate creates a customized learning experience that capitalizes on each individual student's strengths and interests by empowering teachers and students to utilize technology to enhance the learning experience.  Students work at their own pace through online modules to reach mastery of college-ready skills. The self-paced module system teaches students to manage their time so that they are able to complete assignments with long term deadlines. 
A Deep and Enduring Purpose: Ednovate believes that if students are driven by a deep sense of purpose to use their college degrees and careers, they will be more likely to persist through college graduation. As part of the effort to create Positive Multigenerational Change, their schools implement annual projects and customize these projects based on their own interests. By the time our students graduate, they will view themselves as positive change agents with a deeper purpose for college and career.  
Development of Specific Mindsets: Ednovate believes in developing the mindsets needed to thrive in and persist through college and beyond, including Integrity, Entrepreneurialism, Mastery and Joy. Every aspect of their school design and model is purposefully designed to embody and develop these mindsets in our students.",http://ednovate.org
64,USC Hybrid High College Prep,Los Angeles,California,Ednovate,Charter School Growth Fund,"Ednovate has achieved high student performance with a tech-enabled flex model, where students progress through content at their own pace. Teachers spend 80-90% of their time in class conferencing 1-on-1 with students or providing small group instruction. This model is made possible through tight data and culture systems and management to outcomes by the network team. Ednovate is continuing to innovate on core aspects of their model and developing more sophisticated ways to predict college completion. Ednovate is working to apply learning science research to their expanded definition of student success known as Annual College Readiness Indicators (ACRIs). The ACRIs include measures of: 1) College Rigor, 2) Critical Thinking, 3) Mastery, 4) Presence, 5) Purpose, and 6) Self-Regulation. ",http://ednovate.org
65,Elmer G Bondy Intermediate,Pasadena,Texas,Pasadena ISD,Anonymous,The commitment to student centered blended learning for all students!,
67,Empower Community High School,Aurora,Colorado,Aurora Public Schools,Anonymous,School has been built alongside students from the ground up. Truly co-created. Charter app was written with a full community design team. Strong focus on ethnic studies and projects. Radical transformation. Check instagram feed to understand more.,
69,EPiC Elementary,Liberty,Missouri,Liberty Public Schools,The Learning Accelerator,EPIC is a project-based learning school which infuses district curated Open Education Resources (OER) to push student-centered and relevant learning.,
70,Evergreen Community Charter School,Asheville,North Carolina,none provided,National Center for Learning Disabilities,They have strong presentations and do explicit instruction of key skills,http://www.evergreenccs.org/
71,Fannie Lou Hamer Freedom High School,New York,New York,none provided,Big Picture Learning,"Fannie Lou Hamer Freedom High School is a member of the New York State performance assessment consortium, exempting them from most required end-of-course Regents exams. This flexibility has enabled Fannie Lou to create a robust portfolio assessment system where students present and defend their work and learning through their pathway to graduation. In the highest poverty Congressional District in the nation, Fannie Lou Hamer partners with the Children's Aid Society to provide out of school learning experiences, health and counseling services, and summer youth employment for 70-80% of students each summer. Additionally, the school focuses intensely on teacher collaboration, developing a school-wide schedule to allow team professional development and collaboration for three hours weekly. Fannie Lou's focus on social justice and student activism has resulted most recently in the students petitioning local legislators to re-name their street to honor the legacy of Fannie Lou Hamer. Additionally, each year the students host a birthday party for Fannie Lou Hamer, with events to educate the community about her contributions so social justice. In the past two years, the school has quickly built an internship program under the direction of a teacher who is herself an alumna of Fannie Lou. ",
72,Farmington High School,Farmington,Utah,Davis School District,Utah State Board of Education,"The mission of Farmington High School is to provide students with a purposeful, personalized, and preparatory education which will allow them to be successful in their chosen career field and postsecondary settings.  ",
73,Farmington High School,Farmington,Connecticut,Farmington Public Schools,CT Center for School Change,"Farmington High School (FHS) enrolls approximately 1300 students in grades 9-12. The school implements a student-centered approach aligned to Farmington's improvement design.   Classroom practices are student-centered, with student voice and agency being emphasized. Curriculum, instruction, programming and assessment is aligned to a purpose-driven, socially-constructed, mastery-based and self-directed learning. One example to share is student-engaged rounds. For several years, students at FHS have engaged in instructional rounds. This year, rounds has evolved to include an equity focus. Students join administrators and educators on instructional rounds throughout each school year. A problem of instructional practice is shared and all participants visit classrooms, gather observational evidence and engage in an affinity protocol to determine the school's next level of work.  It is important to note that Farmington students engage in rounds with administrators and educators beginning in 3rd grade. Teaching and learning at FHS is active, engaging, challenging, purposeful, and student-centered, as aligned with the Farmington's improvement design. As ""leaders of their own learning,"" students are independent and resourceful learners. The school's primary goal is to ensure that all students are successful. In partnership with students, faculty, and staff, this school year we renew our commitment to engaged learning and high achievement within a supportive learning environment. FHS is nationally recognized for excellence in student outcomes. FHS implements a mastery-based approach to empower students as leaders of their own learning. Farmington's mastery-based principles are implemented in all classrooms and across all departments.    ",
75,FlexTech High School Novi,Novi,Michigan,Charter School Partners,Michigan Department of Education,"Flextech does a variety of things to meet the needs of the students. They use Project-Based Learning, Community-Based experiences, Self-paced online courses, and blended classrooms.  Flextech is being innovative in their approach to meet the needs of students as individuals.",http://www.oaklandflextech.org/
76,Flushing International High School,,,New York City Department of Education,Springpoint,"Flushing International High School (FIHS) is part of the Internationals Network for Public Schools. FIHS's mission is to serve recent immigrants to the United States who are new learners of English. The school focuses on developing students' proficiency in English while simultaneously developing their skills in their native language and empowering them to engage with rigorous interdisciplinary content in learner-centered environments. The school views every teacher as both a language teacher and a teacher of academic content and skills; students develop language skills and academic content simultaneously with each reinforcing the other. Classes are mixed according to age, grade, academic ability, prior schooling, native language, and linguistic proficiency. Prior to entry, FIHS students have all resided in the United States for less than four years. Collectively, they represent 40 countries and speak over 20 languages. The school organizes its teaching cycle around three types of learning outcomes: work habits, language, and academic disciplines. Teachers meet once a week within their academic disciplines and their cohort teams, which has led to more interdisciplinary projects and strong learning outcomes. FIHS embodies a holistic framework of mission, vision, and culture. The school is deeply connected to the community and performs extensive family outreach as well as social justice advocacy on behalf of its students. The school provides a wide array of community services, including legal support. The school culture is organized around 12 principles: collaboration, peace and justice, self-expression, academic excellence and learning, love and belonging, holism, respect, caring for our environment, honoring diversity, community building, leadership, and creativity. The school has a transparent and intentional approach to mastery, which also serves to bolster the project-based focus and support students as they hone their English language skills.",http://www.flushinginternational.org
77,Francis T Maloney High School,Meriden,Connecticut,Meriden Public Schools,CT Center for School Change,"Implemented student-centered learning model through embedded coaching beginning spring 2015  

Student-Centered Learning coaches in each of the four core content areas (English, Math, Science, Social Studies), selected from existing teacher leaders. Coaches worked with an outside consultant and district administrator to build their own understanding of the coaching model and tenets of student-centered learning. Developed Student-Centered Learning look-fors to provide examples of evidence of student-centered learning practices by both teachers and students. Coaches still teach (initially 2 class, now 3), building added credibility with colleagues. Coaching model included planning meeting, classroom visit, and post-meeting. The model has evolved to meet varying needs of staff  Personalized Learning Experience program developed to provide students an opportunity to self-design credit-earning program of study based on an area of interest or potential career.  Implemented 1:1 conferencing across grade levels to build connections and set goals based on academic, attendance and behavioral data. Restorative Practices and Youth Dialogue sessions provide opportunities for student voice. 

Results: 23% Decrease in Chronic Absenteeism, 82% Decrease in Suspensions, 93% Decrease in Expulsions, 96% of Grade 9 students on-track to graduate in four years, a 21% increase in 4-year graduation rate, 1,500 on-track conferences in grades 9-12, 200+ Grade 9 on-track data meetings to discuss student supports. 

Students and district staff participate in the #Why Apply Campaign, #IApplied, #Accepted - stressing the importance of applying for college BOE  passed policy to support student-centered learning practices. MHS has 27 Advanced Placement/Early College Experience courses offered, prerequisites eliminated for AP/ECE course, increase in all subgroups SAT Scores beginning to move in the right direction ",http://www.meriden.k12.ct.us/maloney/Maloney_WEB/index.htm
78,Francis W. Parker Charter Essential School,Devens,Massachusetts,none provided,CSSR (Center for Secondary School Redesign),"A six-year public secondary school of choice, the Francis W. Parker Charter Essential School is open by lottery admissions to all residents of Massachusetts in grades seven through twelve. Parker is a progressive school which emphasizes learning to use one's mind well and putting the student at the center of the educational process. Students are known well at Parker. School climate is built on trust, decency, and democracy. Both classroom-level assessment practices and whole school assessment systems at Parker, include progressive practices that have been honed for more than twenty years. Teacher and administrators facilitate and design inquiry-based projects for grades 7- 12 students and support those projects within a school-wide performance-based promotion system. The school focuses on inquiry and performance assessment at the all levels (including choice-based culminating independent projects and senior projects) providing systems and structures that are designed to support this kind of performance assessment model (including schedules, reporting systems, and graduation requirements).",http://www.theparkerschool.org
79,Frank McCourt High School,New York,New York,New York City Department of Education,Mastery Collaborative,"Frank McCourt High School is committed to developing all students to be genuinely college-ready. Their course offerings are determined by the students and teachers together, and there is a strong focus on collaboration and interdisciplinary work.  From a recent article on wnyc.org: """"From the minute we opened we had a very diverse population and we needed to navigate that,"" says Danielle Salzberg, principal of Frank McCourt High School, on the Upper West Side, which opened in 2010. ""Kids come with different educational backgrounds and different socioeconomic backgrounds. We opened our doors fully aware that we were going to be meeting different kids' needs in different kinds of ways.""  To meet those needs, Salzberg and her team turned to a mastery-based model.  ""It's the best way to provide feedback to students that allows them to understand themselves and be empowered as learners,"" Salzberg says. ""We focus a lot on student engagement. What are we doing to challenge their thinking and not just have them be compliant?""  The school is thriving. With 20 percent of its 400-plus students diagnosed with a learning disability and about half of its kids coming from families in economic need, McCourt nonetheless outperforms citywide averages on state-mandated Regents exams, graduation rates and post-secondary enrollment. . . .  Support extends beyond teacher interventions. With a schoolwide emphasis on working in groups, students' most-used academic resources are often their peers. . . .   ""Mastery-based learning is a complete paradigm shift for most teachers,"" says Salzberg. ""It means thinking about grading as a way to provide feedback, and not a random act that we do because the quarter is ending.""",http://www.fmhsnyc.org
79,Frank McCourt High School,New York,New York,New York City Department of Education,NYC Department of Education,,http://www.fmhsnyc.org
80,Fred Tjardes School of Innovation,Greeley,Colorado,GREELEY-EVANS WELD COUNTY SCHOOL DISTRICT 6,Springpoint,"Opened in fall 2017, the Fred Tjardes School of Innovation (FTSOI) is a K-8 school in Greeley, Colorado. The school was designed by a team of teachers, who are the co-founders and current lead collaborators of the school. The objective was to create a school that serves a population that is representative of Greeley with demographics to match that of the community. The current student population is 50.8 % white and 49.1% Hispanic or multiple races, with 49% of the population receiving free or reduced lunch. Designed based on the belief that children are naturally curious and creative learners, the school's mission is to foster an atmosphere that encourages risk-taking and curiosity so that students are empowered to become problem-finders and problem-solvers. One of the hallmarks of FTSOI is the fidelity to its design foundations (mission, instructional vision, core values, and design priorities). The design foundations are not just a series of statements, but rather serve as the foundation for decisions and structures throughout the school and are evident in their daily practice. This leads to a school that iterates on the execution of this design, but still maintains a strong identity grounded in its founding principles. Students explore theme-based topics (loops), with cross-content connections that ask them to learn about topics and concepts in greater depth, in grade level bands. Ingrained in the heart of the school's culture is openness to failure and trying again. The goal is to make failure feel safe so that students aren't afraid to try new things. Additionally, teacher and leadership roles have been reimagined at this school. Teachers are known as Band Collaborators and generally teach two grade levels of students within their band. School leadership responsibilities are distributed among three educators who are both Band Collaborators and Lead Collaborators.",
81,Future Public School,,Idaho,none provided,Bluum,"The school was launched in August 2018 by the inaugural Idaho New School Fellows Brad Petersen and Amanda Cox. They were selected in 2015 from a pool of 44 applicants from 13 states. Two years of work, travel, research, networking, planning and passion, including a KIPP Fisher Fellowship, went into the design and launch of their school. Future Public School is a hands-on STEM charter school for students in an area with a large population of low-income, diverse students and families, which aligns with its mission and vision to provide more equitable educational opportunities for all students. At full enrollment in 2022 the school will serve 576 students in grades K-8. Future values depth over speed and students dive into science through cross-curricula projects. Beginning in the early grades, students develop familiarity with scientific inquiry and critical thinking strategies as they put these skills into practice via STEM. The school innovates throughout. It saved substantial expense by negotiating an agreement with the local Boys and Girls Club to share their gym and cafeteria spaces, which are vacant during the school day. The school and Club signed a 30-year joint use agreement, which provides the school with exclusive access to the Boys and Girls Club during the school day, and the Boys and Girls Club with exclusive use of the school's learning spaces after school and during the summer. ",
83,Gem Prep Nampa,Nampa,Idaho,Gem Innovation Schools,Charter School Growth Fund,Gem is exploring an academic model that can act as a proof point for re-imaging education in rural communities with limited access to high-quality teachers. Gem is uniquely positioned to build on the infrastructure and learnings from operating a high-performing virtual charter (I-DEA) to create a new approach for serving students in talent-light environments and lower per pupil funding.,
84,Gibson Ek High School,Issaquah,Washington,District,Big Picture Learning,"Gibson Ek is a truly student-driven learning space. Gibson Ek has received a credit waiver from the state of Washington, so students can engage in rigorous projects and learning journeys of their own design, without the limitations or dictates of credit accrual or seat time. Learning happens on and off-site, students are able to lead seminars on Mondays, Wednesdays and Fridays; and attend internships off-site on Tuesdays and Thursdays. One very important aspect of practice that sets Gibson Ek apart is their approach to innovation and community connections. Local businesses and organizations work closely with the school to share their goals and challenges, and students engage in a facilitated design process to prototype and present innovative solutions. This real world opportunity for authentic learning is a cornerstone of Gibson Ek's approach.",
85,Girls Athletic Leadership Middle School,Denver,Colorado,Girls Athletic Leadership Schools of Denver,Anonymous,"Incredible fidelity to model, gender-specific education at its best, racial and economic diversity as a REAL strength.  Student agency on steroids.  ",
88,Grimmway Academy Shafter,Shafter,California,Grimmway Schools,Anonymous,"GAS is a true positive outlier, having achieved above-average growth in MAP Math and MAP Reading, and having some of the highest social-emotional and culture/climate survey data in our entire portfolio. 

Vision: To transform the educational landscape for students in rural areas by providing a model of excellence and innovation leading to college readiness and lifelong success.  

Grimmway Academy Shafter's instructional model integrates the following components: Blended Learning Model to tailor instruction to each individual student's needs, Individualized Learning Plans that are driven by student data and inform each student's instructional path, Integration of Instructional Technology in an intentional way to support instruction to meet students' needs, including through leveraging technology together in small groups, Daily Learning Lab to supplement reading and math in ways that are responsive to individual students' needs through online work or small groups, Edible Schoolyard Program where students participate in hands-on experience in garden and kitchen classrooms and focus on health and wellness and SEL, Student Agency in that students are part of their own goal setting and teacher/parent review sessions, as well as having choice in the remediation and/or extension activities they receive to support their learning.",http://www.grimmwayacademy.com
89,Gwendolyn Brooks College Preparatory Academy,Chicago,Illinois,Chicago Public Schools District 299,Illinois State Board of Education,"Teachers and leaders at Gwendolyn Brooks College Preparatory Academy in Chicago reported that students struggled to understand their grades and felt uncertain about how to improve. In 2016, the school shifted to competency-based education to provide more clarity and foster more student ownership over learning. Brooks is one of 11 schools in Chicago Public Schools participating in Illinois' competency-based education pilot program. In competency-based learning, educators assess and advance students based on demonstrated mastery of specific skills, abilities, and knowledge.       

Brooks Principal Shannae Jackson and her staff created rubrics detailing the learning standards and what mastery of each standard looks like. The rubrics express clear expectations for each performance or project, which helps students self-assess their path forward for improving and/or progressing to the next unit. Students can work at their own pace without feeling left behind or waiting for the rest of the class. Students receive scores on a scale of 0 to 4. A 4 reflects exceeding mastery of the standard, a three reflects mastery, a 2 reflects a minor conceptual error, a 1 reflects a major conceptual error, and a 0 reflects no attempt at the standard or an attempt unrelated to the content. Students receive letter grades based on the percentage of standards met.      

""Students are starting to talk about needing to demonstrate mastery,"" said Principal Jackson. ""They'll say, 'This is exactly what I need to do. This is exactly the learning target or standard I have not demonstrated mastery in so I need to do more practice work or go into tutoring.' They can articulate those things clearly. You can hear the language change in the hallways. They're like, 'I'm going in for the retake for the formative. Have you reached mastery yet?' That's because that is the discourse happening around the building."" ",
90,Hamilton County Collegiate High at Chattanooga State,Chattanooga,Tennessee,Hamilton County Schools,Anonymous,"Hamilton County Collegiate High School is a partnership between Chattanooga State Community College and Hamilton County Schools. Students attend classes on Chattanooga State's campus and earn college credit, which for some students may be sufficient to earn both a high school diploma and an Associate's degree upon graduation. Students often choose to attend Collegiate to get a different experience from the traditional public high school setting, and appreciated the freedom of attending classes on a college campus as well as the opportunity to interact with a variety of students. Through Chattanooga State's partnership with Volkswagen, students have access to engineering and mechatronics courses at the Volkswagen Akadmie. The school works to accept students from a range of abilities via its admissions process.",
91,Mott Haven Academy,New York,New York,Mott Haven Academy Charter School,TNTP,"Haven Academy has implemented a personalized learning model that features a rigorous curriculum and integrates social-emotional learning throughout its programming in order to disrupt the cycle of trauma many of its students have experienced. The school is located in the South Bronx and by design mostly enrolls foster-involved youth. Students in grade levels that have begun the conversion to a personalized learning model engage in a flexible learning experiences, with voice and choice over what tasks they engage in. Technology is thoughtfully integrated into the school's model to provide students with learning experiences that would not be possible with traditional materials and/or to streamline work for teachers. Also core to the model at Haven Academy is their focus on knowledge-based literacy instruction, cumulatively building knowledge and vocabulary. The integration of social emotional learning throughout Haven Academy's model results in trauma-informed instruction that enables students, the majority of whom are in some stage of foster care and/or live in the most impoverished congressional district in America, to earn academic outcomes that exceed their neighborhood peers and match or (in many cases) exceed the city and state's state overall averages. In addition to providing students who our school systems have historically struggled to educate successfully with the academic skills they need, Haven Academy is also teaching the soft skills students will need to successfully navigate the rest of their education and succeed in the job market of the 21st century.",http://www.havenacademy.org
93,Highfalls Elementary School,Bennett,North Carolina,Moore County,digiLEARN,"This elementary school is all about design thinking, digital learning, and the 4 C's which is really transforming classroom instruction. Very student centered where students take charge of their own learning.  Another unique feature is how they have fully embedded STEM throughout the school even in their art classes. ",http://www.ncmcs.org/hfes
94,Highline Big Picture,Highline,Washington,none provided,Big Picture Learning,"Highline is a Junior-Senior High School with a true interest-driven educational design. Since Highline has received a credit waiver from the state of Washington, students engage in rigorous projects and learning journeys of their own design, without the limitations or dictates of credit accrual or seat time. Learning happens on and off-site, students are able to lead seminars on Mondays, Wednesdays and Fridays; and attend internships off-site on Tuesdays and Thursdays. Highline's entire design of learning and integrates non-cognitive competencies for social-emotional learning, and restorative justice for community-building and conflict resolution. ",
95,Holmes Central High School,Lexington,Mississippi,Holmes County Consolidated School District,Global Teaching Project,"The Advanced Placement (AP) Access Pilot Program is an innovative and first-of-its-kind blended learning program that provides promising high school students access to the advanced coursework they need to achieve their full potential, but which rural, underserved schools such as Holmes Central otherwise could not offer due to limited resources and a chronic, and worsening, shortage of qualified teachers.  With the support of the Global Teaching Project, the Pilot Program provides comprehensive, wraparound services to students and teachers, including access to world-renowned subject matter experts, such as Yale University Physics Professor Meg Urry, as well as college-student tutors from leading institutions including MIT, Stanford, Yale, and Virginia, enabling Holmes Central to leverage its existing resources to provide advanced courses to bright, but underserved students.  In addition to these unique human resources, the blended model also provides students the opportunity to participate in intensive, residential preparatory programs throughout the year at local MS-based universities including the University of Mississippi and Mississippi State University. The Global Teaching Project is excited to nominate Holmes Central HS because of the tremendous efforts it is undertaking to provide historically underserved students access to AP courses. Notwithstanding Holmes Central's significant challenges, it serves as the lone high school for Holmes County, the poorest of Mississippi's 82 counties. The blended learning model has made remarkable initial progress: classroom teachers are engaged and gaining both substantive and pedagogical experience; students are tackling rigorous subject matter (AP Physics 1 is the program's inaugural course) with initial performance data showing promising results; and, perhaps most importantly, students are beginning to reimagine themselves as part of a high-achieving, academically ambitious cohort. As the model expands and continues to improve, the program will help to develop and prepare a pipeline of talented, high-achieving students from Mississippi's most rural and impoverished districts for post-secondary success.",
97,Horizons Alternative Education School,Mohawk,Michigan,"Public Schools of Calumet, Laurium & Keweenaw","EdTech Specialists, LLC",Horizons uses a trauma informed approach with its students as it also personalizes learning experience for each student.,http://www.clkschools.org
98,Howard Middle School for Math and Science,Washington,District of Columbia,N/A,228 Accelerator,"On the campus of Howard University in Washington, DC, Howard University Middle School for Math and Science has a 2:1 laptop program which powers both blended learning and competency based learning experiences. They are also experimenting with the role of identity when creating personalized learning plans and flexible schedules for students, especially in mathematics.",http://www.hu-ms2.org
100,IDEATE High School,San Diego,California,Urban Discovery Schools,CSSR (Center for Secondary School Redesign),"IDEATE High is modeled under the belief that Design Thinking and Pedagogies of Hope are interconnected topics that can allow schools to move beyond project based learning to fully constructivist learning environments. His keynote address will focus on articulating and aligning personal philosophies as well as institutional. Part of the framework to fully operationalize Design Thinking in the schools is a commitment to supporting environments of hope for adults and students. For students to fully engage in a constructivist learning environment they must identify with a sense of purpose and agency in order to be motivated and empowered to participate. Towards this end, IDEATE has developed a framework that deploys tenets of Hope Theory research to support students. Hope Theory harnesses the interaction of goal setting, agency development, and pathway knowledge to motivate and empower students. Primarily developed during Student Advisory (5 days/week at the high school, 1/week at the middle school), students are supported in imagining a life beyond school. Advisory leaders assist students in setting positive (near-, mid- and long-term) goals; understanding the work that needs to be accomplished to realize those goals; and realizing their own agency and empowerment to act on their goals. ",
101,Impact Public School,Tukwila,Washington,Impact Public Schools,Charter School Growth Fund,"Impact Public School is pulling together the best aspects of existing next-gen models and adapting them for elementary students.  If successful, Impact will have demonstrated how the combination of SEL, an adapted version of the Summit Flex model, and thoughtful project-based learning can close the achievement gap. The Impact model incorporates an interesting blend of standards-aligned instruction, deeper learning, and whole-child development. ",
102,Innovations High School,Reno,Nevada,none provided,Big Picture Learning,"Innovations is an alternative school in Washoe County, that came under new leadership with a new design four years ago. At that time, the school posted an 8% graduation rate. Currently, it's over 70%. This increase is no doubt due to major shifts in the school's values and practices, as they've leaned into student relationships and interests as the beginning point for their work. Students engage in their own individual project focus-- one student built a climbing wall in the school hallway! Under the leadership of Taylor Harper, the school schedule and plans for learning put relationships first. The day begins with a community meeting, is rich with opportunity for one-on-one meetings between students and staff, and young people have opportunities to meet with mentors in worksites in the community weekly through the school's internship program.  The school has established a fully functional on-site recording studio to support learning in music and music production, has a robust orientation process to build culture, and has an activism and restorative practices focus to help students develop skills to make things right both in and out of school.",
103,Iroquois High School,Louisville,Kentucky,Jefferson County Public Schools (JCPS),EdSurge,"The school is piloting a new program for English language learners in danger of aging-out of traditional high school, called Accelerate to Graduate (A2G). It's designed in response to young adult immigrants enrolling in our district with hopes, but little expectation of earning a high school diploma, the minimal entry point for most jobs and higher education in the United States: (https://www.edsurge.com/news/2018-05-07-inside-the-project-based-program-that-s-turning-refugees-into-high-school-grads).",
104,John Barry Elementary School,Meriden,Connecticut,Meriden Public Schools,CT Center for School Change,"This is a true turnaround story. It was a school about to be taken over, and now has seen dramatic results in the state accountability index (39.8% increase in a few short years). It has also been identified by the state as a school of distinction for 2018 SBAC results. John Barry and the Meriden Public Schools were awarded the highly competitive American Federation of Teachers (AFT) Innovation Grant  which helps facilitate Barry's transition to an Extended Learning Time School. Extended Learning Time School students receive 100 more minutes of instruction and enrichment a day, which equals 40 more school days a year. Positive changes in school culture, which have created a welcoming and caring school climate, have had a positive impact on student attendance; chronic absenteeism has decreased by 22%. Through the use of Google Classroom in every John Barry grade level, teachers are able to personalize learning to meet the needs of all students by differentiating the assigned work. All classrooms are 1:1 digital learning environments that utilize blended learning strategies. Reading instruction is personalized daily through adaptive reading programs (Freckle, Imagine Learning) which adjust to the students ""just right"" reading level. K-5 students are engaged in rigorous math activities that are designed for flexible groups and encourage student discourse with a focus on mathematical processes, vocabulary, and the use of multiple strategies. Math instruction is personalized through the use of adaptive math programs (Freckle, ST Math and MyMath) that allow students to work at their own pace based upon their performance     ",http://www.meriden.k12.ct.us/barry/Barry_WEB/index.htm
105,Juab High School,Nephi,Utah,Juab School District,Utah State Board of Education,"Juab School District is committed to providing flexible, personalized, and blended learning pathways to success for all students characterized by individual student mastery of standards. We have been working in this space for several years, and this year rolled out a standards-based report card for all students, K-12. We also use micro-credentialing as part of our professional learning for educators, offering a system that mirrors what we want our students to experience. We have made several systemic structural changes that support CBE in our district, from improving the master schedule in secondary schools to offering additional professional learning time for our teachers. We have partnered with many outside experts and have served nationally as a expert model of how a traditional school can evolve towards the personalize learning environment. Some of our partners are: EdElements, Digital Promise, Lexington Institute, Bloomboard, iNACOL, League of Innovative Schools, Mastery Connect, and Digital Promise.",http://www.juab.k12.ut.us/index.php?option=com_content&view=category&layout=blo
106,Kent Innovation High School,Grand Rapids,Michigan,Kent ISD,Evergreen Education Group,Project-based learning with a collaborative environment,http://www.kentinnovationhigh.org
106,Kent Innovation High School,Grand Rapids,Michigan,Kent ISD,Anonymous,,http://www.kentinnovationhigh.org
108,Kettle Moraine Explore,Wales,Wisconsin,Kettle Moraine School District,Anonymous,It is fully competency based-K-5 programming. It's a model where the reality of learner centered education is fully developed and the culture supports it.,http://www.kmsd.edu/kmexplore
108,Kettle Moraine Explore,Wales,Wisconsin,Kettle Moraine School District,Anonymous,"KM Explore was created by a group of teacher leaders who were committed in creating learner-centered environments at the elementary level. This model has been in existence for over 5 years and is recognized as a national K-5 learner-centered model. The foundation to their model includes the following five pillars: ""foundation"" with the following pillars: Optimal Learning Spaces Generative Curriculum Multi-Age Learning Habits of Mind Collaborative Teaching and Learning Here is what they said when we interviewed them in the first year of this model: ""Our goal at KM Explore is to help a learner be an architect of how their learning will look. Just as each building in a community looks different, each plan the learner builds will look different as well. If we start this ""blueprint"" right away in kindergarten, their is no telling what their ""building"" of learning will look like into high school and beyond!"" I am nominating KM Explore as a personalized learning model for many reasons. Here are just a few: KM Explore involves learners in the design of a different kind of school. By being multi-age in structure, community-based in function, and integrated in its curriculum design, KM Explore learners provide evidence of learning in a manner that is meaningful to them. A fluid and adaptable schedule removes traditional boundaries of learning. Integrated curriculum design, the creative process, and high level questioning is woven throughout the learning experience. The fundamentals of reading, writing, and math are foundational to this generative curriculum as they are embedded and integrated into the day-to-day work.",
110,KIPP Liberation,Houston,Texas,KIPP Texas Houston,Anonymous,,
111,Latitude 37.8 High School,Oakland,California,Education for Change,Anonymous,"Latitude 37.8 is devoted to the spirit, community, and history of Oakland, California. Located in the city's Fruitvale neighborhood, Latitude uses an academically rigorous, hands-on approach to education that sets high standards for students and equips them with practical skills to succeed in college and career. In addition to traditional classes, students spend much of their school time in the community: volunteering for local nonprofits, interning at local businesses, meeting with mentors, interviewing local experts and professionals for class projects, and learning about the vibrant, complex city around them. Students gain exposure to the wide range of career options in the Bay Area and beyond, while developing deep connections to the community in which they live.",
111,Latitude 37.8 High School,Oakland,California,Education for Change,Rogers Family Foundation,Latitude is a brand new high school that blends the best of High Tech High's project-based and deeper learning model with Big Picture Learning's emphasis on work-based learning.,
112,Launch Network at Stedman Elementary,Denver,Colorado,Denver Public Schools,ReSchool,"Micro school within a high-poverty public elementary school; vision to be a cluster/network of public micro schools over time; significant focus on culture, identity, and leveraging assets in the community.",http://stedman.dpsk12.org
112,Launch Network at Stedman Elementary,Denver,Colorado,Denver Public Schools,Anonymous,School within a school model gives students who perform low academically extra supports. Family is INTEGRAL to the model. Microschool approach with a public setting.,http://stedman.dpsk12.org
116,Lindsay Unified High School,Lindsay,California,Lindsay Unified,Transcend,"Lindsay is pushing hard toward a competency-based model with learners directing their own pathway through competencies in a very real way. They are introducing new strategies every year, such as new scheduling options that are extremely flexible or new technology supports. ",http://www.lindsay.k12.ca.us/lindsay%20high/
117,Lodestar,Oakland,California,Lighthouse Community Public Schools,Rogers Family Foundation,"Lodestar is a relatively new school, growing ultimately to a single K-12 school. They leverage maker-centered learning, project-based learning, mixed-aged grouping, and Expeditionary Learning.",http://www.lighthousecharter.org
118,Logan Innovations,Logan,Utah,Logan City School District,Utah State Board of Education,"Logan Innovations gives students the advantage of personalized learning while still giving students the academic, elective, and extracurricular choices of a large comprehensive high school. Logan Innovations provides a personalized learning plan and environment for every student. Each student has the opportunity to dynamically customize their schedule. A student may complete a course as quickly as they demonstrate competency, with the option to begin taking a new course immediately thereafter. Students are able to fulfill high school graduation requirements at a faster pace. This approach allows students the capacity to focus deeply on fewer subjects at a time if they choose, thus increasing their motivation, sense of accomplishment, and empowered self-paced learning. Logan Innovations offers all the core subjects in a competency-based format: Mathematics, Science, Language Arts, Social Studies, and some electives. Students also have access to all courses, clubs, and activities offered at Logan High School, including special education classes and specialized courses such as Bridgerland, AP,  and Concurrent classes.",http://www.loganhigh.org
