nominator,school_id,school_name,school_city_n,school_state_n,school_district_n,nominator_reason_n
NewSchools Venture Fund,63,East College Prep,Los Angeles,California,"Ednovate, Inc.","Ednovate is a network of public, tuition-free, high-performing college prep high schools in Los Angeles and Orange County. We serve first-generation college-bound students from traditionally underserved communities. Most Ednovate students come from communities that have been underserved for decades by the public education system. About 98% of Ednovate’s enrollment is students of color, and 82% come from low-income households. Our students have a 99% college acceptance rate, but what matters even more is that we’re graduating self-aware, engaged young adults who are headed toward a life of purpose and impact. We prepare high school students from Southern California’s most under-resourced communities for success in school and life, empowering them to use their college degrees and careers to make a positive multigenerational change. "
NewSchools Venture Fund,765,Ednovate Virtual Academy,Los Angeles,California,,"Ednovate Virtual Academy focuses on using personalized learning to fuel student growth, assisted by a on college-going culture and technology."
Big Picture Learning,264,El Centro de Estudiantes,Philadelphia,Pennsylvania,The School District of Philadelphia,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
NewSchools Venture Fund,742,Elevate Academy Nampa,Nampa,Idaho,Elevate Academy,Integrated curriculum mastery based personal learning with Career Technical Education as the focus.
Moonshot EdVentures,67,Empower Community High School,Aurora,Colorado,N/A,Student agency and voice and the ability for students to have the driving power and decision making ability in all aspects of the school. The vision of transformative resistance and ability for students to take a large diversity of electives and courses.
NewSchools Venture Fund,67,Empower Community High School,Aurora,Colorado,N/A (single site charter),"Students develop a strong sense of agency over their academic learning and progress when they design and personalize their own educational experiences.  They claim greatest ownership over their work when it fulfills a genuine need in the community. We believe schools should provide multiple opportunities for students to identify local and global community needs and address those needs with a fresh and reasoned application of academic and technical skills. Competencies in the required applications will be informed by the Colorado Academic Standards, Common Core and Next Generation Science Standards and guided by educators who possess a critical and liberatory pedagogy. "
NewSchools Venture Fund,707,Empower Community School,Bessemer,Alabama,N/A (single site charter),"Empower's model focuses on personalized learning, comprehensive social and emotional support, and targeted intervention and acceleration."
NewSchools Venture Fund,708,Endazhi-Nitaawiging Charter School,Red Lake,Minnesota,,"At Endazhi-Nitaawiging, our highest goal is student success. We envision students who are
healthy and well, and whose success in western academic subjects is bolstered by a deep
understanding of Ojibwe cultural values and a relationship with the land through land-based and experiential learning. This way they grow to hold a holistic understanding of the environment and the responsibilities of citizenship."
Mastery Transcript Consortium,539,Enosburg Falls Junior/Senior High School,Enosburg Falls,Vermont,Enosburg-Richford District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Anonymous,268,Environmental Charter School,Pittsburgh,Pennsylvania,Pittsburgh Public Schools,"Environmental Charter School strives to incorporate the United Nations Sustainable Development Goals (UNSDG) in its work, teachings, and activities. With the adoption of the UNSDGs, ECS has laid a modern foundation to continue educating families about sustainability and how to effectively practice it."
Barr Foundation,778,EVOLVE Academy,Fall River,Massachusetts,Fall River Public Schools,"Project-based learning with transformative learning experiences
Primary person model
Post secondary success planning with students"
Big Picture Learning,71,Fannie Lou Hamer Freedom High School,Bronx,New York,New York City Geographic District #10 - Bronx,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
The Center for Learner Equity,674,Fenway High School,Boston,Massachusetts,Boston Public Schools,"Fenway High School was founded to focus on social justice and views meaningful inclusion as a natural extension of the school’s pursuit of social justice. At Fenway, all teachers are working to become dual-certified in special education. The school uses a cohort model, through which teachers loop to continue working with the same students over time to build deeper relationships. "
NewSchools Venture Fund,81,Future Public School,Boise,Idaho,Future Public School,Building engineers of the future (problem solvers and collaborators) through joyful and rigorous academic engagement.
NewSchools Venture Fund,83,Gem Prep Nampa,Nampa,Idaho,Gem Innovation Schools,"The world is changing rapidly and effective education keeps pace with the challenges and advancements students will meet in the real world. Our passion is to provide students a transformational education giving them the knowledge, characteristics, competencies and mindsets for success in college and the next generation workplace."
Anonymous,622,Georgia Fugees Academy Charter School,Clarkston,Georgia,Fugees Family (aka Fugees Academy),"Georgia Fugees Academy Charter School (GFACS) is a tuition free, community-based, public charter school designed to meet the needs of refugee and new American students through English language acquisition and foundational skill study, culturally relevant curriculum and wraparound supports, arts programming, and soccer participation. Every student works as a team member on and off the field to bridge significant gaps in formal schooling to graduate on time."
Big Picture Learning,84,Gibson Ek High School,Issaquah,Washington,Issaquah School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Mastery Transcript Consortium,84,Gibson Ek High School,Issaquah,Washington,Issaquah School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
4.0 Schools,663,Global Citizens Public Charter School,Washington,District of Columbia,Unsure,"DC's first dual immersion public charter, Global Citizens offer Spanish and Mandarin. Located in Ward 7, GCPCS pairs language immersion with a focus on social justice and whole child wellness, to equip children to become empathetic, globally competent, and socially-minded leaders."
NewSchools Venture Fund,663,Global Citizens Public Charter School,Washington,District of Columbia,N/A (single site charter),"Global Citizens Public Charter School is the first dual language immersion elementary school in Washington, DC, to offer language immersion in both Mandarin and Spanish pathways - exposing students to the top three languages spoken in the world."
Anonymous,637,Goshen Post Elementary,Aldie,Virginia,Loudoun County,"Mr. Klippel has done an incredible job of building the capacity of his teacher leaders and has a unique gift in identifying talent and leveraging that in service of high quality student outcomes. Their laser focus on equity and culturally responsive practices is admirable, as they are always willing to take a critical look at their successes and themselves to uncover potential gaps in achievement based on student subgroup populations. They are a PBL school through in through, with teachers aspiring to be ""on project"" often, but even when not, alway running PBL classrooms, centering student voices in all they do. "
NewSchools Venture Fund,709,Gotham Tech,New York,New York,New York City Department of Education,"The pillars that differentiate Gotham Tech are (1) all students participate in robotics, which is the first for a school in NYC, and (2) all students engage in a capstone project.  Gotham Tech is an open, welcoming and culturally affirming community using robotics and challenge-based learning to empower students with the mindsets and skillsets to solve problems that matter.  Our graduates will engage in joyful and meaningful learning, think deeply and critically, and grow emotionally and
socially."
Mastery Transcript Consortium,538,Grayson School,Radnor,Pennsylvania,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Anonymous,762,Great Hearts Online,San Antonio,Texas,Great Hearts Nova,"Great Hearts Online has taken their classical liberal-arts design and turned into into a flexible, online program for public school students in Texas and Arizona. They emphasize the importance of discussion, most notably in their application of the traditional socratic seminar to a virtual environment."
228 Accelerator,661,Great Minds Virtual,Online,Massachusetts,,I am really interested in how we can reimagine different uses of space and curricular design to create a more culturally responsive and relevant learning experience. I think that part of the answer lives in schools that are challenging some of the design assumptions of the modern school experience.
Big Picture Learning,278,Greater Egleston High School,Roxbury,Massachusetts,Boston Public Schools,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Transcend,791,Greater Lawrence Technical School,Andover,Massachusetts,,"CTE school in partnerships with MIT. Learners spend 50% of their time in career path specific learning. Students entering their freshman year explore each career and technical program and then ""declare a major"" which they study the rest of high school. There are about 20 areas to choose from and learners can earn credit / certifications. "
NewSchools Venture Fund,88,Grow Academy Shafter,Shafter,California,Grow Public Schools (fka Grimmway Academies),"A charter management organization dedicated to improving education in rural communities, encouraging healthy and sustainable lifestyles, and inspiring students, parents, teachers, and communities to expect more from their schools and educational leadership."
NewSchools Venture Fund,710,Growth Public Schools,Sacramento,California,N/A (single site charter),"GPS prepares all students to learn, think, and solve problems—as well as practice empathy, embrace differences, resolve conflicts, and act with integrity. Our students develop a deep understanding of themselves, others, and the world around them."
MiCoOp,650,Hamilton High School,Hamilton,Michigan,Hamilton Community Schools,"Hamilton High School has a work-based learning graduation requirement. Throughout their high school years, students must complete career activities every year. Students can choose activities they do on their own like a college visit or career fair and/or participate in school-related activities such as the school store class. The activities are categorized into Awareness, Exploration, Preparation, and Training. Students can be excused from school to attend an event or do an activity if they complete the appropriate forms ahead of time. To graduate, students must complete three tasks in the Preparation and Training categories, with at least one from Training. With the large variety of options to choose from, students can plan their own career paths."
Vermont Agency of Education,780,Hartford Area Career and Technology Center,White River Junction,Vermont,"Hartford School District, White River Junction, Vermont","Hartford Area Career and Technology Center (HACTC) provides career technical education to high school students, with a focus on preparing students for college and for high-skill, high-wage, in demand careers. HACTC also has a strong Justice, Equity, Diversity and Inclusion (JEDI) student leadership group that has partnered with school leaders to improve equity and inclusion at HACTC. While all of their programs are worthy of recognition, this nomination puts a spotlight on HACTC’s new Information Technology Program (a full article about this program can be found on pages 8 – 11 of this publication: https://issuu.com/kboyarsky/docs/westlebanonvalleynews_20221110_svalleyparents?fr=sNmMwYjMzNzU4Mg
 

 HACTC’s Information Technology Program provides students with hands-on, project-based, experiential learning, post-secondary credentials, and dual enrollment college credits. While still in high school, students in this program have the opportunity to:
 

 • Earn CompTIA A+ certification, a post-secondary certification that is the industry standard for a career in information technology.
 • Participate in the Amazon Web Services Academy and become AWS certified cloud practitioners.
 • Earn CISCO CCT Routing and Switching certification. 
 • Earn dual enrollment college credits through River Valley Technical College. Courses include Computer Architecture and Operating Systems and Introduction to Networks."
NewSchools Venture Fund,711,Hayward Collegiate Charter School,Hayward,California,N/A (single site charter),"At Hayward Collegiate, our mission is simple. We exist to prepare Hayward scholars to have agency over their lives. The way that we accomplish this vision is by living out our values everyday. "
Anonymous,281,Health Leadership High School,"Albuquerque, NM",New Mexico,Albuquerque Public Schools,"Uniquely designed on three pillars (learning by doing, community/industry engagement, and 360-degree student support"
San Diego Metropolitan Career and Technical High School,281,Health Leadership High School,Albuquerque,New Mexico,Albuquerque Public Schools,"Health Leadership High School prioritizes community-based learning, which empowers every student to engage in projects in connection with community partners to address needs and opportunities within their own communities. This creates an environment where students develop their sense of agency by doing authentic work that has positive real-world outcomes."
Anonymous,668,Heartwood Agile Learning Center,Clarkston,Georgia,,"Heartwood Agile Learning Center is a K-12 independent school that facilitates Self-Directed Education. We use adaptable tools and practices borrowed from the Agile Management/Software world and consent-based decision-making to help students individualize their learning within the context of a collaborative and intentional community.
 

 Heartwood ALC is committed to amplifying the sense of agency and the social conscience of our young people. We encourage them to explore their passions and curiosities to help them simultaneously discover and create their path in life. At Heartwood, relationship is one of our biggest values because we take a whole community approach to helping our students self-actualize. Facilitators, parents, and students all work together to feed and maintain a healthy school culture.
 

 We also have a special focus on equity and social justice to ensure that self-directed education is accessible and empowering for all people, especially populations that have been historically disenfranchised."
NewSchools Venture Fund,712,High School of Commerce,Springfield,Massachusetts,Springfield Public Schools,"The Mission of the High School of Commerce is to cultivate an inclusive environment free from racism which empowers student-voice, values academic success, and encourages the development of mutually respectful and caring relationships among all members of our learning community.  Teachers, scholars, families, and community stakeholders will work collaboratively to engage in practices that develop a passion for lifelong learning and self advocacy."
Big Picture Learning,94,Highline Big Picture,Burien,Washington,Highline Public Schools,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
4.0 Schools,666,I Dream Public Charter School,Washington,District of Columbia,Unsure,"I Dream goes beyond their bold vision and mission, which were co-designed with their community. Student-led learning is at the heart of the school, which offers a customized, culturally-responsive curriculum that inclused SEL. Learners are encouraged to dream, collaborate, and produce meaningful work."
NewSchools Venture Fund,666,I Dream Public Charter School,Washington,District of Columbia,N/A (single site charter),"I Dream Public Charter School co-designs purposeful, self-directed learning with children and families, so they have voice and choice on the path to discovering and pursuing their dreams."
NewSchools Venture Fund,402,i3 Academy,Birmingham,Alabama,i3 Academy,"As a result of their time at GPS, they will continue to grow academically, socially, and emotionally, and have a positive impact on their communities."
Transcend,768,Icon Preparatory School Jacksonville,Jacksonville,Florida,,"Icon prep takes a mastery-based approach to learning with a focus on inquiry. The learning experience at Icon Prep is structured around: Independence levels; student agency and goal setting; extended year, extended day; mixed-age and peer learning; as well as community learning (mentorship from community members; learn from the community through guest speakers, field studies, and community service; exhibitions). The school cultivates a strong college-going culture within young children (a best practice for HBCU like schools)"
Kentucky Department of Education,647,Ignite Institute,Erlanger,Kentucky,Boone County Public Schools,"The Ignite Institute is a model for community partnerships and flexible scheduling to allow scholars the flexibility to explore career pathways and core curriculum content. Before high school graduation, each scholar will have the opportunity to spend 400+ hours with regional companies learning on-the-job skills. These experiences will allow our students to begin networking with local businesses. This relationship is a crucial element in creating a workforce pipeline for the region. The school is structured by colleges: Biomedical and Allied Health, Computer Science, Design, Education, Engineering, and Logistics. Learning is centered around personalized, project-based experiences that provide scholars with authentic, relevant learning opportunities."
NewSchools Venture Fund,713,Ignite Middle School,Dallas,Texas,Dallas Independent School District,"Every IGNITE Middle School scholar crafts a professional vision that provides the motivation and context for all of their learning. They know who they are, where they are going, and how they will get there. All students receive the customized support needed to achieve academically, explore their career interests, design their career paths, and IGNITE their unlimited potential to make the world a better place."
NewSchools Venture Fund,739,Impact | Commencement Bay Elementary,Tacoma,Washington,Impact Public Schools,"The instructional model has been designed to ensure that every student has the opportunity to meet career- and college-ready standards. The model is based on three essential design elements that have been selected to nurture 21st century skills and habits within a culturally-responsive learning environment: 1. School-based mentor groups, 2. Personalized learning pathways for every student and 3. Project-based learning (PBL)."
NewSchools Venture Fund,101,Impact | Puget Sound Elementary,Seattle,Washington,Impact Public Schools,"The instructional model has been designed to ensure that every student has the opportunity to meet career- and college-ready standards. The model is based on three essential design elements that have been selected to nurture 21st century skills and habits within a culturally-responsive learning environment: 1. School-based mentor groups, 2. Personalized learning pathways for every student and 3. Project-based learning (PBL)."
Center on Reinventing Public Education,740,Impact | Salish Sea Elementary,,,,
NewSchools Venture Fund,740,Impact | Salish Sea Elementary,Seattle,Washington,Impact Public Schools,"The instructional model has been designed to ensure that every student has the opportunity to meet career- and college-ready standards. The model is based on three essential design elements that have been selected to nurture 21st century skills and habits within a culturally-responsive learning environment: 1. School-based mentor groups, 2. Personalized learning pathways for every student and 3. Project-based learning (PBL)."
Mastery Transcript Consortium,685,Innovation Lab High School,Bothell,Washington,Northshore School District,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
NewSchools Venture Fund,292,Intrinsic Charter School,Chicago,Illinois,Intrinsic Schools,"Intrinsic is a network of public charter schools - open enrollment, no testing required - that combines technology with great teaching to provide every student a personalized path to college and career. In order to better prepare students for postsecondary success, Intrinsic takes a more comprehensive approach to understanding students’ growth and progress, which includes agency outcomes in addition to academic ones. Personalization and independence is achieved via a holistic, 1:1 application of technology, which empowers team-teaching in flexible, data-driven classrooms—called pods—where 60 students supported by three teachers may be moving from self-directed work to instruction to collaboration and project-based learning.
"
Big Picture Learning,294,John J. Cairns High School,Lindsay,California,Lindsay Unified School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Transcend,792,Kairos Academies,St. Louis,Missouri,Kairos Academies,"Kairos has a commitment to educating St. Louis children for their future. Their teaching and learning philosophy includes highly personalized learning, teachers as coaches and guides, project-based learning, and civic learning. They support this philosophy by adapting flexible school schedules that are year-round, tech-enabled softwares to further individualize instruction, as well as sustainable adult roles and training to ensure their talent stays."
NewSchools Venture Fund,714,Kansas City Girls Prep Academy,Kansas City,Missouri,Kansas City Girls Preparatory School,"Our mission is to prepare young women to use their voices, to succeed in college, and to lead impactful meaningful lives. We do this by providing access to quality education for students in Kansas City’s historically underserved communities."
Transcend,771,Keres Children's Learning Center,Cochiti Pueblo,New Mexico,,The Keres Children’s Learning Center (KCLC) is a Keres-language revitalization school that uses an intergenerational approach to immersion and dual language with Montessori pedagogy to give children (ages 2½ –12) the best of both worlds—an opportunity for children to learn through their heritage language of Keres while simultaneously accessing an academic curriculum that challenges their intellect and values their whole being.
Disruptive Partners,655,Kilombo Academic and Cultural Institute,Decatur,Georgia,,The entire model is designed to nurture the natural born genius of Black children. This significantly Disrupts the traditional K12 narrative that leads with the deficit of Black children.
Center on Reinventing Public Education,109,KIPP Academy Lynn Collegiate,Lynn,Massachusetts,KIPP MA,"Operating under the KIPP charter network, this high school has made many changes over the past several years – including a shift from a ""no excuses"" school model to one that emphasizes relationship-building. KALC has pushed itself in recent years not to simply define success as pushing its students to obtain a four-year degree, but also building relationships with students so that each individual is equipped with the skills to choose their own pathway, opening doors to transferable skills and enabling students to make informed choices for their futures. Additionally, the school has intentionally pivoted to hire more leadership of color and incorporate more racial justice practices in both their professional learning and curriculum."
Anonymous,743,KIPP Beyond Middle School,New York,New York,KIPP Public Schools,"At KIPP Beyond Middle School, we believe that we are better together. In our increasingly diverse, but deeply divided city and country, we believe that there are no better people than our city’s children to lead the way, and no better place to bring together children of different backgrounds than in school. A rigorous body of research has demonstrated the significant benefits to all students educated in racially and socioeconomically integrated settings, including higher academic achievement and higher academic growth; more critical and flexible thinking by being exposed to different perspectives; greater likelihood to enroll in college, report higher earnings, and demonstrate better long-term health outcomes; and increased empathy and reduced racial bias. KIPP Beyond incorporates engaging, rigorous, and relevant academics; a robust enrichment program; consistent physical conditioning; a focus on identity, relationships, and belonging; and regular practice of meditation – all informed by the research base on adolescent development."
NewSchools Venture Fund,624,La Promesa,Houston,Texas,Aldine Independent School District,"La Promesa is a Newcomer and Dual Language experience where our most recent arrival students are able to build English proficiency without losing their native language. Through a Dual Language model, students engage in instruction in both English and Spanish that seeks to strengthen students’ identity and pride for their culture."
Big Picture Learning,297,LaFayette Big Picture at LaFayette Junior/Senior High School,LaFayette,New York,Lafayette Central School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
The Center for Learner Equity,789,Langston Hughes Charter Academy,New Orleans,Louisiana,Firstline Schools,"Langston Hughes Academy is part of Firstline schools charter network in New Orleans is a charter network. The network's philosophy emphasizes joy and anti-racism. The instructional model incorporates enrichment and out-of-school experiences as a key part of learning for all students. During parts of the pandemic, certain classes temporarily re-located to the closed children's museum to hold their classes there and do more experiential and outdoor learning."
NewSchools Venture Fund,715,Las Américas ASPIRA Academy,Newark,Delaware,Las Américas ASPIRA Academy,Our model is a biliteracy pathway with dual language immersion in grades K-5 and language continuation in grades 6-12.
Big Picture Learning,111,Latitude 37.8 High School,Oakland,California,Oakland Unified School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
NewSchools Venture Fund,111,Latitude 37.8 High School,Oakland,California,Education for Change Schools,"Latitude High School is focused on real world Project-Based Learning, with strong arts, multimedia, and technology integration. From the time they are 9th graders, students visit over ten different workplaces every year to ignite their career interests and to collaborate with professionals on Real World Projects. All students participate in Extended Learning Opportunities, including internships and student-designed businesses. Latitude graduates are confident  leaders, prepared for college and beyond."
NewSchools Venture Fund,744,LEAD Charter School,Newark,New Jersey,LEAD Charter Schools,"Lead Charter School's model is grounded in the unwavering belief in the power of young people to transform their lives and the community. Our model is developed and delivered by practitioners of research-based youth development practices and systems that ensure a tailored, personalized, strengths-based learning experience, grounded in the advocacy of Opportunity Youth. Our model contains five interconnected core components:
1. Education
2. Construction PLUS
3. Counseling and Counseling Management
4. Leadership Development
5. Graduate Success"
NewSchools Venture Fund,716,LEEP Dual Language Academy,Brooklyn,New York,N/A (single site charter),"Our students spend much of their school day immersed in the Spanish language—for up to 90% of the school day in kindergarten, then gradually balancing out to 50% of the day in fourth and fifth grade."
NewSchools Venture Fund,400,Legacy Prep,Birmingham,Alabama,Legacy Prep,"We envision an exceptional educational experience in our scholars’ lives that readies them to establish their legacy, prepared and inspired to create a life full of opportunity, choice, connection and meaning."
Big Picture Learning,300,Leominster Center for Excellence,Leominster,Massachusetts,Leominster Public Schools,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Mastery Transcript Consortium,502,Liberty Academy,Liberty,Missouri,Liberty Public Schools,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Anonymous,750,Liberty STEAM Charter School,Sumter,South Carolina,Liberty STEAM Charter School,"In partnership with our families and the community, our vision is to provide real-world interdisciplinary, personalized, and project-based learning experiences through a STEAM-based academic program where graduates become the next generation of leaders, ​employers, and employees who contribute to the economic well-being of their communities and families."
Center on Reinventing Public Education,683,Lighthouse Holyoke,Holyoke,Massachusetts,N/A,"Lighthouse offers personalized learning for grades 6-12. Classes are somewhat unvonventional compared to traditional school subjects in that teachers create personalized curriculum based on their expertise; classes are often not restricted to particular grade levels. In addition to small learning spaces, Lighthouse offers an open area for self-directed learning, a recording studio, and a maker space. Although Lighthouse largely operates on tuition-based enrollment, the school has a partnership with the nearby local public school, allowing students who may not otherwise have the opportunity to enroll in a small-group learning envirnment to do so."
Mastery Transcript Consortium,683,Lighthouse Holyoke,Holyoke,Massachusetts,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
Anonymous,303,Living School,New Orleans,Louisiana,,"Living School cultivates equity by nurturing students to do work that improves their lives, communities, and environment through holistic health, citizenship, & entrepreneurship."
Anonymous,656,Lucama Elementary,Lucama,North Carolina,"Wilson County Schools, North Carolina","Lucama Elementary and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. Under Principal April Shackleford, Lucama dramatically “exceeded growth” in 2021–22 under the state definition. The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, or MCL—an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. Under Shackleford, Lucama creatively used resources to take this role and other team teaching roles schoolwide in its second Opportunity Culture year to shift student learning and school culture, and to involve as many teachers, paraprofessionals, and retired teachers serving as paid tutors as possible in providing small-group instruction, to give students in this Title I school equitable access to tutoring during and after school."
NewSchools Venture Fund,625,Lumen High School,Spokane,Washington,N/A (single site charter),"Lumen is a unconditional educational model with layered wrap around supports, an on site early learning center and standards based learning that utilizes projects encompassing life skills and deeper learning rubrics to measure outcomes and provide skill building empowered learning for our students."
NewSchools Venture Fund,626,Magic City Acceptance Academy,Birmingham,Alabama,N/A (single site charter),We are a brave and affirming space for all students.  We especially recognize that we are a space for any student who feels marginalized in their current educational setting.
Barr Foundation,784,Manchester High School,Manchester,Connecticut,Manchester Public Schools,"Comprehensive high school transformation
Learning beyond the school walls
Red Hawk Flight Plan - capstone experiences aligned to portrait of a graduate
Post secondary planning
Academies and pathways
Early college / dual enrollment / career technical education"
Clayton Christensen Institute,122,Map Academy Charter School,Plymouth,Massachusetts,N/A,"MAP Academy has deliberately redesigned high school to support the needs and circumstances of students who have dropped out of conventional schooling. Their courses are online, asynchronous, and competency-based, which makes them flexible to the needs of their students. Nonetheless, their school is located on a physical campus that offers a robust set of academic and non-academic supports."
Big Picture Learning,305,Mapleton Early Career Preparation,Thorton,Colorado,Adams 12 Five Star Schools,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
Barr Foundation,783,Margarita Muñiz Academy,Boston,Massachusetts,Boston Public Schools,"Dual language school
City as a campus programming - internships, dual enrollment, community service and expeditions
Culturally responsive
Portrait of a graduate - competencies"
NewSchools Venture Fund,718,Marin's Community School,Marin,California,Marin County Office of Education,"We are excited to offer several alternative programs for students and families who are seeking a smaller setting with a higher staff-to-student ratio, personalized learning, and increased supports so that students we help prepare for college, career, and life. As we challenge the traditional identity of alternative education programs, we encourage referrals earlier for students who would benefit from the programs we have here."
Anonymous,751,Maritime High School,Des Moines,Washington,Highline Public Schools,"Maritime High School connects students with hands-on, project-based learning to create access to local maritime careers and open doors to college. Anchored in the Duwamish Valley, we deliver powerful youth development experiences and exceptional education to students who are furthest from educational justice, resources, and opportunities in the Highline Public Schools and surrounding districts."
Mastery Transcript Consortium,684,Mastery School of Hawken,Gates Mills,Ohio,N/A,This school has a fully implemented mastery-based learning system and uses the Mastery Transcript as the official summative record for some or all graduates.
NewSchools Venture Fund,719,McClure Health Science High School,Gwinett County,Georgia,Gwinnett County Public Schools,"McClure Health Science High School is a comprehensive, innovative health science high school that teaches the curriculum through the health science lens. We instill in all student the drive to be curious, the drive to create a promising future and a desire to have a positive impact on the world."
Big Picture Learning,309,Met Sacramento High School,Sacramento,California,Sacramento City Unified School District,"As a school in the Big Picture Learning network, this school supports the organizational mission of activating the potential of Schools, Systems, and Education through student-driven, real-world learning. Its design helps to scaffold and facilitate student learning aligned with the ""10 Expectations"" (https://www.youtube.com/watch?v=K96c-TGnSf4) and it is organized to implement the ""10 distinguishers"" (https://www.bigpicture.org/apps/pages/index.jsp?uREC_ID=389353&type=d&pREC_ID=902235) to deliver ""one kid at a time"" personalized learning situated in the communities it serves."
