"nominator","school_id","school_name_n","school_city_n","school_state_n","school_district_n","nominator_reason_n","year"
"Evergreen Education Group",201,"Taos Academy Charter School","Taos","New Mexico",NA,"Use of individual learning plans, community collaborations, arts and other labs, well-rounded approach for the students they are serving",2019
"228 Accelerator",203,"The Creative School","Washington","District of Columbia",NA,"The mission of The Creative School (formerly The Boys Institute) is develop young men characterized by hope, self-discipline, integrity and love; in the pursuit of justice and equity for their community, greater DC, and eventually the world. It is a school within a school that is centering entrepreneurship and creating a relevant maker space to enable the holistic development of black boys.",2019
"EdSurge",203,"The Creative School","Washington","District of Columbia",NA,"The Creative School (formerly The Boys Institute) at Stanton Elementary School, is an initiative designed to promote wellness and creativity, and to flip the narrative around young boys of color. In 2016, D.C. Public Schools awarded nearly $1.7 million dollars in innovation grants to 16 schools across the city as part of the Empowering Males of Color initiative, an effort to elevate the student experience for young men and boys of color. Stanton Elementary School received the sixth largest award to develop and launch The Boys Institute (TBI), an in-school and after-school program designed to guide young boys of color in building a strong sense of identity and self-pride, to grow a village of supportive adults in their lives and to provide opportunities and spaces for creative expression. (See more here: https://www.edsurge.com/news/2018-08-24-elementary-school-wellness-program-helps-young-males-of-color-cultivate-their-identities)",2019
"Education Reimagined",204,"The Metropolitan Regional Career and Technical Center","Providence","Rhode Island","Rhode Island State Public School","The Met is one the country's longest-running learner-centered (by our definition) schools. Over 25 years it has developed a program that serves a full range of learners, creates an amazing level of learner engagement, a sense of belonging and community. The program's pedagogy and approach to assessment make it a place where all learners can thrive and demonstrate their learning and while The MET plays the public school system game around standardized tests, it has not allowed performance on these external metrics to damage it programmatic commitment to serving all learners in the ways they need. The 6 schools on this campus take advantage of the economies of scale that come from having multiple small schools that can share and work collectively around PD, hiring, developing cross-site agreement on standards of work, etc. It would be a wonderful example to other small schools about how to leverage the power of networks to enable small schools to thrive outside of formal charter management organizational structures. Among schools I have visited they have pushed the concept of individualized learner outcomes the furthest with great success. ",2019
"Anonymous",204,"The Metropolitan Regional Career and Technical Center","Providence","Rhode Island","Rhode Island State Public School","The Met appears to be one of the most striking examples of schools that personalize without an extensive technology-supported academic program. By combining high standards, strong family engagement, strong mentorship, and an individualized learning approach, the MET empowers students to take ownership of their learning and unlock passion for creating a career that they truly enjoy. A Met education includes internships, individual learning plans, advisory and a college transition program.",2019
"EdSurge",205,"The NET Charter High School: Gentilly","New Orleans","Louisiana","Educators for Quality Alternatives","The school, which added a second campus last year, currently serves just over 300 students between ages 15 and 21. About half of the student population is affected by mental health issues. Over one-third struggle with substance abuse. A quarter are involved in the judicial system. Forty percent are either homeless or have an unstable housing situation. And about 20 percent are pregnant or parenting. This school is doing remarkable work to support teen mothers. Learn more here about how they're supporting this population of students: https://www.edsurge.com/news/2018-11-27-teen-mothers-need-a-lot-of-support-this-new-orleans-school-actually-provides-it.",2019
"Mastery Collaborative",206,"The Young Women's Leadership School of Astoria","Queens","New York","New York City Department of Education","TYWLS-Astoria is the most well-developed mastery-based learning school in New York State. This K-12 school has been perfecting its mastery systems and coursework for more than 10 years, and students' metacognition and self-direction shows the depth of this work. This school has 10 schoolwide learning targets: Argue, Be Precise, Collaborate, Communicate, Conclude, Create, Discern, Innovate, Investigate, Plan. All learning in all courses at the school is framed within this system of schoolwide outcomes. There are discipline-specific, spiraled learning targets nested under each outcome, aligned vertically for grades 6-12. Students get feedback about their progress and crucial next steps to improve their mastery. In student-led conferences, learners show mind-blowing metacognition, and are confident and clear about how to improve, and about their own ability to improve, because they see learning as a process and a journey. The school offers intensives midyear, a way for students to dive deeply into interesting, highly specialized coursework that is inquiry-driven and project-based. Educators at TYWLS-A are expert collaborators, constantly driving each other to improve, strengthen, deepen, clarify, and enrich their pedagogical work. The fruit of this labor of love is clear in a student body that is reflective, collaborative, metacognitive, and agentic. Visiting TYWLS-A and sitting in on classes and student-led conferences is a """"bucket list"""" experience for anyone interested in competency-based learning. The staff's already excellent practices and constant iteration to improve, as well as the school's elegant, clear, and effective system of schoolwide learning outcomes and discipline-specific targets, are a model for schools across New York City and the United States. ",2019
"NYC Department of Education",206,"The Young Women's Leadership School of Astoria","Queens","New York","New York City Department of Education",NA,2019
"Evergreen Education Group",208,"TRIO Wolf Creek Distance Learning Charter School","Chisago City","Minnesota",NA,"Student support structures",2019
"EdSurge",209,"Two Rivers Public Charter School","Washington","District of Columbia","Two Rivers Public Charter School","I've worked with the curriculum director at Two Rivers on a few stories and he is doing a lot of work with assessments. The school cares deeply about finding new ways to measure growth, particularly for non-academic skills (https://www.edsurge.com/news/2017-03-21-teachers-at-two-rivers-roll-up-their-sleeves-to-build-assessments-from-scratch). They've also worked hard to think about how to provide support and autonomy during project-based work (https://www.edsurge.com/news/2017-09-21-providing-the-right-guidance-and-guardrails-to-support-student-voice-and-choice). ",2019
"Education Evolving",210,"UCLA Community School","Los Angeles","California","Los Angeles Unified School District","UCLA Community School has a diverse student population; 80% identify as Latino and 14% as Asian. 81% of students are classified as FRPL. 75% of elementary students and 41% of middle and high school students are English Language Learners. The teacher team has hiring autonomy and has chosen well-qualified colleagues that reflect the diversity in their student population. 51% of teachers identify as Latino (including the principal) and 22% Asian; 88% of teachers are bi- or tri-lingual. The school serves as a research school for UCLA's Center X and benefits from having a close working relationship with a top university as a full community partner at their school site. The teacher team chooses to have multi-age classrooms where students stay with each teacher for two years. As an immersion school, students are taught in English, Spanish, and Korean in elementary school. UCLA Community School uses an innovative assessment portfolio system for each student to track their growth academically. Students are highly involved in knowing, understanding, and plotting their own data. Under the teacher team's leadership, UCLA Community School students have been very successful. Students outperform the district in many areas including progress toward graduation. The overall college-going rate is now up to 95%. Teachers secure autonomy via a pilot school agreement between the district and union. The pilot agreement gives school governing boards autonomy in five areas (staffing, budget, curriculum & assessment, governance, and school calendar); at some schools, including UCLA Community School, this autonomy is passed on to the teacher team. ",2019
"Mastery Collaborative",211,"Urban Assembly Maker Academy","New York","New York","New York City Department of Education","UA Maker uses a unique structure for learning that combines mastery-based approaches and design thinking principles. It is an unscreened school, so students come from all over NYC, and enter with a wide variety of abilities. Students are asked to approach their learning as a process they own, which involves hands-on, collaborative and independent work, targeted coaching on skills, and iteration using both design thinking and mastery as frameworks to understand the criteria for success, and the process they will use to achieve it. Classes are lively and project-based, and the school offers a much-used maker space. This model works for a diverse student body, who report feeling more confident, more cognizant of how to make progress, more able to use questioning and design thinking to support their learning, and more aware of their own capabilities.",2019
"NYC Department of Education",211,"Urban Assembly Maker Academy","New York","New York","New York City Department of Education","UA Maker is a highly diverse school in NYC, both with regard to race/ethnicity, and socio-economic status. With a maker/design-thinking approach, and a competency-based model, the school has found ways to meet their students where they are, and successfully prepare them for post-secondary life.",2019
"reDesign, LLC",211,"Urban Assembly Maker Academy","New York","New York","New York City Department of Education","UA Maker, within The Urban Assembly Network, believes the world needs problem solvers who can find and solve challenges to create positive change. UA Maker aims to empower students not only to be successful, adaptive citizens of the future, but also to create that future through design thinking and innovation. The UA Maker community prioritizes the core values of curiosity, empathy, risk taking, self-awareness, and resilience. The school launched as part of the Opportunity by Design initiative, funded by Carnegie Corporation of New York and supported in their model design work by Springpoint. Teachers and students work together to help students demonstrate mastery of content and skills. Grades at UA Maker provide precise, actionable feedback about students' ability to master the design thinking process, content knowledge and the skills they need to be truly college and career ready. A strong advisory program and weekly check-ins, called """"self-awareness days,"""" help students develop the agency and skills needed to direct their own learning. The school's robust partnership network connects students to unique, real-world opportunities that help them develop 21st-century workplace skills.",2019
"Springpoint",211,"Urban Assembly Maker Academy","New York","New York","New York City Department of Education",NA,2019
"Rogers Family Foundation",212,"Urban Montessori Charter School","Oakland","California","Urban Montessori Charter School","UMCS is a public Montessori school—the only one operating within Oakland's city limits. It grapples with all the dynamics of Oakland public education (race, facilities, budget, regulations, diverse and high needs) while working to implement the Montessori model.",2019
"Anonymous",214,"Valley View Middle School","Edina","Minnesota","Edina Public Schools","Their entire school has moved forward together in their personalized-learning process.",2019
"The Learning Accelerator",215,"Valor Flagship Academy","Nashville","Tennessee","Valor Collegiate","Valor has a very comprehensive and intentional social-emotional learning program that is embedded in the school's entire program. The staff really prioritize whole child supports as a core part of the educational experience.",2019
"Anonymous",216,"Valor Voyager Academy","Nashville","Tennessee","Valor Collegiate Academies","Valor is consistently recognized as an innovative school for its compelling academic outcomes, elevation of SEL, and willingness to open its doors as a """"learning laboratory"""" for other aspirational educators throughout the country to visit and from which to learn. Valor has a partnership with Transcend Education to codify its innovations and insights to maximize its impact on the field. Few schools have become so visible, influential, and successful in such a short period of time.  Valor Collegiate designed its school model around four innovative principles integral to its success. It aspires to: - Reflect the diversity of both the United States and the local community - Personalize a student's experience to meet that scholar's unique academic and non-academic needs - Leverage a strong school community to create self-directed learnings - Develop a new approach for selecting, training and retaining excellent teachers - Provide a model that is student-centered  Each student has a faculty mentor who oversees her overall development and Personalized Learning Plan, and a grade coach who oversees the mentoring program. All courses throughout the model will have competency-based grading and students will be gradually released to a nearly fully self-paced model. A wide variety of blended learning is used throughout the model.",2019
"Anonymous",218,"Waimea Canyon Middle School","Waimea","Hawaii","Hawaii Department of Education","This school has worked to integrate Project Based Learning and Design Thinking to create an innovative 20% time model to meet the needs of their students.",2019
"Anonymous",219,"Warren County High School","McMinnville","Tennessee","Warren County Schools","Working closely with partners through the Highland Economic Partnership, Warren County High School has spent several years developing high-quality career options for students. Recognizing its rural location and that half of its over 2000 students will directly enter the workforce, school and district leaders built several new pathways through the career and technical education programs of study. Programs in mechatronics, health sciences, and telecommunications give students exposure to industry demands and real-world problems. Students also have the opportunity to earn industry certifications in skills that regional employers have identified as high-demand.",2019
"Anonymous",220,"Washington Leadership Academy","Washington","District of Columbia","Washington Leadership Academy","Washington Leadership Academy (WLA) puts students onto life trajectories toward leadership in whatever roles they choose in tomorrow's world. How? By building trusting relationships and giving students unprecedented opportunities to learn and lead. Students at WLA take rigorous core classes, enriched by real-world experiences and access to experts, as well as student-selected projects and electives, all combined with the latest in technology and innovation. All WLA students take Computer Science and get hands-on experience with emerging technology, including virtual/augmented reality. WLA combines civic education, social justice education, and support for students as they explore who they are and where they want to go in life. Driven by an approach to teaching and learning that is both """"high tech"""" and """"high touch,"""" WLA is making a true difference for students in Washington, D.C., and beyond. ",2019
"Charter School Growth Fund",220,"Washington Leadership Academy","Washington","District of Columbia","Washington Leadership Academy","WLA's instructional model was designed to optimize personalization and rigor of instruction given each content area and the current state of the edtech market (both content and tools). In practice, this means that instruction looks different from subject to subject. In content-heavy subjects, i.e. History, WLA will utilize a flipped classroom model. In subjects that require both remediation and skills develop, i.e Math and English, WLA will implement a two-day split with one section focused on grade-level content/instruction and the second section focused on remediation. The specifics of each are listed below, but each subject implements different tools and teacher practices to maximize results.",2019
"Mastery Collaborative",223,"West Side Collaborative Middle School","New York","New York","New York City Department of Education","West Side Collaborative Middle School uses a powerful, student-centered pairing of mastery-based and culturally responsive education practices. WSC has a strong and supportive school culture that nurtures young learners, and helps them to build community together, and mindsets for learning individually. Students at this school are uniquely resilient, secure and engages across the full arc of learning. They are free to make meaningful choices about their own learning, and they grow personally/academically through exploration and reflection. WSC personalizes academic opportunities for each child. Students are active participants in their own learning and collaborate with teachers in a cycle of rigorous individualized goal-setting, planning, evaluation and revision. WSC has a 1:1 laptop model, and infuses all subject areas with technology. Their Advisory program, Community Meetings, Personal Growth Labs build community and student agency. Small class sizes, block scheduling and flexible groupings allow for personalized attention and scheduling to fit students' individual needs. Student-led conferences and portfolio presentations are both ways to engage families and [offer] rich demonstrations of learning.",2019
"NYC Department of Education",223,"West Side Collaborative Middle School","New York","New York","New York City Department of Education",NA,2019
"CT Center for School Change",224,"West Woods Upper Elementary School","Farmington","Connecticut","Farmington Public Schools","West Woods Upper Elementary School is a grade 5-6 school with an enrollment of approximately 600 students. The school implements a student-centered approach aligned to Farmington's improvement design. Curriculum, instruction, programming, and assessment are aligned to purpose-driven, socially-constructed, mastery-based and self-directed learning. One specific example to share is FLEX time. FLEX time is a challenge and support block developed by WWUES teachers. FLEX time provides students with a menu of options to select from that are both teacher and student directed. Choice is a key element of the design and student-engaged assessment practices drive a self-directed model of challenge and support within this innovative model. Two years after this teacher-led innovation was developed, Farmington is implementing this design across K-8 schools. Clear standards and data driven decision-making are a key feature of WWUES' student-centered approach. All standards for the week are clearly articulated and the student work from the week provides the body of evidence that demonstrates student progress towards those standards. While many of the offerings are based on academic standards, they are not exclusively so. Sessions can focus on learner mindset, Vision of the Graduate skills, organization, or any other social/emotional or executive functioning skills that teachers identify as an area of need. Student self-reflection, voice and choice is key to this daily block. Students are given tools and feedback to assess their own strengths and needs and are trusted to make wise choices about how to most effectively make use of the time and support they are provided. Students who have met the standards are given the opportunity to exceed the standard by working on the standard at a more advanced level. WWUES implements a mastery-based approach to empower students as leaders of their own learning. Farmington's mastery-based principles are implemented in all classrooms. ",2019
"Illinois State Board of Education",225,"Wheeling High School","Wheeling","Illinois","Township District 214","Dr. Lazaro Lopez, then principal of Wheeling High School, met with manufacturers, business leaders and the local department of economic development in 2007 to address the shortage of skilled workers in the region needed to meet workforce demand. That partnership gave birth to the Township High School District 214 Career Pathways program. District 214 prepares its students for college and careers through experiential learning in 16 career clusters and 44 career pathways. The Career Pathways program currently serves more than 12,000 students from six comprehensive high schools, including Wheeling High School, and four specialized learning programs. District 214 purposefully eliminated the distinction between core courses and technical and career education courses. As many as 85 percent of District 214's students graduate having taken a college course, and two-thirds have completed nine semester hours of college credit by the time they graduate, an opportunity for considerable savings in tuition costs. Ninety-five percent of the district's students identify a career area of interest by graduation. Students have logged more than 2 million hours of workplace learning. The Educator Prep career pathway has served as a statewide model for addressing the teacher shortage. The teaching cluster begins with a sequence of high school courses that provide students an early feel for education as a career. Students who continue with the program earn early college credits and spend several days a week teaching lessons in actual K-12 classrooms under the close supervision of a master teacher. Students then can continue in the Educator Prep program with a postsecondary partner and earn a bachelor's degree and a teaching license. The district provides a network of supports for students while in college to increase the likelihood they graduate and become teachers. The district guarantees each student first access to interview for district teaching jobs. ",2019
"Anonymous",226,"White Mountains Regional High School","Whitefield","New Hampshire","White Mountains Regional School District","Personalized learning",2019
"Education Resources Consortium",226,"White Mountains Regional High School","Whitefield","New Hampshire","White Mountains Regional School District","In its quest to do better for all learners, the school has been willing to look at core elements of practice and organization that many schools shy away from. The school has not been content to pursue the tired list of 'solutions' that the state has tried over the past decade—competencies, """"PBL"""", ELO's, performance assessment. They use each of those, but go deeper and combine such efforts with healthy skepticism and a high level of risk-taking, experimentation and love for their students. The principal is one of the most committed, open and effective I have seen over the past decade.",2019
"Springpoint",228,"William Smith High School","Aurora","Colorado","Aurora Public Schools","William Smith High School originally launched as a program for expectant mothers, and primarily served over-age, under-credited (OAUC) students. In recent years the program has evolved, and while not explicitly geared towards an OAUC population, they see themselves as an alternative to the more traditional offerings of the Aurora School District. Project-based learning was an evolution of the school's model and they became an EL Education site in 2006. The day starts with a skill-based """"Brain Training"""" class followed by mixed-age Crew (akin to advisory). For the rest of the day, 10-12th graders work on one or two projects. Each project is 4-6 weeks in length. Freshmen have a more structured schedule, and educators work to help them acclimate to the project-based work to come. As a student approaches graduation, he or she will spend time off-campus in an internship or engaged in college classes. Students also design their own Capstone Projects. Projects integrate fieldwork, guest experts, and authentic audiences that help bring curriculum to life. The hands-on nature of the school's approach reflects a workplace environment that will prepare students for the future. As students develop products and presentations, they learn content while gaining academic and 21st-century skills like collaboration, creativity, and problem-solving. The school has a teacher residency program, which trains talent and serves as the main hiring pipeline.  ",2019
"Anonymous",228,"William Smith High School","Aurora","Colorado","Aurora Public Schools","Innovative instructional methods, project and problem-based learning, student body mostly young people who weren't successful in traditional models, very diverse.",2019
"Center for Teaching Quality (CTQ)",229,"Winterboro High School","Alpine","Alabama","Talladega County Schools","In 2009, the thoughts were of demolishing a failing school and antiquated building with a rock facade. Winterboro High School has become a rock-solid model of teaching, learning, and collaboration for other schools to visit, study and replicate. The once-failing school in an impoverished (rural) community, is now a beacon of educational opportunity. Project-based learning has become a firmly established learning standard that continually transforms shy, unengaged students, into active community leaders armed with Essential Skills to be College and Career Ready. As the process of PBL has become """"rock solid"""", effective teaching and learning foundation, the expansion of STEM to STEAM has also become exemplary at the old rock schoolhouse. Through STEAM and PBL integration, Winterboro High School is a step above the average school, particularly for a small, rural, high poverty one.",2019
"Microschool Revolution",230,"Workspace Education","Bethel","Connecticut",NA,"Personalized pathways for each child.  High-quality 21st-century project-based learning with their 21CI program. Integrated Acton Academy. See overview video here: https://www.youtube.com/watch?v=r4TYQvYrs6w",2019
"Anonymous",230,"Workspace Education","Bethel","Connecticut",NA,"This is a co-educational space for homeschool students and microschools (Acton Academy and Wildflower). This is an out-of-the-box education environment where parents are intimately involved and very student centered. The co-educational space has a lab where students are engaging in genomics; there are 70 business partners with whom students are helping solve key problems; and there are many other practical applications of rigorous, higher-order learning.",2019
"Arkansas Office of Innovation for Education",231,"Wynne Intermediate School","Wynne","Arkansas","Wynne Public Schools","Leadership collaboratively developed a strong vision tied to their community of learners. They started this journey based on a focus group session with a group of African American boys who said they didn't see a way out of poverty for themselves—they were bored and unchallenged. So the teachers/leaders took on this challenge to change this perception. They wanted their students to have a sense of possibility for themselves in the future. Students get opportunity to bring into their learning their interests and passions. A blended-learning approach within classroom provides student-centered support and extension for learning. They have a strong understanding of curriculum and working on supporting student choice and voice in learning of the curriculum. Students set goals for their learning. They utilize student learning data effectively in collaboration to support students' next steps in learning. They spend time getting to know their students and their interests, strengths, challenges, and well-being. The school is in a small town with limited resources and yet the feel is of a school that is well-resourced. The culture is very focused on students—community and parents are actively involved in these efforts. Parents at this school want all the other schools in the district to be just like this one.  ",2019
"Anonymous",232,"Ysleta Elementary School","El Paso","Texas","Ysleta ISD",NA,2019
"Christensen Institute",234,"Virtual Learning Academy","Exeter","New Hampshire","Virtual Learning Academy Charter School","With online learning as the backbone, VLACS is now starting to scale offline 'experiences' during which students accrue CBE credits through real-world work with regional partners. The vision appears to take some of the best of online (flexibility, anytime anywhere, virtual educator relationships and performance assessments) while also unlocking F2F experiences that directly match with students' interests and allow for career exploration.",2019
"Anonymous",235,"International School of the Americas","San Antonio","Texas","North East Independent School District","At the International School of the Americas students are immersed in a collaborative, relationship-driven environment where all students are provided with an honors-level curriculum and the extra academic support required to succeed at this challenge. The learning is interdisciplinary with an emphasis placed upon a real world application of the skills and content. All students participate in international travel, community service, a career-exploration internship, and a final portfolio assessment of their learning at the conclusion of their senior year. It is a dynamic learning environment that also serves as a professional development school for Trinity University, mentoring new teachers into the teaching profession. ISA's small size and structure provide the sense of not just community but family. Relationships are fostered through intentional practices to build deep learning, real support, and honest dialogue. Students and teachers feel supported, valued, and empowered. Teachers and students value relationships, appreciate diversity, accept differences, take risks, and help students set and achieve individualized goals for learning. Students are known and individual accommodations are made for learning styles, differences, talents, and interests. Teachers design curricular and pedagogical experiences, enact grade-level teaming, integrate curriculum within and between the disciplines, facilitate communication with families, and lead students in travel. Through authentic, performance-based learning, students grapple with complex questions, look at multiple perspectives, make judicious decisions, and find solutions not only for themselves but also for the world community. Students are provided equal access to ISA via an open application process with lottery selection, heterogeneous grouping, and the expectation that all students will meet a high academic standard. Enrichment experiences including travel, field trips, internships, and community service are available to all students regardless of socioeconomic constraints. The doors of learning are open to all students at ISA.",2019
"Moonshot EdVentures",11,"Aspen Academy","Greenwood Village","Colorado",NA,"Entrepreneurial curriculum; students have to have owned and operated a business before graduating in 8th grade; spends time on financial literacy",2021
"Springpoint Schools",17,"Aveson Global Leadership Academy","Altadena","California","Aveson Charter Schools","Aveson Global Leadership Academy is a tuition-free charter school that employs a very thorough mastery approach, while focusing on personalization and projects. Serving students in grades 6 through 12, the school embodies the core principles of rigor, relevance, and relationships.Â   Students graduate from AGLA having built a resume of academic success, social entrepreneurial experiences, and healthy living practices. These achievements are accomplished through a Mastery Learning Portfolio (MLP) complemented by a highly supportive advisory system within a democratic learning community. AGLA has iterated on their model and deeplyÂ values student voice, offering explicit opportunities for student agency. Student led-conferences are one manifestation of this. Adults not only support students to prepare, but link the school's communications competencies to student-led conferences. At AGLA, educators understand the deep relationshipÂ between mastery and student agency.  The school has been doingÂ competency-based learning for many years and has a mature set of competencies. AGLA develops a personalized learning plan for each student, and they utilize teachers (called Academic Advisors) and paraprofessionals (called Project Managers) in unique ways. Adults track data on every student, including student progress, as well as interestÂ areas and supports theyÂ have received.outcome tracker.Â As well, there are regular celebrations when students reach key milestones, including formative and summative celebrations of learning and anÂ interdisciplinaryÂ capstone project.Â They focus on mastery, use of rubrics, student agency, and peer-to-peer assessment.",2021
"Great Schools Partnership",22,"Blackstone Academy Charter School","Pawtucket","Rhode Island","Blackstone Academy Charter","The school is based on the Common Principles from the Coalition of Essential Schools and works purposely to build student agency and understanding within a very student-centered and supportive culture.  They have very strong practices of reaching out to involve families as honest and equal partners in their work.",2021
"Education Evolving",24,"Boston Day and Evening Academy","Roxbury","Massachusetts","Boston Day and Evening Academy Charter","Mission and Vision: Boston Day and Evening Academy re-engages off-track students in their education preparing them for high school graduation, post-secondary success and meaningful participation in their community. Boston Day and Evening Academy will continue to be an innovative leader in student-centered education for off-track learners. Highlights: Competency Based Education-  The primary--and the crucial difference between a competency-based system of teaching and assessment and a traditional model, is that students begin a learning pathway (traditionally referred to as middle school or high school) based on assessed skill level in each content area, and not on arbitrary placement in grades (based on age). Each content area (i.e. Humanities, Math, Science, Technology) is divided into modules, which correspond to an academic semester, quarter, or trimester (see ROADMAP). After being assessed for their knowledge in each content area, students are placed into the module which puts them at their """"learning edge"""" i.e. challenging, but not overwhelming. Students progress from module to module in each content area, based on their ability to demonstrate mastery in each area, independently and multiple times. Once they meet the assigned benchmarks in each module, they become """"competent"""", and move on to the next module. If they finish a trimester without demonstrating competency in an area, they repeat that module--and that module only--while moving ahead in other content areas. Innovative Teaching Practices In addition to using competency-based teaching and assessment practices to drive the curriculum and inform the learning that takes place at BDEA, faculty are constantly embracing new forms of teaching that address the student-centered nature of their work. Blended Learning- We are thoughtful about how we are using technology to enhance learning, and hear from students that they need a balance of technology and personalized, teacher-led instruction.  Our approach has been to create a blended learning model that combines a variety of options including online courses, as well as technology-supported classes enhanced by the use of iPads, Smartboards and computers.  We have a Personalized Online Learning Lab (POLL) where students can catch up on classroom work or accelerate their progress through classes. But the bottom line is always having teachers available for support, direction, and conversation. Experiential Learning- For over a decade, BDEA has included Project Month as a way of turning all classes """"experiential"""", and giving students--and teachers--an opportunity to collaborate on projects that become an enduring part of the whole-school community.  One year, one of the projects turned an abandoned community clubhouse into a solar powered, hydroponic greenhouse. Another year, students engaged with the """"Occupy Boston"""" movement and recreated the experience of tent living, media coverage, and the genesis of the Arab Spring in a series of connecting classrooms at the school.   Active Learning- Active Learning takes many forms, from the expected inclusion of physical fitness into the everyday experience of our staff and students, to the authentic learning experience that results from theatrical movement classes taught by valued partners Actors' Shakespeare Project.   Our partners at Project Adventure helped us to understand and incorporate important aspects of """"active"""" learning into our teaching practice, coaching students to physically """"move through"""" diagrams  instead of writing them on a whiteboard, and to use space rather than fill it.",2021
"iLearn Collaborative",26,"Cañon City High School","Cañon City","Colorado","Cañon City Schools","An exemplar for implementation of school-wide blended learning instruction.  Started well before COVID-19 impact.  Started with defining vision and goals then backwards planning to create a needs-based approach including timelines, support and resources to reach goals.  Accomplished in 2 years, what many other schools would have taken in 5 years or more.  Has become an exemplar for blended learning in Colorado.  Leadership was a key factor.",2021
"Colorado Education Initiative",26,"Cañon City High School","Cañon City","Colorado","Cañon City Schools Fremont Re-1","Cañon City High School (CCHS) has a focus on equity, social emotional learning, and building student advocacy skills. Their Tiger Pathways program helps students navigate career pathways while also developing rigorous academic skills. Every student creates a capstone project with a driving question for their SELF Expo, where the community at large is welcomed into the building to share student success fostering a sense of belongingness and community (the SELF Exhibition is an annual event that showcases the knowledge and research projects of Cañon City High School students. SELF stand for Student, Empowered, Learning, Framework. This is at the core for CCH's goal to focus curriculum learning on a student's personal interests and life goals).   The community is also leveraged in a comprehensive student internship system; the goal is for every student to have an internship in the community related to their capstone project. The district's vision is â€œMaslow's Over Bloomâ€ and the orientation of CCHS is toward providing support to students. During the 4-year capstone process, students have both a mentor and an advisor. In addition, CCHS uses a universal screening tool to assess the emotional needs of all students and has a well established team to respond to the needs that arise",2021
"Great Schools Partnership",27,"Casco Bay High School","Portland","Maine","Portland Public Schools","Casco Bay has tied together project-based learning using an EL model with proficiency-based learning in an environment that is extremely student centered. Students are known as individuals and while there are common learning expectations for all students, teachers work to build upon each student's skills and capacities. Students learn agency along with deep content and skills",2021
"Next Generation Learning Challenges",27,"Casco Bay High School","Portland","Maine","Portland Public Schools","Casco Bay is a wonderful example of a school creating its own successful version of a very successful national school and learning template -- the EL Schools model. It is a district school, not a charter, in the Portland public schools and so is subject to all of the same regulations, policies, and contracts that all regular public schools are subject to. And yet the experience its students have at Casco Bay is very different than the """"normal"""" experience most kids have in schools these days. Casco Bay, like all EL schools, is very deeply experiential and project-based -- most learning is connected to some form of authentic purpose. It has done exceptional work in thinking about and designing ways to gauge student growth across a number of dimensions not normally on the radar in public schools. It is doing all of this work with a student body that -- while it has opted into the school -- reflects much of the diversity, complexity, and challenges  that many public schools must address right now. We have brought teams of educators to Casco Bay many times over the past five years and these educators routinely leave feeling inspired and with a whole new view of what schools can be. A video of Casco Bay's community grappling, in typically student-led ways, with a racist incident was featured in our recent virtual film festival, This Is Our Chance. See """"Walking in Solidarity"""" on this page of the festival site: https://our-chance.com/week-1/.",2021
"The Learning Accelerator",47,"Concourse Village Elementary School","Bronx","New York","New York City Geographic Region #7","The school does a lot with culture. SEL is intertwined in their DNA",2021
"National Center for Special Education in Charter Schools",58,"Digital Pioneers Academy","Washington","District of Columbia","Digital Pioneers Academy","Innovative school holding all students to standards of excellence, both academically and personally.",2021
"Next Generation Learning Challenges",61,"e3 Civic High School","San Diego","California","E3 Civic High District","e3 Civic High was the result of unprecedented levels of partnership in San Diego, between the city, the school district, the public library system, other civic organizations, and business leaders. It occupies two floors that were designed explicitly for the school, inside of the new downtown main branch of the public library system -- a spectacular building with a deeply reimagined set of ideas about the functions of a public library. Students at e3 use the whole building as a kind of exploratory classroom and many serve as volunteers or developers of library programs. Beyond that, the school exemplifies many of the attributes of what NGLC calls next gen learning: meaningful, authentic, experiential, personalized, competency-based learning within a healthy, supportive whole-school community that has a fully reimagined definition of 21st century student success.   Here is how e3 describes itself: The mission of e3 Civic High is to engage, educate, and empower our learning community to be passionate, life-long learners and civic leaders that are prepared for college, workforce, and life.  College . Workforce . Life While the three e3's represent our core values and drives our mission, the 3 R's (reading, writing and arithmetic) drive academic college readiness while the 5 C's (Communication, Collaboration, Critical Thinking, Creativity, Civic Engagement) drive our Workforce and Life readiness. This is the """"e3 Way"""".   All e3 scholars have clear college, workforce and life targets including academic, civic engagement and internships to prepare them for life after high school. All scholars are offered academic and wellness supports as well as small class sizes.  e3 supports all scholars to prepare for and take the PSAT, SAT and apply to 2 year college and 4 year universities.   The e3 way and innovative learning platform offers students: A personalized experience that leverages technology to support and enhance learning and teaching All students are supported and assessed each year for college, workforce and life readiness Students are supported in college and workforce readiness including PSAT and SAT preparation 100% of students take the PSAT and SAT and apply to 4 year colleges All students are supported through college applications, financial aid and acceptance processes Tutoring is available for all e3 students at no cost Over 100 course offerings including gaming, college prep, accounting and college level courses (UCSD and PLNU) e3 advisors provide college application supports to all e3 students All e3 students receive a MacBook Air to take home daily for the school year Relevant field trips and renowned guest speakers for real world exposure Design thinking and digital literacy skills for 21st century workforce prep Internships for all e3 students Focus and supports for wellness and mental health with licensed therapist on campus All students & staff use Google Apps for Education in a collaborative learning environment  Over the course of many visits to the school, often in the company of 20-40 other next gen learning educators from other districts and charters, we have seen all of these attributes borne out in the ways the school does its work.",2021
