Nomination ID,Nominator Org,Publicly disclosable nominator org,Canopy School ID,Official School Name,School Name,School City,School State,District or CMO,Reason for nominating
Nominator_2023-11_Next Generation Learning Challenges_Da Vinci Connect,Next Generation Learning Challenges,Next Generation Learning Challenges,621,Da Vinci Connect,Da Vinci Schools,Los Angeles,CA,Da Vinci Schools,"DaVinci Schools take a completely student-centered approach across all of their models, both on-campus and hybrid. Learning is purposeful, experiential, rigorous, and engaging. They have developed a strong community within each school, supported by deep relationships among students and teachers alike. They have a tremendous learning mentality -- they are ceaselessly seeking to improve, when already they provide a learning and developmental experience to kids that should be a model for the entire nation."
Nominator_2023-11_Clayton Christensen Institute_Valor Preparatory Academy of Arizona,Clayton Christensen Institute,Clayton Christensen Institute,640,Valor Preparatory Academy of Arizona,Valor Preparatory Academy,Goodyear,AZ,n/a,The program is flexible to students learning needs.
Nominator_2023-11_New Tech Network_Compass Academy,New Tech Network,New Tech Network,646,Compass Academy,Compass Academy ,Idaho Falls,ID,Idaho Falls School District #91," To create a school of innovative creators where all members of the community are respected and all students have warm demanders as facilitators, Compass Academy implemented new cultural practices at both the learner and adult level to establish a more supportive and inclusive culture. School leadership, teachers, and staff challenged students to embrace high standards for learning and college/career planning. Evidence for advancing student-centered learning can be observed with the adoption of and adaption of Marzano High Reliability Schools™ framework as a part of student, faculty and staff recognitions; using the framework indicators to empower their school teaching staff and students (Source: Marzano, R. J., Phil Warrik, and Julia A. Simms. A Handbook for High Reliability Schools: The Next Step in School Reform. Marzano Research, 2014.)  By adopting such a framework, the school has expanded the framework of standards to include competencies with performance assessments and academic skills that are transferable across content areas. Compass Academy students know exactly where they are and what they need to do next. This is an important component to enhancing supportive and inclusive culture experiences as this added “a level of fun and engagement that [the school] did not predict. It’s been an excellent investment in the human capital of Compass Academy.”  This leading indicator can be seen in action through restorative practice in the classrooms, using the “Good Things” protocol from Capturing Kids’ Hearts (Capturing Kids’ Hearts: A Three-Year Program Evaluation, 2016-17 to 2018-19, May 2020, https://files.eric.ed.gov/fulltext/ED606969.pdf).  The “Project Expo” (senior capstone projects) allowed for new and potential students to share their best projects of the year to the public and school board; demonstrating Compass Academy’s school teaching tenets alignment to project-based learning.  

"
Nominator_2023-11_Transcend_I Dream Public Charter School,Transcend,Anonymous,666,I Dream Public Charter School,I Dream Public Charter School,Washington,DC,,"I Dream Public Charter School co-designs purposeful, self-directed learning with children and families, so they have voice and choice on the path to discovering and pursuing their dreams."
Nominator_2023-11_Mastery Transcript Consortium_Bennett Day School,Mastery Transcript Consortium,Mastery Transcript Consortium,680,Bennett Day School,Bennett Day School,Chicago,IL,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Windham Woods School,Mastery Transcript Consortium,Mastery Transcript Consortium,681,Windham Woods School,Windham Woods School,Windham,NH,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Compass Community Collaborative School,Mastery Transcript Consortium,Mastery Transcript Consortium,682,Compass Community Collaborative School,Compass Community Collaborative School,Fort Collins,CO,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Lighthouse Holyoke,Mastery Transcript Consortium,Mastery Transcript Consortium,683,Lighthouse Holyoke,Lighthouse Holyoke,Holyoke,MA,,This school has implemented a competency-based learning model and are publishing Mastery Transcripts as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Mastery School of Hawken,Mastery Transcript Consortium,Mastery Transcript Consortium,684,Mastery School of Hawken,Mastery School of Hawken,Gates Mills,OH,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Transcend_Mastery School of Hawken,Transcend,Anonymous,684,Mastery School of Hawken,Mastery School of Hawken,Cleveland,OH,,"Mastery School of Hawken develops the deep and enduring skills needed for success in today’s world through Macros, interdisciplinary experiences where students work in teams for up to five hours a day to solve real challenges for a community partner. "
Nominator_2023-11_Mastery Transcript Consortium_Innovation Lab High School,Mastery Transcript Consortium,Mastery Transcript Consortium,685,Innovation Lab High School,Innovation Lab High School,Bothell,WA,Northshore School District,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_The Mind Trust_BELIEVE Circle City High School,The Mind Trust,The Mind Trust,693,BELIEVE Circle City High School,Believe Circle City High School,Indianapolis,IN,Believe Schools,"Believe Circle City High School is an early college and career preparatory high school focused on its the guiding principles of fostering academic achievement through autonomy, agency, and acceleration. Believe students are provided autonomy (self-government) with a discipline culture system and flexible schedules; agency (free choice) with access to a life coach, purpose path, and soft skills; and acceleration (increased rate) through early college and career planning and exposure to experiential learning. 
Believe Circle City educates historically underrepresented youth in the Indianapolis community and equips them with the skills necessary to become well-adjusted, civically engaged, and financially stable adults."
Nominator_2023-11_Transcend_Discovery Early College High School,Transcend,Anonymous,706,Discovery Early College High School,Discovery High School,Springfield,MA,Springfield Empowerment Zone Patrnership,"Through its distinct wall-to-wall early college model, Discovery provides students the opportunity to live out their college, career, and wage potential in the region. DHS maximizes career and wage opportunities through its “pathways” model, in which students specialize their learning in one of several technology-centered areas, including computer science, IT, engineering, and digital media. In its rigorous, engaging, hands-on environment — with industry-grade technology in a dedicated makerspace — Discovery has particular success in supporting emerging bilinguals through the universal languages of coding, tinkering, and designing."
Nominator_2023-11_Transcend_Kansas City Girls Prep Academy,Transcend,Anonymous,714,Kansas City Girls Prep Academy,Kansas City Girls Prep,Kansas City , MO,-,"Kansas City Girls Prep is a public all-girls school intentionally situated in a community with a rich history and strong local support. They prioritize social-emotional wellness, community, and an environment where love is felt, for both students and adults, and they implement the Compass model to help them achieve that."
Nominator_2023-11_Center on Reinventing Public Education_Seckinger High School,Center on Reinventing Public Education,Center on Reinventing Public Education,728,Seckinger High School,Seckinger High School,Buford,GA,Gwinnett County Public Schools,"Seckinger High School is dedicated to teaching AI as part of its curriculum. Students are able to choose areas of focus within schools of study that focus on the humanities, international business, and advanced sciences and technology (with a focus on artificial intelligence). Seckinger High School offers a collegiate learning atmosphere in which students can excel in academics, athletics, and the arts. Students choose an area of concentration for their high school learning experience within three broad areas—advanced science and technology, business and leadership, and art and design—or they can choose a more personalized high school course of study."
Nominator_2023-11_Mastery Transcript Consortium_Maritime High School,Mastery Transcript Consortium,Mastery Transcript Consortium,751,Maritime High School,Maritime High School,Des Moines ,WA,Highline Public Schools,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Transcend_Maritime High School,Transcend,Anonymous,751,Maritime High School,Maritime High School,Des Moines,WA,Highline Public Schools,"Maritime High School is a new, small high school that opened in September 2021 with its first 9th-grade class. Maritime is a collaborative project of Highline Public Schools, Northwest Maritime Center, Port of Seattle, and the Duwamish River Community Coalition, with many community and industry partners engaged to support our students.

Students will have time in the classroom, frequent field experiences and boat-based learning. In the 11th- and 12th-grade years, students will participate in internships to gain workforce skills and knowledge.  Students will engage in project-based learning, working with teachers, community partners and industry experts in hands-on experiences; an innovative transcript will demonstrate their learning across all academic subject areas.

By graduation, students will have skills to launch a Maritime career, and will also be ready to continue studying in a 2 or 4-year college. 

Regardless of a student’s life path, attendance in this school will increase their understanding of the natural world, increase their competency in practical skills, and offer them a greater awareness of the career opportunities of the sea and beyond."
Nominator_2023-11_Getting Smart_Purdue Polytechnic High School - North,Getting Smart,Getting Smart,766,Purdue Polytechnic High School - North,Purdue Polytechnic High School,Indianapolis and South Bend,IN,Indiana Department of Education. ,"The PPHS Lab high school uses state funding and operates in partnership with industry and community members. Their growth plans include scaling to serve 40 students in 2024-2025, with the intention of replicating upon demonstrating model efficacy and viability. "
Nominator_2023-11_Getting Smart_Purdue Polytechnic High School - South Bend,Getting Smart,Getting Smart,767,Purdue Polytechnic High School - South Bend,Purdue Polytechnic High School,Indianapolis and South Bend,IN,Indiana Department of Education. ,"The PPHS Lab high school uses state funding and operates in partnership with industry and community members. Their growth plans include scaling to serve 40 students in 2024-2025, with the intention of replicating upon demonstrating model efficacy and viability. "
Nominator_2023-11_Transcend_UP Academy,Transcend,Anonymous,770,UP Academy,UP Academy,San Mateo,CA,-,"UP Academy's unique methodology includes universal accommodations, a community framework, multi-sensory learning and a project based approach that works to build agency and develop important social emotional intelligence. Students love to come to school, can't wait to work on their next project and show growth rates at twice the national average. "
Nominator_2023-11_Transcend_St. Benedict's Preparatory School,Transcend,Anonymous,773,St. Benedict's Preparatory School,St. Benedict's ,Newark,NJ,-,"St. Benedict's creates meaningful student leadership opportunities, social-emotional support systems, and community-building structures. The success of the model hinges on the idea that students are responsible for their own development as well as that of their peers. While the model was developed explicitly to serve students of color and students from low-income backgrounds, it has the potential to support students from all racial, religious, and socioeconomic groups."
Nominator_2023-11_Transcend_The Primary School,Transcend,Anonymous,782,The Primary School,The Primary School (flagship),East Palo Alto,CA,-,"The Primary School brings together all of the adults in a child’s life, including parents, educators, and health care professionals to support them. The model starts early, is trauma sensitive and culturally responsive, and includes a parent support program."
Nominator_2023-11_Beloved Community_Libertas School of Memphis,Beloved Community,Anonymous,800,Libertas School of Memphis,Libertas School of Memphis,Memphis,Tennessee,Authorized by the TN Board of Education ,"Libertas is a hidden gem in the city of Memphis. As the city's only public Montessori school, they have created an environment in which every student can bring their full selves and thrive. Their comprehensive set of supports (speech therapy, occupational therapy, physical therapy and mental health services) ensure that neurodivergent learners experience true inclusion and success.Their model centers the child, and creates a learning experience that is anchored in joy and wonder. This is a fantastic community and space for both little people and families."
Nominator_2023-11_Transcend_Libertas School of Memphis,Transcend,Anonymous,800,Libertas School of Memphis,Libertas School of Memphis,Memphis,TN,,"Libertas is the first public charter school in the state offering Montessori education - a rich, rigorous, personalized method that is as unique as your child."
Nominator_2023-11_Rooted School Foundation_Rooted School Vancouver,Rooted School Foundation,Anonymous,801,Rooted School Vancouver,Rooted School Vancouver,Vancouver,Washington,N/A,"Rooted School Vancouver opened in Fall 2023, starting with 9th-grade students and is one of the few charter schools in Washington State. This unique education environment focuses on college and career preparedness, offering all students the chance to earn industry-based certifications through close partnerships with technology companies in the region. The high teacher-to-student ratio ensures that all students receive the necessary support to be successful, emphasizing individualized learning and promoting equity in education."
Nominator_2023-11_Transcend_Maureen Joy Charter School,Transcend,Transcend,802,Maureen Joy Charter School,Maureen Joy Charter School,Durham,NC,N/A,"Maureen Joy's commitment goes beyond academics; they focus on nurturing the complete well-being of every student. Through innovative, high-quality instruction, collaborative school-community relationships, and fostering a sense of positive self-identity, they create a supportive learning environment where every child can flourish.

They are also pushing the envelop on using real-time R&D and community-driven design to continually improve through rapid cycles of learning and prototyping."
Nominator_2023-11_Anastasis Academy_VALE - Venture Academy of Leadership and Entrepreneurship,Anastasis Academy,Anonymous,803,VALE - Venture Academy of Leadership and Entrepreneurship,VALE Venture Academy,Parker,CO,Douglas County,"VALE (Venture Academy of Leadership and Entrepreneurship), is redefining alternative education to equip students with the necessary skills and tools to succeed in a rapidly evolving world.  They are unleashing the potential of every student by providing a non-traditional educational approach, meaningful learning experiences, and problem-based learning opportunities that transcend traditional content areas. VALE prepares students to become entrepreneurial change-makers, well-equipped for life."
Nominator_2023-11_Education Evolving_Kyrene Aprende Middle School,Education Evolving,Education Evolving,804,Kyrene Aprende Middle School,Kyrene Aprende Middle School ,Chandler,AZ,Kyrene School District,"Kyrene Aprende Middle School is an innovative school environment that serves a diverse student population in Chandler, Arizona. Aprende has received various recognitions for their achievements, including being an A+ School of Excellence and a National AVID demonstration school. Aprende is also a leader in school transformation efforts as part of the National network of Teacher-Powered Schools, demonstrating a commitment to increase educator voice in decision-making in order to improve student learning. Teachers have implemented a model of deep collaboration for teachers and students and where students get to experience real-world learning that is and meaningful and engaging. Students in this model experience learning that is beyond traditional classrooms and where they can be curious, excited and motivated to learn."
Nominator_2023-11_University High School_Campus School,University High School,Anonymous,805,Campus School,Campus School,Memphis,Tennessee,MSCS/University of Memphis contract school ,"This school has been a beacon in the community for elevating excellence in teaching and learning through their partnership with the College of Education at University of Memphis, where they train so many novice educators at the beginning of their journey on how to be exceptional teachers. Additionally, they are a diverse school where students get high quality instruction and hands on experiences as a Blue Ribbon and STEM designated school. "
Nominator_2023-11_SciTech Institute_IDEA School,SciTech Institute,Anonymous,806,IDEA School,The IDEA School,Tucson,AZ,,"This K-8 school that was established 6 years ago emphasizes active learning, inquiry, and promoting engagement, with a current enrollment of 53. What stands out in particular is that in addition to prioritizing equity, diversity, and inclusion it fosters an environment of belonging where each student has a voice and obvious value. Most of the class projects are student led and the teachers facilitate discovery rather than merely sharing information. Another distinguishing feature is how it emphasizes partnerships with community educators who enlist students in community service projects. A hallmark of this school is that alumni are distinguished from their peers by their heightened empathy, connection to the community, and soft skills."
Nominator_2023-11_Rural Schools Collaborative_Koshkonong Trails School,Rural Schools Collaborative,Rural Schools Collaborative,807,Koshkonong Trails School,Koshkonong Trails Schools,Cambridge,Wisconsin,Cambridge School District ,"Learning at Koshkonong Trails School is project-based and student-centered. Projects utilize the expansive farms, forest, and fields around the school, and engage students with their local environment via a variety of lessons. Students are given agency to direct their own learning, follow passions, and develop a love of learning. "
Nominator_2023-11_Transcend_Koshkonong Trails School,Transcend,Anonymous,807,Koshkonong Trails School,Koshkonong Trails Charter School,Cambrdge,WI,Cambridge School District,"Koshkonong Traisl envisions providing students with a high-quality, authentic learning environment where students are free to make choices about their learning, use those choices to impact their community and create a positive ripple in the world around them. Their mission is to create students who are lifelong learners and who have direction and passion for their future; to develop academic success for all students to meet the Wisconsin academic standards in the areas of language arts, mathematics, science, social studies, humanities, and agriculture; to offer high quality, rigorous, authentic learning opportunities for students interested in and motivated by project-based, hands-on learning; and, to provide a place-based, experiential education built around conservation, stewardship, and agriculture."
Nominator_2023-11_Rural Schools Collaborative_Katahdin Elementary School,Rural Schools Collaborative,Rural Schools Collaborative,808,Katahdin Elementary School,Katahdin Elementary School ,Stacyville,ME,Katahdin Schools - Regional School District #89,"Place-based, student-centered learning is a focus at Katahdin Elementary School. Over the last several years, the leaders (including many teachers) transformed school curricula to feature outdoor learning as a core medium for learning. Outdoor classroom were created with student input and design, and a large school garden is growing in scope and scale while being closely integrated into multi-grade learning. "
Nominator_2023-11_Beloved Community_The Lab School of Memphis,Beloved Community,Anonymous,809,The Lab School of Memphis,The Lab School of Memphis,Memphis,Tennessee,,"The Lab School of Memphis is a micro-school dedicated to affirming practices for all students. The environment is student-led and centers the ability of every child to learn when given access to freedom, opportunities to explore, new experiences and affirming guides."
Nominator_2023-11_Open Way Learning_West Hawaii Explorations Academy,Open Way Learning,Open Way Learning,810,West Hawaii Explorations Academy,West Hawaii  Explorations Academy,Kona,Hawaii,"Managed by a local Governing Board, under the accreditation of WASC (https://www.acswasc.org/)","WHEA has a rich history of hands-on experiential learning, where students are routinely collaborating to do authentic, student-centered research and learning in a flexible, community-facing, and project-based environment. It has also fostered strong ties with the local community, involving parents, businesses, and community leaders, thus allowing students multiple pathways to connect their learning to local, real-world problems and gain durable skills that align to the school’s Portrait of a Graduate. The school also leverages innovative teaching methods that allow students to focus on areas of interest, such as science, technology, and the environment. The school also employs a distributed leadership model to build collective autonomy and decision making for students and teachers. "
Nominator_2023-11_Bluum_Alturas International Academy,Bluum,Bluum,811,Alturas International Academy,"Alturas International Academy, Idaho Falls, Idaho",Idaho Falls,ID,Idaho Charter School Commission,"Alturas International Academy is an innovative change for education. With a master approach to education, their students are taught in small group instruction at instructional levels. This gives students the opportunity to work with partners and collaborate at high levels using analytical and critical thinking skills. Alturas Prep will expand on an already established program that teaches self-discipline and responsibility to all students; provides a physical environment that is welcoming and conducive to learning; promotes communication and interaction in the classroom; supports an effective environment that promotes a sense of belonging and self esteem; and provides an academic environment that promotes learning and self-fulfillment.

The Alturas International Academy uses the Primary Years Program (PYP) designed by the International Baccalaureate (IB) as a curriculum framework for young learners. Founded on a philosophy that recognizes a child’s natural curiosity, creativity and ability to react, the PYP generates a stimulating, challenging learning environment. Like all IB programs, PYP is transdisciplinary, meaning students learn across subject areas while investigating big ideas. In the process, students develop critical thinking, research, self-management, communication, and social skills.

At Alturas, students learn about significant concepts through units of inquiry. The six trans-disciplinary themes that guide units of inquiry are:

Who we are
Where we are in place and time
How we express ourselves
How the world works
How we organize ourselves
Sharing the planet

Units of inquiry interweave subject areas such as mathematics, language arts, information technology, science, and social studies, helping students make meaningful connections between what they learn in core subject areas and how it relates to the world around them.

INQUIRY-BASED:
The Primary Years Program (PYP) is based on a commitment to inquiry-based teaching and the development of the whole child; socially, emotionally, and intellectually. A core belief is that children learn more effectively when they are actively involved in the learning process and build upon existing knowledge in real-life contexts – In other words, when learning is relevant and engaging.

MULTILINGUAL: 
Spanish is the language of instruction in our K–5 elementary school program.  We welcome students from all language backgrounds. Over 80% of our students begin with no Spanish language at home.

NURTURING ENVIRONMENT: 
Alturas' smaller class sizes ensure that the teachers and staff can focus on students’ social and emotional development in addition to their intellectual progress. From a place of safety, students are encouraged to inquire, wonder, and investigate—to lay the foundations of interculturally sensitive and inquisitive lives.

EXPERIENCED, CARING TEACHERS: 
Alturas' teachers provide opportunities for students to build meaning and refine understanding through structured inquiry. Outside the classroom, Alturas teachers are an integral part of our community.

REAL-WORLD CONNECTIONS: 
Students synthesize and showcase their learning by applying new knowledge to real-world problems and working collaboratively to find solutions.  For example, 5th-grade students work in groups to prepare an exhibition and presentation about a topic of their choice, showcasing their self-guided learning to the community.




"
Nominator_2023-11_The Mind Trust_Herron High School,The Mind Trust,The Mind Trust,812,Herron High School,Herron High School,Indianapolis,IN,Herron Classical Schools,"Recognizing the need for high-quality, tuition-free public education located within the city’s urban neighborhoods, the founder, Ms. Taft brought together residents, educators, non-profit organizations, and business leaders to create an original structure for a classical, liberal arts education.
Herron High School’s founders and founding board believed it was essential to bring the very best educators to the table during the development phase of the school. Beginning with Robert Marzano’s concept of designing a curriculum “with the end in mind,” and guided by best practices in the classroom, the founder’s vision of a well-educated, world-class citizen helped define the rigorous curriculum, classical format, and cultural foundation for the school.
Herron High School's core values are that every student is a scholar, engages in an urban community, advances timeless ideas and content, builds a culture of respect and trust through relationships with people and ideas, and serves as a catalyst for renewal.
These core values are innovative but rooted in classical, liberal arts traditions. Herron is college-preparatory, and is rated as the top Indianapolis public school, and in the top 1 percent in the Nation, for college preparation, and has set the standard to to stay diverse. "
Nominator_2023-11_The Mind Trust_Global Preparatory Academy,The Mind Trust,The Mind Trust,813,Global Preparatory Academy,Global Preparatory Academy,Indianapolis,IN,n/a,"Global Preparatory Academy is a dual language school that connects students from diverse linguistic backgrounds and educates them together in a highly rigorous, engaging, and nurturing environment.  Using both English and Spanish to instruct students in all core content areas, students develop high levels of bilingualism and bi-literacy, as well as a deep value and understanding of other cultures. Students at Global Prep gain limitless access to other cultures through bilingualism and instruction, which emphasizes critical thinking using global perspectives and experiential learning. Students attain bilingualism in a natural process through everyday conversation and content instruction. Through two-way immersion (TWI), students affirm the values of their own cultures while acquiring an understanding and appreciation of other cultures. 

Global Prep offers its students personalized learning plans, learning in English and Spanish, rigorous and culturally relevant curriculum based on Indiana State Standards, high expectations for academic and social success, extended school day and after-school enrichment, and before-and-after school care.

Global Prep staff represents many different countries including Cuba, Venezuela, Spain, The Canary Islands, Philippines, Nicaragua, Columbia, Korea, El Salvador, Mexico, Puerto Rico, Dominican Republic, Guatemala, Bolivia, Kenya, and the United States.
"
Nominator_2023-11_Clayton Christensen Institute_Colossal Academy,Clayton Christensen Institute,Clayton Christensen Institute,814,Colossal Academy,Colossal Academy,Fort Lauderdale,FL,,"This microschool is effectively balancing student engagement, interests, and passions with ensuring that students master critical content."
Nominator_2023-11_Transcend_Colossal Academy,Transcend,Anonymous,814,Colossal Academy,Colossal Academy,Fort Lauderdale,FL,,"This is a placed-based micro-school for middle schoolers that is inclusive, offers real-world experiences, and has a philosophy of emergent learning."
Nominator_2023-11_Education Evolving_Edison School of Innovation,Education Evolving,Anonymous,815,Edison School of Innovation,Edison School of Innovation,Phoenix ,AZ,Maricopa County,"Edison School for Innovation has been living up to their name by committing themselves to educational innovation, specifically school organization and teacher leadership. The Edison Guiding Coalition, which is a group of teacher leaders, have been activity thinking about how to better meet the needs of students through school governance. The team of about six team leaders (a blend of school admin, support staff and classroom teachers) constantly is improving their communication and embracing transparency to catapult student success. For example, they have embraced a shared and rotating leadership model during meetings. They currently are working on cultivating a stronger leadership team through the use of staff circles. The staff circles are a way to learn about fellow school leaders and also provide a space for honest and constructive feedback. Edison believes that a strong teacher team will translate to a strong student body. "
Nominator_2023-11_KnowledgeWorks_Innovation Academy,KnowledgeWorks,KnowledgeWorks,816,Innovation Academy,Innovation Academy,Tucson,AZ,Amphitheater School District,"Innovation Academy was designed to weave the sciences into all aspects of learning using an integrated thematic approach to instruction. We engage students in “hands-on” and “minds-on” relevant curriculum and instruction that utilizes technology and the arts to enrich and encourage learning. We offer a well-rounded education in reading, writing, social studies as well as instruction in art, music, and physical education, which are all essential components of a quality elementary education. In grades K-2 we use Integrated Thematic Units of Instruction, grades 3-5 use a Project Based Learning approach.
ITUs are teacher-driven units of study based on highly engaging STEM themes, current scientific or engineering events, student interest, voice and choice, students as teachers and the AZCCRS. Project Based Learning (PBL) students are learning by being actively engaged in real-world and personally meaningfully projects. AZCCRS are imbedded in all projects. Some current projects include; Turtle Pond, the Grove, Mars Base, City of Ember, Long Walk to Water, Wax Museum. We have a 90 minute math block, ELA is taught through STEM book studies, research, writing (research papers) and presentations.
What we have seen is that by using ITU and PBL approaches to instruction, our students are highly engaged and excited about learning, which has increased student achievement and social emotional growth. Our students work collaboratively to critically think and problem solve.
Innovation Academy is a 100% open enrollment STEM-focused pre-K-5 elementary school in the Amphitheater Public School District.  Although Innovation Academy is located in the far north end of the school district, a more affluent region (the school was built in this location because this is where the school district owned land), our student population comes from all over the Tucson and the surrounding area.  To provide equitable access for all students in the district, transportation is provided from all elementary schools for families wishing to attend Innovation.   This purposeful design has helped to diversify the population of our students, families, and staff.
"
Nominator_2023-11_Throughline Learning_Segue Institute for Learning,Throughline Learning,Throughline Learning,817,Segue Institute for Learning,Segue Institute for Learning,Central Falls,Rhode Island,N/A,"Segue Institute for Learning is investing time, money, and capacity to welcome, support, and retain a cohort of 8 Fellows into their school community. Fellows are trained as culturally responsive teacher assistants who provide mentorship and tutoring support to students, helping to alleviate teacher workloads, enhance their own pedagogical and relationship-building skills, connect SEL practices into academic instruction, and support tier 2 math through tutoring. In addition to recruiting and supporting this cohort of dedicated Fellows, Segue IFL is facilitating an inclusive design team to iterate on best-practice strategies driven by data on student experiences and outcomes. Fellows at Segue IFL are supported by Americorps funding and a Community Educator Network partnership with Throughline Learning.  "
Nominator_2023-11_KnowledgeWorks_City High School,KnowledgeWorks,Anonymous,818,City High School,City High School,Tucson,AZ,City Center for Collaborative Learning,"City High School is a purposely small school whose mission is to be a community of learns in which all members use their minds well and care about one another and engages with challenging academics and the unique resources of their city and region in order to become active citizens and responsible stewards of our world.

Their ambitious academic framework includes project-based learning, personalized, competency based learning, social emotional learning, universal design learning, culturally responsive practices and literacy integration. Learning how to implement these pedagogies is an ongoing learning process that includes the use of critical friends groups, personalized, professional learning plans, embedded professional development and a presentation of learning by the adults that mirror the demonstrations of learning we ask of our students.

City students demonstrate academic competencies and portrait of a graduate attributes through their classwork, interdisciplinary projects, community experiences/internships and advisory work.  Their public exhibitions of learning include student-led conferences, end-of-unit exhibitions (individually by class and collaboratively the school’s participation in the annual Pennington Street Fair) and end of year Gateways that include a portfolio presentation.

City High School’s commitment to place-based learning and community justice/equity work is threaded throughout coursework, in whole school meetings, and in student generated clubs and activities.  For example, we are known in Tucson for being a welcoming safe haven for LGBTQ students and families.

"
Nominator_2023-11_Mastery Transcript Consortium_River Montessori High School,Mastery Transcript Consortium,Mastery Transcript Consortium,819,River Montessori High School,River Montessori,South Bend,IN,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Vanguard Academy of Broken Arrow,Mastery Transcript Consortium,Mastery Transcript Consortium,820,Vanguard Academy of Broken Arrow,Vanguard Academy,Broken Arrow,OK,Broken Arrow Public Schools,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Milestone Democratic School,Mastery Transcript Consortium,Mastery Transcript Consortium,821,Milestone Democratic School,Milestone Democratic,Fitchburg,WI,Dane County,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Bow High School,Mastery Transcript Consortium,Anonymous,822,Bow High School,Bow High School,Bow,NH,Bow Dunbarton School District,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Miss Porter's School,Mastery Transcript Consortium,Anonymous,823,Miss Porter's School,Miss Porter's School,Farmington,CT,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Compass Academy,Mastery Transcript Consortium,Mastery Transcript Consortium,824,Compass Academy,Compass Academy,St. Charles,IL,St. Charles Community Union School District,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Heron School,Mastery Transcript Consortium,Mastery Transcript Consortium,825,Heron School,Heron School,Moab,UT,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Pomfret School,Mastery Transcript Consortium,Anonymous,826,Pomfret School,Pomfret School,Pomfret,CT,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_James Madison High School,Mastery Transcript Consortium,Anonymous,828,James Madison High School,James Madison High School,Vienna,VA,Fairfield County Public Schools,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Mastery Transcript Consortium_Buckeye Friends School,Mastery Transcript Consortium,Mastery Transcript Consortium,829,Buckeye Friends School,Buckeye Friends School,Effingham,IL,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
Nominator_2023-11_Next Generation Learning Challenges_Desert View High School,Next Generation Learning Challenges,Next Generation Learning Challenges,830,Desert View High School,Desert View High School,Tucson,AZ,Sunnyside Unified School District,"Desert View High School reflects the attributes of the Sunnyside school district: a tremendously strong commitment to its graduate portrait and to a through-line of systems coherence that stems from that portrait and shapes virtually everything that happens in the school. Their watchwords are agency, purpose, and identity. They are also offering very strong CTE/STEM programs. These programs are representative of Sunnyside’s systems coherence in action.
"
Nominator_2023-11_Mastery Transcript Consortium_Cascades Academy,Mastery Transcript Consortium,Mastery Transcript Consortium,831,Cascades Academy,Cascades Academy,Bend,OR,,This school has implemented a competency-based learning model and is or will soon be publishing Mastery Transcripts or MTC Learning Records as summative records for some or all graduates.
