Variable Name,Variable Description,Corresponding Survey Question,Response Types,Source,Data Subset,Clean Labels,Confidential
tool_share_mastery,Indicates whether the learning environment shares data from Mastery transcript with families if the assessment is used systematically across their school.,[If “We use this systematically across our school” is selected] Do you currently share data from these assessments with families?,1 if Yes selected; else 0,School survey,Variables,,Public-facing
tool_share_mindprint,Indicates whether the learning environment shares data from Mindprint Learning with families if the assessment is used systematically across their school.,[If “We use this systematically across our school” is selected] Do you currently share data from these assessments with families?,1 if Yes selected; else 0,School survey,Variables,,Public-facing
tool_share_panorama,Indicates whether the learning environment shares data from Panorama surveys with families if the assessment is used systematically across their school.,[If “We use this systematically across our school” is selected] Do you currently share data from these assessments with families?,1 if Yes selected; else 0,School survey,Variables,,Public-facing
tool_share_portfolium,Indicates whether the learning environment shares data from Portfolium by Instructure with families if the assessment is used systematically across their school.,[If “We use this systematically across our school” is selected] Do you currently share data from these assessments with families?,1 if Yes selected; else 0,School survey,Variables,,Public-facing
tool_share_unrulr,Indicates whether the learning environment shares data from Unrulr with families if the assessment is used systematically across their school.,[If “We use this systematically across our school” is selected] Do you currently share data from these assessments with families?,1 if Yes selected; else 0,School survey,Variables,,Public-facing
tool_share_youscience,Indicates whether the learning environment shares data from YouScience with families if the assessment is used systematically across their school.,[If “We use this systematically across our school” is selected] Do you currently share data from these assessments with families?,1 if Yes selected; else 0,School survey,Variables,,Public-facing
tool_share_other_1,Indicates whether the learning environment shares data from self-described option #1 with families if the assessment is used systematically across their school.,[If “We use this systematically across our school” is selected] Do you currently share data from these assessments with families?,1 if Yes selected; else 0,School survey,Variables,,Public-facing
tool_share_other_2,Indicates whether the learning environment shares data from self-described option #2 with families if the assessment is used systematically across their school.,[If “We use this systematically across our school” is selected] Do you currently share data from these assessments with families?,1 if Yes selected; else 0,School survey,Variables,,Public-facing
tool_share_other_3,Indicates whether the learning environment shares data from self-described option #3 with families if the assessment is used systematically across their school.,[If “We use this systematically across our school” is selected] Do you currently share data from these assessments with families?,1 if Yes selected; else 0,School survey,Variables,,Public-facing
support_info,Indicates Information about assessment tools would help the learning environment assess impact on non-traditional factors.,"Which of the following supports would help you assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?",1 if Information about assessment tools selected; else 0,School survey,Variables,,Public-facing
support_funds,Indicates Funding would help the learning environment assess impact on non-traditional factors.,"Which of the following supports would help you assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?",1 if Funding to purchase assessment tools selected; else 0,School survey,Variables,,Public-facing
support_community,Indicates A community of practice would help the learning environment assess impact on non-traditional factors.,"Which of the following supports would help you assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?",1 if A community of practice with other schools focused on innovative assessment selected; else 0,School survey,Variables,,Public-facing
support_workshop,Indicates Workshops on innovative assessment would help the learning environment assess impact on non-traditional factors.,"Which of the following supports would help you assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?",1 if Workshops on innovative assessment selected; else 0,School survey,Variables,,Public-facing
support_technical,Indicates Technical support would help the learning environment assess impact on non-traditional factors.,"Which of the following supports would help you assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?","1 if Technical support with implementing assessment tools (e.g., servers, data systems, etc.) selected; else 0",School survey,Variables,,Public-facing
support_coaching,Indicates One on one coaching would help the learning environment assess impact on non-traditional factors.,"Which of the following supports would help you assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?",1 if One on one coaching on how to assess “non-traditional” outcomes selected; else 0,School survey,Variables,,Public-facing
support_leaders,Indicates Help for leaders to analyze and utilize outcome data would help the learning environment assess impact on non-traditional factors.,"Which of the following supports would help you assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?",1 if Help for leaders to analyze and utilize outcome data selected; else 0,School survey,Variables,,Public-facing
support_teachers,Indicates Help for teachers on how to analyze and utilize assessment data would help the learning environment assess impact on non-traditional factors.,"Which of the following supports would help you assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?",1 if Help for teachers on how to analyze and utilize assessment data selected; else 0,School survey,Variables,,Public-facing
support_dissemination,Indicates Help to share outcome data with external audiences would help the learning environment assess impact on non-traditional factors.,"Which of the following supports would help you assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?","1 if Help to share outcome data with external audiences like families, funders, and/or policymakers selected; else 0",School survey,Variables,,Public-facing
support_policy,Indicates Changing policy to reduce the time required to assess traditional outcomes would help the learning environment assess impact on non-traditional factors.,"Which of the following supports would help you assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?","1 if Changing policy to reduce the time required to assess “traditional” outcomes (e.g., literacy, math, etc.) selected; else 0",School survey,Variables,,Public-facing
support_other,Indicates another support that is not listed would help the learning environment assess impact on non-traditional factors.,"Which of the following supports would help you assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?",1 if Other selected; else 0,School survey,Variables,,Public-facing
support_other_text,Self-described support that would help the learning environment assess impact on non-traditional factors.,"Which of the following supports would help you assess your impact on “non-traditional” factors (e.g., deeper learning, social and emotional learning, agency, student experiences, etc.)?",Text provided to specify Other,School survey,Variables,,Public-facing
support_key_info,Indicates Information about assessment tools was selected as one of the top 3 most helpful supports for assessing non-traditional outcomes.,"Among the potential supports you listed, which 3 would be most helpful? ",1 if Information about assessment tools selected; else 0,School survey,Variables,,Public-facing
support_key_funds,Indicates Funding was selected as one of the top 3 most helpful supports for assessing non-traditional outcomes.,"Among the potential supports you listed, which 3 would be most helpful? ",1 if Funding to purchase assessment tools selected; else 0,School survey,Variables,,Public-facing
support_key_community,Indicates A community of practice was selected as one of the top 3 most helpful supports for assessing non-traditional outcomes.,"Among the potential supports you listed, which 3 would be most helpful? ",1 if A community of practice with other schools focused on innovative assessment selected; else 0,School survey,Variables,,Public-facing
support_key_workshop,Indicates Workshops was selected as one of the top 3 most helpful supports for assessing non-traditional outcomes.,"Among the potential supports you listed, which 3 would be most helpful? ",1 if Workshops on innovative assessment selected; else 0,School survey,Variables,,Public-facing
support_key_technical,Indicates Technical support was selected as one of the top 3 most helpful supports for assessing non-traditional outcomes.,"Among the potential supports you listed, which 3 would be most helpful? ","1 if Technical support with implementing assessment tools (e.g., servers, data systems, etc.) selected; else 0",School survey,Variables,,Public-facing
support_key_coaching,Indicates One on one coaching was selected as one of the top 3 most helpful supports for assessing non-traditional outcomes.,"Among the potential supports you listed, which 3 would be most helpful? ",1 if One on one coaching on how to assess “non-traditional” outcomes selected; else 0,School survey,Variables,,Public-facing
support_key_leaders,Indicates Help for leaders to analyze and utilize outcome data was selected as one of the top 3 most helpful supports for assessing non-traditional outcomes.,"Among the potential supports you listed, which 3 would be most helpful? ",1 if Help for leaders to analyze and utilize outcome data selected; else 0,School survey,Variables,,Public-facing
support_key_teachers,Indicates Help for teachers on how to analyze and utilize assessment data was selected as one of the top 3 most helpful supports for assessing non-traditional outcomes.,"Among the potential supports you listed, which 3 would be most helpful? ",1 if Help for teachers on how to analyze and utilize assessment data selected; else 0,School survey,Variables,,Public-facing
support_key_dissemination,Indicates Help to share outcome data was selected as one of the top 3 most helpful supports for assessing non-traditional outcomes.,"Among the potential supports you listed, which 3 would be most helpful? ","1 if Help to share outcome data with external audiences like families, funders, and/or policymakers selected; else 0",School survey,Variables,,Public-facing
support_key_policy,Indicates Changing policy to reduce the time required to assess traditional outcomes was selected as one of the top 3 most helpful supports for assessing non-traditional outcomes.,"Among the potential supports you listed, which 3 would be most helpful? ","1 if Changing policy to reduce the time required to assess “traditional” outcomes (e.g., literacy, math, etc.) selected; else 0",School survey,Variables,,Public-facing
support_key_other,Indicates the self-identified support the school leader provided was selected as one of the top 3 most helpful supports for assessing non-traditional outcomes.,"Among the potential supports you listed, which 3 would be most helpful? ",1 if Other selected; else 0,School survey,Variables,,Public-facing
impact_evidence_traditional,Indicates the school leader provided evidence of impact on traditional measures to share publicly.,"Is there evidence of your impact on learners that you want to share publicly on your Canopy profile?

Traditional Evidence. This could include:
% proficient in ELA, Math, or other subjects on state tests
% School-level growth metrics (e.g., mean SGP)
Graduation rate
College acceptance or persistence rate
Etc.","1 if link, document, or description provided; else 0",School survey,Variables,,Public-facing
impact_text_traditional,Describes the evidence provided by the school leader if they chose to submit a written description.,Is there evidence of your impact on learners that you want to share publicly on your Canopy profile?,Open response,School survey,Variables,,Public-facing
impact_doc_traditional,Describes the file name(s) of the document(s) the school leader uploaded.,Is there evidence of your impact on learners that you want to share publicly on your Canopy profile?,Original file name for the document uploaded,School survey,Variables,,Public-facing
impact_doc_id_traditional,Unique identifier for the file upload(s) generated by Qualtrics.,Is there evidence of your impact on learners that you want to share?,Qualtrics generated document ID for the uploaded file,School survey,Variables,,Public-facing
impact_evidence_nontraditional,Indicates the school leader provided evidence of impact on non-traditional measures to share publicly.,"Is there evidence of your impact on learners that you want to share publicly on your Canopy profile? You can provide a link, upload a document, or describe it below. 

Non-Traditional Evidence. This could include:
Social-emotional wellness data
Student outcomes on authentic demonstrations of learning (e.g., capstone projects, defenses of learning)
Percentages of students participating in internships, community service, or work-based learning programs.
Parent, student, or community testimonials
Etc.","1 if link, document, or description provided; else 0",School survey,Variables,,Public-facing
impact_text_nontraditional,Describes the evidence provided by the school leader if they chose to submit a written description.,Is there evidence of your impact on learners that you want to share publicly on your Canopy profile?,Text provided.,School survey,Variables,,Public-facing
impact_doc_nontraditional,Describes the file name(s) of the document(s) the school leader uploaded.,Is there evidence of your impact on learners that you want to share publicly on your Canopy profile?,File name for the document uploaded,School survey,Variables,,Public-facing
impact_doc_id_nontraditional,Unique identifier for the file upload(s) generated by Qualtrics.,Is there evidence of your impact on learners that you want to share?,Document ID for the uploaded file (I assume this is generated by Qualtrics?),School survey,Variables,,Public-facing
policy_public_revenue,Describes how Availability of public revenue helps or hinders innovation work in the learning environment.,"In your current context, how do existing policies and ecosystem factors affect your innovation work?","Really helps our work
Somewhat helps our work
Both helps and hinders
Somewhat hinders our work
Really hinders our work
No effect",School survey,Variables,,Internal
policy_philanthropy,Describes how Availability of philanthropic funding helps or hinders innovation work in the learning environment.,"In your current context, how do existing policies and ecosystem factors affect your innovation work?","Really helps our work
Somewhat helps our work
Both helps and hinders
Somewhat hinders our work
Really hinders our work
No effect",School survey,Variables,,Internal
policy_schedule,Describes how Calendar and schedule requirements helps or hinders innovation work in the learning environment.,"In your current context, how do existing policies and ecosystem factors affect your innovation work?","Really helps our work
Somewhat helps our work
Both helps and hinders
Somewhat hinders our work
Really hinders our work
No effect",School survey,Variables,,Internal
policy_graduation,"Describes how Course progression, seat time, and graduation requirements helps or hinders innovation work in the learning environment.","In your current context, how do existing policies and ecosystem factors affect your innovation work?","Really helps our work
Somewhat helps our work
Both helps and hinders
Somewhat hinders our work
Really hinders our work
No effect",School survey,Variables,,Internal
policy_admissions,"Describes how Admission requirements for college, high school, or middle school helps or hinders innovation work in the learning environment.","In your current context, how do existing policies and ecosystem factors affect your innovation work?","Really helps our work
Somewhat helps our work
Both helps and hinders
Somewhat hinders our work
Really hinders our work
No effect",School survey,Variables,,Internal
policy_accountability,"Describes how Accountability systems (including tests) imposed by states, districts, or authorizers helps or hinders innovation work in the learning environment.","In your current context, how do existing policies and ecosystem factors affect your innovation work?","Really helps our work
Somewhat helps our work
Both helps and hinders
Somewhat hinders our work
Really hinders our work
No effect",School survey,Variables,,Internal
policy_report_funders,Describes how Accountability or reporting expectations from philanthropic funders helps or hinders innovation work in the learning environment.,"In your current context, how do existing policies and ecosystem factors affect your innovation work?","Really helps our work
Somewhat helps our work
Both helps and hinders
Somewhat hinders our work
Really hinders our work
No effect",School survey,Variables,,Internal
policy_service,Describes how Interactions with public service providers helps or hinders innovation work in the learning environment.,"In your current context, how do existing policies and ecosystem factors affect your innovation work?","Really helps our work
Somewhat helps our work
Both helps and hinders
Somewhat hinders our work
Really hinders our work
No effect",School survey,Variables,,Internal
policy_credentials,Describes how Teacher/staff credentialing or evaluation requirements helps or hinders innovation work in the learning environment.,"In your current context, how do existing policies and ecosystem factors affect your innovation work?","Really helps our work
Somewhat helps our work
Both helps and hinders
Somewhat hinders our work
Really hinders our work
No effect",School survey,Variables,,Internal
policy_union,Describes how Labor contracts and/or union relationships helps or hinders innovation work in the learning environment.,"In your current context, how do existing policies and ecosystem factors affect your innovation work?","Really helps our work
Somewhat helps our work
Both helps and hinders
Somewhat hinders our work
Really hinders our work
No effect",School survey,Variables,,Internal
policy_enrollment,"Describes how Enrollment, lottery, or school assignment systems helps or hinders innovation work in the learning environment.","In your current context, how do existing policies and ecosystem factors affect your innovation work?","Really helps our work
Somewhat helps our work
Both helps and hinders
Somewhat hinders our work
Really hinders our work
No effect",School survey,Variables,,Internal
policy_support,Describes the existing policies and ecosystem factors that affecting innovation work in the learning environment.,"In your current context, how do existing policies and ecosystem factors affect your innovation work?",Open response,School survey,Variables,,Internal
contact_name,Public contact's name for the learning environment.,Please share a public contact for your school. ,Open response,School survey,Variables,,Public-facing
contact_role,Public contact's role at the learning environment.,Please share a public contact for your school. ,Open response,School survey,Variables,,Public-facing
contact_email,Public contact's emaill address at the learning environment.,Please share a public contact for your school. ,Open response,School survey,Variables,,Public-facing
respondent_name,Name of the survey respondent; may differ from school leader and/or public contact.,Please share who completed this survey.,Open response,School survey,Variables,,Internal
respondent_role,Role of the survey respondent; may differ from school leader and/or public contact.,Please share who completed this survey.,Open response,School survey,Variables,,Internal
respondent_email,Email address for the survey respondent; may differ from school leader and/or public contact.,Please share who completed this survey.,Open response,School survey,Variables,,Internal
respondent_race,Racial/ethnic identity of the survey respondent.,What is your racial/ethnic identity? ,"American Indian or Alaska Native
Asian
Black or African American
Hispanic or Latinx
Native Hawaiian or Pacific Islander
White
Prefer to self-identify: __________
Prefer not to say",School survey,Variables,,Internal
respondent_gender,Gender identity of the survey respondent.,How do you currently identify your gender?,"Man
Woman
Nonbinary or gender non-conforming
Transgender
Prefer to self-identify: __________
Prefer not to say",School survey,Variables,,Internal
leader_updated,Indicates if the respondent is considered the school leader.,,1 if Yes; else 0,Canopy created variable,Variables,,Internal
practices_a_la_carte,Indicates whether the learning environment selected the tag à la carte: A blended learning model in which students take an online course with an online teacher in addition to other face-to-face courses.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,à la carte model,Public-facing
practices_accommodations,"Indicates whether the learning environment selected the tag accommodations provided to all students: Accommodations traditionally reserved for students with an IEP are available to all students, and teachers proactively identify accommodations that will foster student success.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,accommodations provided to all students,Public-facing
practices_adult_wellness,"Indicates whether the learning environment selected the tag adult wellness/SEL: Staff have regular opportunities to cultivate their own social, emotional, and cultural competence, collaborate with one another, build trusting relationships, and maintain a strong community.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,adult wellness/SEL,Public-facing
practices_advancement_mastery,"Indicates whether the learning environment selected the tag advancement on mastery: Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,advancement on mastery,Public-facing
practices_advisories,"Indicates whether the learning environment selected the tag student advisories: Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,student advisories,Public-facing
practices_anti_racist,Indicates whether the learning environment selected the tag anti-racist practices: The learning environment is building a culture of taking direct action to dismantle policies and practices that create or perpetuate inequality between racial groups.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,anti-racist practices,Public-facing
practices_assessments_agency,"Indicates whether the learning environment selected the tag assessments for agency and self-directed learning: Tests are administered to measure student performance on various dimensions of self-directed learning (e.g., self-awareness, agency, goal-setting and planning, etc.)",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,assessments for agency and self-directed learning,Public-facing
practices_assessments_bilingual,Indicates whether the learning environment selected the tag bilingual assessments: Tests are designed and administered to build on students' bilingual abilities.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,bilingual assessments,Public-facing
practices_assessments_career,Indicates whether the learning environment selected the tag assessments for career readiness: The learning environment assesses students' readiness to enter the workforce and pursue a career path.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,assessments for career readiness,Public-facing
practices_assessments_deeper,"Indicates whether the learning environment selected the tag assessments for deeper learning: The learning environment assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,assessments for deeper learning,Public-facing
practices_assessments_sel,"Indicates whether the learning environment selected the tag assessments for social-emotional learning: The learning environment assesses social-emotional and non-cognitive skills, e.g., self-management, social awareness, relationship skills, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,assessments for social-emotional skills,Public-facing
practices_blended_learning,"Indicates whether the learning environment selected the tag blended learning: Students learn both online and in-person, in which both modalities are connected to provide an integrated learning experience, and with some element of student control over the time, place, path, or pace of learning.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,blended learning,Public-facing
practices_career_prep,"Indicates whether the learning environment selected the tag career prep and work-based learning: The learning environment offers career-oriented learning opportunities and connections to professionals who reflect students' varied backgrounds and identities, e.g. via career tech and vocational training, interview practice, internships and apprenticeships, job shadows, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,career prep and work-based learning,Public-facing
practices_colead_cbo,"Indicates whether the learning environment selected the tag community-based organizations as co-leaders: The learning environment involves community-based organizations in shared decision-making, and communicates how CBO input has informed decision-making. This may include strategies such as offering learning hubs and integrating expertise into schools.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,community-based organizations as co-leaders,Public-facing
practices_colead_family,"Indicates whether the learning environment selected the tag families as co-leaders: The learning environment involves families in shared decision-making, and communicates how family input has informed decision-making. This may include strategies such as participatory budgeting, family advisory groups, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,families as co-leaders,Public-facing
practices_colead_industry,"Indicates whether the learning environment selected the tag industry-based partners as co-leaders: The learning environment involves industry-based partners in shared decision-making, and communicates how these partners' input has informed decision-making. This may include strategies such as designing career pathways, developing curriculum and assessments, or offering validated work-based learning as a core part of the school's
design.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,industry-based partners as co-leaders,Public-facing
practices_colead_students,"Indicates whether the learning environment selected the tag students as co-leaders: The learning environment involves students in shared decision-making, and communicates how student input has informed decision-making. This may include strategies such as student advisory councils, input on curriculum and culture-setting, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,students as co-leaders,Public-facing
practices_colead_teachers,"Indicates whether the learning environment selected the tag teachers as co-leaders: The learning environment involves teachers in shared decision-making, and communicates how teacher input has informed decision-making. Teachers make decisions in areas such as learning environment success, curriculum, budget, evaluating their colleagues, selecting personnel, and more.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,teachers as co-leaders,Public-facing
practices_coleadership,"Indicates whether the learning environment selected the tag co-leadership: The learning environment involves stakeholders in the process of decision-making and communicates how the input gathered from stakeholders informs decision-making. This may include teachers, students, families, community-based organizations, industry-based partners, or others.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,co-leadership,Public-facing
practices_community_partnerships,"Indicates whether the learning environment selected the tag community and business partnerships: Partnerships with businesses and the community help to facilitate experiential learning, internships, mentorships, tutoring, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,community and business partnerships,Public-facing
practices_community_supports,"Indicates whether the learning environment selected the tag family and community support services: The learning environment offers (or partners to offer) social and wraparound support services to meet the needs of families and the community at large, e.g. through adult learning, childcare, family counseling, financial advising.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,family and community support services,Public-facing
practices_competency_education,"Indicates whether the learning environment selected the tag competency/mastery-based education: The learning environment's model is designed to ensure students are becoming proficient by advancing on demonstrated mastery. May include a deliberate focus on student agency, transparent learning expectations, timely/differentiated supports, varied pacing and pathways, meaningful and formative assessment.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,competency/mastery-based education,Public-facing
practices_competency_framework,Indicates whether the learning environment selected the tag competency framework: A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,competency framework,Public-facing
practices_culturally_responsive,Indicates whether the learning environment selected the tag culturally responsive practices: Pedagogy and curriculum are designed to support students who have been marginalized to be independent learners. Core barriers to learning for historically marginalized learners are examined and removed.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,culturally responsive practices,Public-facing
practices_design_marginalized,"Indicates whether the learning environment selected the tag design to meet needs of students who have been marginalized: The learning environment identifies circumstances impacting students who have been most marginalized in order to intentionally design innovations that improve experiences and outcomes for those students. (Students who have been marginalized may include: students with learning differences, students in foster care, students in the justice system, students with low academic performance, students from historically disenfranchised racial and cultural groups.)",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,design to meet needs of students who have been marginalized,Public-facing
practices_design_thinking,"Indicates whether the learning environment selected the tag design thinking process: Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,design thinking process,Public-facing
practices_disaggregated_participation_data,"Indicates whether the learning environment selected the tag disaggregated data on student participation: The learning environment tracks data on the extent to which different groups of students (e.g., by race, gender, disability, socioeconomic status) participate in programs to ensure that students have equitable access.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,disaggregated data on student participation,Public-facing
practices_dual_language,Indicates whether the learning environment selected the tag dual language programming: A form of bilingual education in which students are taught literacy and content in two languages.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,dual language programming,Public-facing
practices_early_college,"Indicates whether the learning environment selected the tag early college high school: A hybrid of high school and college, where all students take both high school and college classes simultaneously, earning credit towards a college degree.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,early college high school,Public-facing
practices_enriched_virtual,"Indicates whether the learning environment selected the tag enriched virtual model: A blended learning model in which students complete the majority of coursework online at home or outside of school, but attend school (or an alternative to school that is not home) for required face-to-face learning sessions with a teacher.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,enriched virtual model,Public-facing
practices_expanded_open_hours,Indicates whether the learning environment selected the tag expanded open hours: The learning environment is open outside of normal hours and during vacations to support learning and offer services.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,expanded open hours,Public-facing
practices_extended_learning,"Indicates whether the learning environment selected the tag extended learning opportunities: Students can access credit-bearing learning experiences outside of school (e.g. internship, service learning, training, etc).",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,extended learning opportunities,Public-facing
practices_flex,"Indicates whether the learning environment selected the tag flex model: A blended learning model in which students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis. In some cases students may have individual schedules set by a teacher or software algorithm that determine which stations they will rotate through (also known as ""individual rotation"").",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,flex model,Public-facing
practices_flexible_facilities,"Indicates whether the learning environment selected the tag flexible facilities & classroom design: Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,flexible facilities & classroom design,Public-facing
practices_flexible_staffing,"Indicates whether the learning environment selected the tag flexible staffing & alternative teaching roles: The learning environment makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,flexible staffing & alternative teaching roles,Public-facing
practices_flipped_classroom,"Indicates whether the learning environment selected the tag flipped classroom: A blended learning model in which students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,flipped classroom,Public-facing
practices_grading_mastery,"Indicates whether the learning environment selected the tag grading policies focus on mastery: Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,grading policies focus on mastery,Public-facing
practices_heritage,"Indicates whether the learning environment selected the tag heritage language courses: A course, or set of courses, designed to support reading, writing, and speaking for students' heritage language (defined as a non-English language they have extensive personal, familial, or community connection to). Similar to English language arts for English speakers but created for non-English languages.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,heritage language course(s),Public-facing
practices_hiring_equity,"Indicates whether the learning environment selected the tag hiring for equity and inclusion values: Hiring practices are designed to result in new hires with equity- and inclusion-focused values. The learning environment may employ specific innovations such as: students or community members on the interview committee, equity and positionality rubrics in use, hiring pool stays open until qualified diverse candidates are identified.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,hiring for equity and inclusion values,Public-facing
practices_inclusion,"Indicates whether the learning environment selected the tag all courses designed for inclusion: Students who typically receive pull-out services or instruction in segregated classrooms (e.g., students classified as English Learners, students with disabilities) are integrated with appropriate supports in place to support learning, language ability, and full participation in curriculum.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,all courses designed for inclusion,Public-facing
practices_industry_credentials,"Indicates whether the learning environment selected the tag students earn industry credentials: Students can earn industry-issued or recognized credentials as a verification of a their qualifications or competence, in fields such as agriculture, hospitality & tourism, health, information technology, etc.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,students earn industry credentials,Public-facing
practices_interdisciplinary,"Indicates whether the learning environment selected the tag interdisciplinary: Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,interdisciplinary,Public-facing
practices_interoperability,"Indicates whether the learning environment selected the tag hiring for interoperable data from multiple technologies: Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,interoperable data from multiple technologies,Public-facing
practices_learner_profiles,Indicates whether the learning environment selected the tag individual learning paths: Students choose unique learning pathways that are relevant to their interests and passions.,Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,individual learning paths,Public-facing
practices_learning_paths,"Indicates whether the learning environment selected the tag individual learning profiles: Profiles extend across multiple years and may include how the student is performing, as well as personal factors like who they are, what inspires them, and how they best learn. ",Are any of the following practices being implemented school- or site-wide this school year?,1 if Yes; else 0,School survey,Tags,individual learner profiles,Public-facing
